name,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Backcountry Campers,2397098,2395236,2329845,2424227,2579716,1978867,1680414,1644691,1574706,1617706,1620641,1650475,2032379,2162130,2406697,2363827,2189727,2124793,2169296,2056747,1968930,1935276,2032886,1906473,1816270,1725309,1668558,1659484,1704059,1797912,1860162,1763541,1715611,1816904,1722663,1888095,2020068
Tent Campers,3511412,4034866,4331810,4303358,3746295,3891025,3742704,3604344,4104180,4087652,4093392,4184438,4402174,4599610,4313911,4461977,4082206,3895932,3828379,3690222,3760059,3603906,3548547,3581595,3525718,3360295,3265697,3172207,3320940,3247360,3482378,3582840,3526265,3508326,3275736,3571695,4083972
Recreational Vehicle (RV) Campers,4622911,4565589,4826217,4801887,4432939,4144161,3957236,3977180,4246342,4152589,4101413,3978873,3868422,3951721,3664911,3691941,3455689,3088665,3058541,2925761,2928794,2773649,2691459,2703628,2677134,2607080,2505853,2442073,2481032,2357432,2496062,2626373,2512907,2484541,2307891,2430013,2260198
Recreation Visitors,198143902,211909615,228129008,235257329,233970042,238374890,251996763,270910200,275411249,269537791,257014954,244369807,256908699,263523306,260511138,260992301,264051298,259701288,275236335,286762265,287130879,285472458,279390952,276870903,265929272,276908337,273488751,272623980,275581547,274852949,285579941,281303769,278939216,282765682,273630895,292800082,307247252
