name,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Glen Canyon NRA,"289,069","237,398","268,234","311,677","289,898","196,866","84,851","105,557","92,349","86,372","93,394","96,926","81,068","94,709","13,175","93,140","5,612","5,109","5,232","5,285","5,623","4,654","4,404","4,195","4,237","4,650","4,172","3,795","5,057","4,973","3,935","6,256","6,433","6,283","6,273","7,259","12,169"
Point Reyes NS,"27,602","23,164","15,991","17,824","17,739","17,881","18,759","17,611","20,125","21,597","20,775","22,311","22,049","24,878","26,632","26,347","25,234","20,344","27,025","22,239","22,824","23,566","22,944","22,025","24,363","25,803","22,829","22,725","24,425","26,706","28,098","27,229","29,083","29,881","40,292","44,489","55,475"
Grand Teton NP,"117,590","111,961","106,725","108,665","87,598","85,555","82,905","82,363","94,576","69,919","97,223","187,581","108,226","102,959","111,307","117,568","130,988","121,552","108,112","126,524","117,148","105,060","100,219","114,846","119,023","103,937",974,"1,973","29,906",366,904,"30,597","28,216","30,214",56,459,"33,798"
Ozark NSR,"70,832","68,936","61,164","72,094","62,807","43,743","42,283","39,207","29,114","36,895","34,300","35,003","25,744","21,884","19,552","19,964","18,600","18,140","17,300","15,736","20,580","18,584","16,184","10,128","14,144","18,692","28,452","21,432","18,796","14,884","17,732","33,716","22,780","23,540","18,728","23,696","21,156"
Glacier NP,"134,647","112,314","152,207","134,574","143,811","128,488","95,669","111,506","115,967","128,401","117,835","120,108","121,967","108,715","93,770","102,476","92,195","84,917","80,836","84,159","78,778","74,461","76,846","91,137","65,604","86,373","93,162","89,856","87,687","81,879","106,332","104,832","101,076","105,534","111,963","104,379","99,846"
Everglades NP,"72,065","70,009","63,648","57,182","50,953","56,441","55,098","57,517","50,249","54,666","54,089","50,663","34,652","22,639","13,006","15,868","15,526","30,629","14,932","22,424","20,337","25,068","24,732","25,157","21,392","25,638","17,182","15,074","14,973","18,454","10,694","11,107","10,031","12,421","9,999","11,483","10,504"
Amistad NRA,"50,588","47,148","51,843","61,473","71,732","63,867","59,049","58,096","72,136","64,892","67,127","12,597","11,586","28,293","29,260","25,479","23,702","19,361","20,187","16,413","14,702","15,191","16,007","8,396","6,791","9,835","13,263","29,892","24,696","25,347","28,235","24,524","21,042","7,042","6,221","2,628","5,278"
Sleeping Bear Dunes NL,"23,412","31,181","38,062","29,999","28,161","29,389","25,645","26,587","20,400","19,510","20,477","7,347","7,992","29,169","28,421","37,316","38,872","37,080","37,981","39,981","40,473","43,402","23,958","44,309","46,439","46,641","49,476","45,614","48,640","51,406","49,107","47,317","51,200","52,004","46,142","51,904","40,023"
Pictured Rocks NL,"5,187","5,713","5,211","5,033","4,549","4,578","5,616","5,831","4,426","3,789","3,272","3,569","4,127","2,684","3,402","3,653","3,047","3,195","3,409","3,968","4,233","3,618","3,437","3,912","3,517","3,564","3,682","3,288","3,776","2,740","2,991","3,103","5,007","5,174","5,021","4,685","5,074"
Lassen Volcanic NP,"32,202","25,072","31,926","27,013","7,093","15,082","10,586","11,991","13,014","31,173","33,226","33,827","37,488","39,321","34,644","28,557","23,772","27,963","22,095","16,848","20,481","16,674","18,918","20,106","21,657","18,816","17,067","18,228","17,658","17,643","22,590","23,583","21,822","21,234","25,620","27,054","28,422"
Zion NP,"95,746","101,520","96,091","99,377","99,250","96,609","74,800","82,649","98,116","100,441","97,344","97,276","101,314","97,017","75,447","62,719","66,254","61,884","54,684","52,488","58,560","56,784","62,568","57,064","57,670","65,894","67,936","66,127","72,332","74,411","73,146","72,805","72,333","78,864","76,253","77,932","73,783"
