name,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Glen Canyon NRA,"45,325","44,739","44,428","48,086","47,168","58,784","70,288","66,252","85,292","74,667","91,334","83,595","102,231","116,159","10,806","12,118","10,352","9,572","8,240","7,939","8,409","7,009","6,982","5,339","3,844","3,708","4,040","4,273","3,692","3,690","5,705","5,025","5,225","5,871","4,632","5,967"
Point Reyes NS,"27,602","23,164","15,991","17,824","17,739","17,881","18,759","17,611","20,125","21,597","20,775","22,311","22,049","24,878","26,632","26,347","25,234","20,344","27,025","22,239","22,824","23,566","22,944","22,025","24,363","25,803","22,829","22,725","24,425","26,706","28,098","27,229","29,083","29,881","40,292","44,489"
Grand Teton NP,"122,465","150,109","161,590","143,487","102,623","107,664","93,805","89,999","94,607","90,518","105,184","111,492","126,501","132,257","132,337","151,785","154,979","140,174","116,995","116,841","122,731","109,062","113,720","115,963","106,042","94,693",69,383,"29,906",66,92,"30,597","28,216","30,214",10,46
Ozark NSR,"105,980","113,465","103,652","134,134","103,556","91,455","84,187","83,097","80,689","108,087","110,132","102,863","106,204","105,196","86,140","83,436","92,872","88,732","104,524","81,424","86,704","84,944","67,184","38,936","70,492","55,912","71,944","67,492","66,352","53,936","57,532","65,984","70,620","71,896","60,532","57,568"
Glacier NP,"92,000","88,718","106,615","95,212","90,898","83,373","62,786","65,251","75,225","85,248","81,343","85,736","111,380","105,051","90,648","110,671","111,361","101,427","103,294","105,699","98,094","94,007","95,034","90,246","65,515","80,155","84,698","86,327","80,372","88,718","101,408","101,603","95,741","102,963","110,427","110,583"
Everglades NP,"28,775","27,256","24,903","25,500","19,629","18,949","18,437","19,836","20,317","20,442","22,996","22,699","16,330","8,347","7,248","8,227","7,020","15,633","10,179","13,488","15,722","17,683","17,103","20,074","22,713","18,803","21,940","10,281","16,769","14,784","9,306","8,756","7,041","8,918","9,130","9,984"
Amistad NRA,"23,968","21,115","22,873","23,459","21,180","14,849","19,077","18,105","20,959","18,444","17,379","2,969","3,981","10,278","10,951","9,234","6,497","4,849","6,146","3,873","6,535","3,235","1,788","2,671","3,346","1,539","2,559","2,489","1,008","1,192",908,557,"6,603",279,0,262
Sleeping Bear Dunes NL,"22,713","31,606","32,367","31,126","28,549","24,836","33,735","29,765","34,140","35,619","37,064","23,320","21,981","41,613","42,787","47,247","46,913","42,338","45,258","45,744","47,758","45,591","34,138","49,018","46,516","45,153","41,034","46,069","47,566","37,737","44,608","50,692","55,551","56,756","51,024","46,073"
Pictured Rocks NL,"8,096","9,901","8,332","9,348","9,105","9,025","9,648","10,222","8,342","9,503","9,783","11,357","13,689","9,148","10,059","10,884","12,204","11,536","11,629","13,053","13,088","13,121","13,240","12,865","10,737","11,512","12,274","10,569","12,483","11,570","11,738","11,027","13,310","13,816","12,696","13,220"
Lassen Volcanic NP,"39,225","41,830","51,510","45,405","15,611","24,852","29,871","27,207","30,989","56,292","55,746","57,961","76,683","81,369","52,440","50,568","45,159","46,605","51,672","42,138","44,196","44,091","54,213","46,851","42,252","45,006","40,752","38,628","40,764","40,266","53,856","55,926","47,964","48,837","54,435","56,334"
Zion NP,"69,712","89,475","111,640","99,621","102,012","97,845","75,555","88,084","91,911","112,451","113,034","117,157","130,285","139,763","116,596","116,600","110,206","121,650","111,610","92,294","86,024","87,428","80,640","90,747","89,449","90,686","91,138","91,477","94,749","97,468","101,510","98,189","102,922","111,096","112,429","126,194"
Noatak NPRES,0,0,0,"8,940","3,635","6,510","5,850","4,140","6,855","5,902","3,429","2,529","3,033","2,776","4,763","4,735",0,"4,744","4,744",0,0,0,0,20,30,0,409,"1,061",542,710,"1,164",540,"4,677","9,600","4,775",0
