name,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Rocky Mountain NP,"2,568,530","2,641,937","2,911,242","2,564,116","2,599,006","2,231,448","2,248,854","2,408,234","2,531,864","2,544,211","2,502,915","2,647,323","2,751,781","2,788,868","2,780,342","2,968,450","2,878,169","2,923,755","2,965,354","3,035,422","3,186,323","3,185,392","3,139,685","2,988,475","3,067,256","2,781,899","2,798,368","2,743,676","2,895,383","2,757,390","2,822,325","2,955,821","3,176,941","3,229,617","2,991,141","3,434,751","4,155,916"
Mount Rainier NP,"1,516,703","1,268,256","1,233,671","1,007,300","1,106,306","1,152,411","1,165,640","1,298,457","1,292,027","1,255,618","1,354,302","1,327,101","1,549,412","1,522,057","1,365,213","1,426,244","1,438,227","1,338,961","1,315,773","1,353,793","1,291,397","1,344,833","1,301,103","1,310,390","1,262,351","1,217,750","1,173,897","1,113,601","1,047,685","1,163,227","1,151,654","1,191,754","1,038,229","1,049,178","1,148,552","1,264,259","1,237,231"
Denali NP & PRES,"251,105","216,361","256,593","321,868","346,082","395,099","436,545","529,749","575,013","592,431","543,640","546,693","558,870","503,674","505,565","490,311","543,309","341,385","354,278","372,519","386,867","363,983","360,191","311,335","360,189","404,236","403,520","415,935","458,308","432,309","358,041","378,855","406,582","388,433","530,922","531,315","560,757"
North Cascades NP,"742,997","796,079","829,026","857,016","858,041","637,836","629,234","683,056","651,606","605,967","391,433","456,444","22,796","20,295","21,378","19,323","65,984","27,910","27,203","32,753","21,488","25,704","27,739","20,691","20,724","16,912","18,686","19,167","19,534","18,725","26,972","24,659","19,208","26,935","21,623","23,865","20,677"
Dinosaur NM,"295,837","332,781","345,784","396,938","427,375","493,140","418,187","430,891","412,089","474,452","436,303","450,368","447,781","480,412","534,274","480,576","496,509","464,133","446,624","420,295","410,742","397,069","326,373","299,142","289,849","325,279","360,584","278,473","230,914","201,724","203,862","197,812","213,559","302,858","274,361","250,625","291,799"
Glen Canyon NRA,"1,655,995","1,571,491","1,733,529","1,733,226","1,873,031","1,971,102","2,078,866","2,438,898","2,858,739","3,529,241","3,452,847","3,074,242","3,181,144","3,587,754","3,584,158","2,797,734","2,511,353","2,505,004","2,430,781","2,442,990","2,639,860","2,568,111","2,340,031","2,106,896","1,876,984","1,841,845","1,908,726","1,885,378","1,894,114","1,947,507","1,960,345","2,124,467","2,270,817","2,061,328","1,991,924","2,368,452","2,495,093"
Point Reyes NS,"1,489,135","1,408,810","1,322,449","1,344,582","1,424,751","2,032,238","1,991,615","2,053,399","2,126,790","2,241,850","2,204,407","2,369,083","2,396,904","2,579,949","2,561,234","2,466,532","2,208,369","2,272,398","2,505,547","2,477,409","2,300,631","2,325,336","2,222,762","2,395,693","2,224,882","1,960,055","1,988,585","2,065,083","2,206,294","2,248,203","2,170,646","2,067,271","2,129,116","2,412,663","2,641,808","2,433,944","2,501,106"
Grand Teton NP,"2,446,171","2,555,627","2,643,644","2,534,029","1,532,035","1,360,898","1,334,483","1,306,322","1,450,791","1,232,691","1,331,659","1,588,253","1,625,752","1,744,636","2,568,689","2,540,699","2,731,015","2,733,439","2,658,762","2,757,060","2,680,025","2,590,624","2,535,108","2,612,629","2,355,693","2,360,373","2,463,442","2,406,476","2,588,574","2,485,987","2,580,081","2,669,374","2,587,437","2,705,256","2,688,794","2,791,392","3,149,921"
Ozark NSR,"1,453,034","1,428,711","1,361,644","1,449,168","1,408,642","1,429,268","1,358,900","1,351,018","1,280,744","1,546,702","1,580,800","1,739,597","2,304,761","1,649,662","1,390,130","1,471,313","1,519,853","1,475,942","1,602,504","1,547,989","1,536,301","1,568,758","1,488,355","1,607,279","1,301,415","1,317,746","1,554,729","1,491,380","1,789,783","1,243,507","1,308,718","1,416,529","1,365,960","1,406,781","1,253,703","1,296,437","1,277,941"
Glacier NP,"1,446,086","1,474,578","1,786,523","1,666,114","2,203,847","1,946,703","1,603,011","1,579,151","1,660,737","1,817,733","1,821,523","1,986,737","2,096,966","2,199,767","2,141,704","2,152,989","1,839,518","1,720,805","1,708,856","1,830,944","1,684,604","1,728,693","1,680,614","1,905,689","1,664,046","2,033,933","1,925,101","1,964,399","2,083,329","1,808,027","2,031,348","2,200,048","1,853,564","2,162,035","2,190,374","2,338,528","2,366,056"
Everglades NP,"718,102","744,244","564,721","550,168","577,439","628,658","697,646","739,072","787,493","1,026,188","913,372","957,925","1,292,014","1,025,686","973,706","886,455","820,466","890,167","989,532","1,118,215","1,073,982","995,390","1,049,851","968,909","1,040,648","1,181,355","1,233,837","954,022","1,074,764","822,118","900,882","915,538","934,351","1,141,906","1,047,116","1,110,901","1,077,427"
