name,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Golden Gate NRA,"11,321,127","18,421,773","20,279,789","19,897,389","17,604,551","16,731,706","18,355,365","21,582,368","21,767,176","21,759,271","16,656,896","14,650,213","14,695,771","15,309,338","14,695,771","14,695,771","14,695,771","14,043,984","13,803,382","14,046,590","14,048,085","14,486,065","13,457,900","13,961,267","13,854,750","13,270,547","13,602,629","13,486,824","14,397,313","14,554,750","15,036,372","14,271,503","14,567,487","14,540,338","14,289,121","15,004,420","14,888,537"
Canaveral NS,"859,943","885,620","1,066,706","1,072,818","1,075,321","1,181,302","931,769","1,136,380","1,037,027","1,038,035","949,201","1,079,022","1,159,001","1,032,992","1,211,492","1,432,880","1,380,438","1,496,961","1,368,632","703,301","846,512","1,115,345","1,062,962","1,075,747","1,045,898","1,050,211","1,007,446","1,005,402","1,038,449","994,453","1,001,665","966,099","1,005,001","994,430","1,133,688","1,451,225","1,689,754"
Big Thicket NPRES,0,0,"22,763","43,824","33,355","81,548","77,664","66,669","62,460","71,765","102,174","77,930","64,076","72,269","82,854","127,313","115,466","111,626","77,633","60,087","60,193","62,009","98,526","101,830","101,580","107,782","92,383","91,126","95,285","93,634","100,509","140,489","137,722","135,262","120,108","109,956","125,832"
Redwood NP,"413,917","471,710","549,461","467,126","473,711","467,155","505,791","567,849","610,897","677,135","654,115","348,458","366,280","387,781","421,027","475,033","552,464","426,938","382,488","383,188","369,726","383,253","388,352","404,789","408,126","392,029","394,144","383,780","385,171","396,899","444,426","418,820","380,167","352,517","393,364","429,166","527,143"
Black Canyon of the Gunnison NP,"234,286","336,119","266,604","227,428","291,618","253,048","266,012","289,117","285,439","269,073","288,586","275,323","316,336","337,209","319,322","214,194","221,113","200,125","209,863","193,451","200,142","191,506","181,018","173,687","167,247","175,581","180,814","160,450","219,576","160,185","171,451","176,344","168,336","192,570","175,852","183,045","209,166"
Congaree NP,0,0,0,0,0,0,"12,332","16,508","20,312","26,257","25,445","23,223","30,975","40,018","54,669","67,756","67,949","62,614","70,716","93,725","82,223","95,619","119,738","101,620","107,114","126,247","84,301","134,045","115,524","104,913","122,970","121,208","120,166","109,685","120,340","120,122","87,513"
Great Basin NP,"29,947","33,383","33,367","32,264","30,335","37,676","36,343","40,359","63,532","73,559","70,259","65,026","63,864","69,144","91,915","88,024","87,829","86,635","90,760","80,363","90,119","81,045","81,712","85,777","87,020","79,879","77,741","78,524","81,364","69,235","84,974","88,870","91,451","94,850","92,893","107,526","116,123"
Prince William Forest Park,"499,209","404,358","467,161","439,724","419,793","406,832","431,922","449,660","418,145","358,823","305,127","290,457","290,726","303,909","256,612","232,766","239,320","239,369","223,655","162,176","145,993","175,581","217,721","248,577","212,180","220,044","232,213","209,312","295,853","345,361","368,365","386,521","379,535","280,325","309,298","315,072","312,109"
"John D. Rockefeller, Jr. MEM PKWY","1,356,044","1,303,756","1,515,176","1,495,262","1,105,434","1,051,297","1,082,832","1,089,092","1,226,519","796,468","1,153,981","1,446,439","1,576,818","1,583,542","1,307,531","1,475,625","1,518,395","1,471,029","1,402,258","1,395,091","1,380,833","1,210,790","1,180,278","1,144,220","1,135,664","1,070,301","1,077,646","1,034,954","1,172,125","1,099,060","1,139,923","1,222,931","1,147,986","1,197,750","1,228,502","1,264,842","1,430,337"
Grand Portage NM,"36,931","43,229","41,404","36,068","36,261","45,669","46,488","46,782","47,251","74,372","75,673","72,250","67,597","54,292","61,372","70,016","75,810","71,746","69,752","75,227","74,744","92,914","81,428","69,486","63,289","62,815","62,842","53,443","68,856","77,323","76,025","113,996","97,440","93,156","88,598","88,877","91,751"
Knife River Indian Villages NHS,0,0,"4,616","4,858","8,373","7,895","12,391","11,757","16,265","16,912","18,824","12,534","13,845","18,849","17,472","16,929","17,116","15,987","25,206","23,523","32,455","33,048","36,280","31,662","36,605","40,166","31,079","24,235","22,558","24,798","29,390","21,721","16,025","16,010","14,476","10,750","11,377"
Kobuk Valley NP,0,0,0,"3,775","2,365","1,075","1,305","1,085",230,"2,275","1,970","2,586","2,795","2,829","2,816","2,781","2,781","2,781","2,781","5,550","6,309","2,646","4,217","4,046","4,006","4,744","5,037","3,005",847,"1,565","1,879","3,164","11,485","29,550","16,875",0,0
Craters of the Moon NM,"220,698","162,454","236,525","294,387","273,693","220,801","172,503","178,332","202,800","217,022","189,317","207,766","217,879","244,806","238,508","227,918","236,008","217,586","218,036","193,304","215,567","211,642","185,799","183,573","178,824","183,111","203,332","176,998","221,672","227,179","194,046","215,698","198,545","197,529","200,525","214,993","246,826"
Catoctin Mountain Park,"431,541","400,016","357,685","502,142","518,939","531,214","575,125","516,626","511,010","341,126","342,375","467,760","581,366","487,680","616,849","704,289","552,906","484,892","503,812","483,762","459,002","508,539","532,615","457,641","621,114","699,274","515,193","526,898","591,191","466,926","440,294","385,745","264,460","263,797","175,213","188,170","229,301"
Carlsbad Caverns NP,"721,647","672,963","771,766","781,963","712,247","712,989","732,482","752,552","781,300","786,135","792,378","747,016","679,450","688,742","687,161","617,087","588,609","557,217","540,797","522,076","514,418","469,303","455,621","476,259","457,631","419,599","413,786","407,367","409,560","400,381","432,639","428,524","365,000","381,058","388,566","397,309","445,720"
Badlands NP,"858,000","952,652","1,175,952","1,030,484","1,026,981","1,113,675","950,242","1,025,630","1,174,398","1,110,040","1,237,956","1,326,475","1,518,396","1,205,297","1,179,458","1,130,459","1,075,569","1,024,705","970,696","1,021,049","950,453","1,105,824","955,469","908,898","871,034","936,030","909,146","840,118","886,654","845,734","933,918","977,778","870,741","883,406","892,372","868,094","989,354"
Colorado NM,"290,584","275,229","325,210","319,662","279,492","289,556","319,248","361,576","368,250","374,735","388,588","369,164","373,013","392,761","450,677","273,508","249,029","318,717","307,088","291,690","297,113","269,301","237,604","294,033","336,642","352,579","347,136","332,654","395,260","390,972","400,266","433,561","435,460","454,510","409,351","416,862","588,006"
Wind Cave NP,"457,443","473,061","503,424","467,392","503,739","536,022","477,585","483,334","563,720","578,016","561,758","586,464","597,057","660,296","537,075","871,061","805,688","781,171","832,033","849,974","761,717","668,507","650,357","810,298","874,167","593,877","612,478","591,049","603,158","573,433","587,868","577,141","538,394","529,083","516,142","547,022","612,198"
Cape Krusenstern NM,0,0,0,"10,205","10,375","9,825","10,435","9,375","6,110","5,140","2,880","2,939","2,942","3,389","3,368","3,401","3,401","3,401","3,401","2,960","3,947","2,026","4,060","3,266","3,587","4,330","4,664","2,598",745,"1,575","1,810","2,521","8,668","24,950","18,225",0,0
Kings Mountain NMP,"212,876","214,931","223,851","213,630","224,512","232,275","212,605","221,157","218,080","240,349","228,591","217,011","233,941","230,285","232,688","228,759","229,746","227,709","237,579","253,283","254,158","257,499","267,402","265,077","272,106","268,504","268,394","259,287","262,283","254,997","277,576","275,555","272,325","265,713","247,632","251,093","257,077"
Death Valley NP,"631,152","618,140","630,402","679,992","635,582","621,197","576,679","586,668","665,345","692,267","664,449","690,965","743,608","869,183","998,474","971,487","1,109,421","1,189,215","1,188,212","1,177,746","1,227,583","1,179,094","1,014,636","897,596","890,375","764,820","800,113","744,440","704,122","871,938","828,574","984,775","946,867","984,568","951,972","1,101,312","1,154,843"
Fort Pulaski NM,"276,608","283,483","239,572","278,463","291,318","365,084","381,616","480,859","381,468","284,228","461,730","342,107","373,787","363,979","344,963","338,461","313,879","343,706","355,040","361,104","358,710","354,900","357,953","354,070","331,059","319,586","297,982","333,378","317,349","352,636","435,661","416,292","408,104","385,751","374,408","387,010","382,945"
Ross Lake NRA,0,0,0,0,0,0,0,0,0,0,0,0,"298,948","330,015","311,716","348,257","344,902","313,565","332,164","425,209","333,944","273,696","331,343","387,216","346,542","313,497","279,581","265,022","290,701","253,333","288,458","682,736","728,353","742,200","725,917","710,612","772,579"
Big South Fork NRRA,0,0,0,0,0,0,0,0,0,"613,011","730,183","794,539","860,017","752,203","737,947","800,460","892,328","855,882","858,388","856,480","860,224","864,200","916,548","852,873","752,140","696,114","699,230","622,807","626,751","675,928","686,747","656,374","606,579","600,161","565,063","599,906","643,135"
Cumberland Island NS,"35,811","34,682","37,530","38,450","32,832","32,372","30,077","28,165","27,879","30,066","35,149","36,414","36,452","39,737","38,166","40,743","40,022","43,182","49,864","45,351","44,127","43,782","45,193","41,576","41,727","38,287","40,291","44,025","72,449","82,812","77,588","91,996","74,279","61,493","51,435","61,401","59,859"
Big Cypress NPRES,0,0,0,0,0,0,0,0,0,0,"81,157","127,790","159,172","212,682","234,830","294,307","365,463","424,920","462,553","474,895","503,110","505,062","409,771","449,481","400,902","385,194","768,687","825,857","822,864","813,790","812,207","665,523","941,393","882,570","1,007,788","1,192,856","1,112,290"
Lake Chelan NRA,0,0,0,0,0,0,0,0,0,0,0,0,"58,076","44,446","47,171","38,543","45,049","36,891","34,300","45,779","50,087","51,825","42,548","40,590","35,549","42,529","29,783","35,151","34,665","25,139","34,554","39,249","43,827","40,830","37,315","35,360","32,186"
Lake Roosevelt NRA,"794,710","833,400","873,754","819,328","666,341","622,908","517,471","790,311","1,067,001","1,366,305","1,097,136","1,542,515","1,771,420","1,121,973","1,198,605","1,515,674","1,341,016","1,045,455","1,431,960","1,545,150","1,403,793","1,415,627","1,252,160","1,444,751","1,356,331","1,279,051","1,272,119","1,281,586","1,450,438","1,337,024","1,382,663","1,324,074","1,523,474","1,781,972","1,254,409","1,180,898","1,170,843"
Gulf Islands NS,"2,965,041","2,507,507","3,316,477","3,507,438","4,060,386","5,803,384","9,880,814","7,646,201","4,826,892","5,197,899","4,458,368","4,873,730","4,987,978","5,427,729","5,456,294","5,069,495","4,520,356","2,581,037","4,697,014","4,293,301","4,597,270","4,590,595","4,549,900","4,561,862","4,939,771","4,241,477","1,689,400","1,986,816","2,034,294","2,054,201","4,132,674","4,283,747","5,501,872","4,973,462","4,837,965","4,455,240","3,976,883"
Acadia NP,"2,787,366","2,779,666","2,997,972","3,572,114","4,124,639","3,734,763","3,745,570","3,929,054","4,288,154","4,502,283","5,440,952","2,339,591","2,475,857","2,382,113","2,656,034","2,710,749","2,845,378","2,704,831","2,760,306","2,594,497","2,602,227","2,469,238","2,516,551","2,558,572","2,431,062","2,207,847","2,051,484","2,083,588","2,202,228","2,075,857","2,227,698","2,504,208","2,374,645","2,431,052","2,254,922","2,563,129","2,811,184"
Bering Land Bridge NPRES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,740","3,000","3,025","3,525","2,775","2,425","2,710","2,428","1,265",796,"1,019","1,054","2,642","1,890","2,642","2,642","2,636","2,642"
Fire Island NS,"465,268","604,401","513,421","539,150","531,183","524,757","552,542","522,672","570,507","537,282","589,474","683,962","763,181","657,996","639,741","688,974","348,788","385,706","534,888","558,479","559,764","600,333","661,692","763,992","629,858","819,161","670,456","636,030","616,233","604,577","569,667","613,057","519,173","483,334","294,219","384,343","441,899"
El Malpais NM,0,0,0,0,0,0,0,0,0,"23,546","52,554","78,993","69,119","75,916","90,316","101,492","100,366","101,158","105,707","95,001","109,008","76,557","118,374","115,893","151,127","137,170","116,194","107,792","110,639","115,066","123,290","134,662","105,356","114,678","137,904","164,063","174,433"
Obed W&SR,0,0,0,0,0,0,0,0,"6,722","16,346","21,305","104,902","86,414","186,272","226,077","241,947","232,228","216,699","298,642","249,518","245,899","240,194","193,105","232,768","206,337","242,682","175,800","185,176","182,504","192,154","212,933","180,203","212,458","212,446","198,367","215,767","214,441"
Moores Creek NB,"44,272","41,793","45,059","50,192","39,532","32,715","43,908","45,821","41,026","49,020","46,260","51,640","68,511","64,958","58,215","70,225","57,706","58,516","47,139","52,210","81,574","89,872","88,320","86,782","67,272","60,676","48,406","44,378","55,039","44,820","68,864","51,326","58,118","79,345","72,330","87,774","89,944"
Aniakchak NM & PRES,0,0,0,0,0,0,0,0,0,0,853,967,"1,469","1,638","1,593","1,193",0,0,0,209,377,251,206,241,154,285,285,60,26,10,14,62,57,19,134,134,153
Santa Monica Mountains NRA,0,0,0,"468,144","394,100","458,423","513,073","516,064","517,811","501,450","209,908","305,972","334,272","365,215","401,739","384,324","388,047","428,524","530,198","516,249","555,529","469,344","532,898","469,376","447,776","525,859","447,190","534,378","577,686","419,374","501,573","568,371","609,636","649,471","633,054","694,714","797,126"
Lava Beds NM,"96,565","87,993","87,038","77,705","68,737","65,611","68,254","77,061","75,048","77,555","76,871","72,570","76,150","164,132","178,863","112,349","121,507","108,298","111,733","115,727","135,180","114,337","113,882","116,445","119,515","106,940","107,475","104,490","102,629","120,076","129,639","130,765","124,113","181,429","105,395","138,499","108,687"
Chesapeake & Ohio Canal NHP,"2,832,646","3,101,125","5,450,477","6,057,618","6,175,834","6,159,201","6,184,948","4,895,961","5,962,193","2,034,097","1,970,287","1,943,676","1,945,201","3,586,255","3,661,497","1,276,705","1,624,288","904,509","1,934,030","1,984,400","2,116,916","3,115,654","4,174,048","3,202,378","2,801,592","2,918,399","3,000,005","3,039,178","2,809,968","3,111,468","3,751,681","4,111,238","3,937,504","4,712,377","4,941,367","5,066,219","4,798,312"
Wupatki NM,"186,875","161,846","183,448","183,666","190,938","207,893","191,950","207,951","208,953","243,666","245,948","249,954","234,122","267,090","262,769","264,747","262,675","238,889","233,582","217,466","245,225","243,270","239,476","236,394","266,159","247,971","219,480","236,449","239,603","239,157","233,284","221,083","216,165","201,365","190,878","195,962","212,828"
Fort Bowie NHS,"5,827","5,103","5,153","5,055","4,912","5,044","5,635","7,364","6,772","7,209","7,564","7,592","8,159","9,237","9,192","11,022","10,574","10,666","9,623","9,168","9,390","8,898","8,858","8,290","8,445","9,483","9,656","10,679","10,027","10,095","9,641","9,491","8,429","7,966","8,082","6,964","7,760"
Chattahoochee River NRA,0,"345,956","471,051","665,192","1,081,924","813,317","1,499,103","1,670,336","1,533,016","1,691,810","1,668,113","1,762,950","1,660,563","2,325,277","2,844,674","3,472,026","3,457,002","3,540,375","2,957,698","2,935,043","2,898,155","2,659,709","2,751,256","2,806,578","2,694,541","2,672,138","2,511,306","2,842,670","2,836,077","2,826,171","2,830,655","3,011,393","3,161,297","3,168,137","3,039,892","3,119,160","3,173,204"
City of Rocks NRES,0,0,0,0,0,0,0,0,0,0,0,0,0,"97,764","84,164","80,881","77,811","67,785","72,043","60,827","72,341","66,252","68,165","78,334","79,879","76,586","67,235","77,131","79,533","85,893","96,649","92,484","95,764","98,996","94,906","94,825","105,289"
Gateway NRA,"8,773,128","9,053,257","9,376,479","9,869,135","10,347,510","7,881,106","8,640,734","8,902,610","9,353,718","6,215,162","6,748,181","5,790,221","6,643,921","6,161,637","5,898,453","4,192,280","6,064,254","6,381,502","6,807,945","7,124,022","6,813,607","7,927,567","8,285,059","9,014,438","8,567,769","8,228,573","8,294,353","8,456,456","8,813,204","9,431,021","9,010,522","8,820,757","7,697,727","5,043,863","6,191,246","6,021,713","6,392,565"
Devils Postpile NM,"81,323","79,130","86,084","79,999","73,612","97,809","108,678","89,518","118,913","116,819","125,623","158,662","145,439","90,152","134,653","105,854","105,230","123,364","142,739","121,108","152,642","147,983","155,478","147,362","118,550","114,788","67,402","105,303","120,758","134,005","110,212","80,349","97,207","87,845","91,794","114,414","140,313"
Virgin Islands NP,"549,732","547,918","566,528","673,480","676,800","666,435","699,398","766,458","785,354","838,684","664,032","664,735","710,180","772,470","807,093","635,291","536,058","475,942","592,537","556,849","425,345","703,992","677,401","693,494","821,681","793,590","803,040","677,289","571,382","469,034","415,847","493,477","442,414","483,341","438,601","426,930","438,372"
Cape Hatteras NS,"1,516,879","1,510,237","1,634,592","1,698,543","1,685,628","1,396,076","1,224,687","1,535,913","1,629,277","1,929,713","2,097,991","2,072,715","2,098,930","2,047,103","2,259,889","2,383,684","2,384,388","2,355,580","2,515,057","2,737,640","2,634,587","2,647,383","2,592,889","2,923,894","2,660,535","2,208,189","2,260,628","2,125,005","2,237,378","2,146,392","2,282,543","2,193,292","1,960,711","2,302,040","2,214,565","2,153,350","2,274,635"
Mesa Verde NP,"473,715","539,257","588,608","602,968","604,115","516,865","656,271","658,888","728,566","772,183","600,045","611,375","678,075","742,080","666,054","685,031","663,794","617,360","627,720","604,556","635,736","452,287","513,409","406,385","438,590","446,811","498,333","557,248","541,102","551,446","550,377","559,712","572,329","488,860","460,237","501,563","547,325"
Chickasaw NRA,"1,434,484","1,927,044","1,697,658","2,094,319","2,238,456","2,026,727","2,129,513","1,983,835","1,854,417","1,884,537","1,962,353","1,600,628","1,453,032","1,385,386","1,370,475","1,446,711","1,686,136","1,551,574","1,572,079","1,615,577","1,602,065","1,389,537","1,608,792","1,510,019","1,391,334","1,275,733","1,295,212","1,343,793","1,368,806","1,230,609","1,238,484","1,253,637","1,212,139","1,487,039","1,099,669","1,152,083","1,254,105"
Dry Tortugas NP,"9,076","8,644","10,150","10,700","11,004","11,900","13,213","15,379","16,315","16,937","19,441","19,402","18,231","21,581","24,020","16,736","32,870","35,127","47,224","60,136","74,186","83,704","79,186","79,582","74,741","67,917","61,765","64,122","60,895","63,947","52,011","53,890","75,171","60,550","58,401","64,865","70,862"
Chaco Culture NHP,"48,810","51,652","73,399","72,874","71,420","65,999","43,133","49,473","57,988","65,398","84,433","72,675","72,203","72,976","67,867","76,173","74,664","76,868","113,336","83,805","83,337","81,015","68,527","79,171","84,621","71,812","45,539","37,923","68,211","37,180","37,376","34,226","39,175","39,044","29,917","38,386","38,914"
Devils Tower NM,"226,091","213,692","285,310","264,303","267,276","219,855","216,787","290,532","328,012","343,147","349,216","428,948","456,712","457,259","426,457","454,776","420,528","436,591","389,137","399,064","395,892","383,468","375,596","404,934","396,266","386,558","369,575","335,764","322,272","336,303","391,023","436,200","395,203","416,994","417,326","440,875","478,833"
Indiana Dunes NL,"1,606,166","1,222,874","1,023,436","1,066,573","1,510,630","1,560,428","1,800,326","1,676,583","1,576,238","1,885,376","1,791,902","1,919,901","2,058,801","1,973,098","1,763,094","1,699,958","1,696,488","1,526,166","1,483,782","2,108,789","1,748,047","1,820,228","1,735,404","1,989,941","1,953,449","1,810,330","2,127,336","1,938,132","1,972,344","1,833,596","1,944,568","2,150,345","1,840,513","1,889,381","1,681,695","1,553,372","1,640,195"
Greenbelt Park,"250,595","283,365","231,632","277,869","217,141","261,142","332,849","311,053","325,231","301,410","277,387","301,184","249,163","261,340","314,986","377,531","333,010","322,800","420,875","147,634","110,994","169,511","192,154","144,289","367,427","200,000","200,629","195,038","198,237","164,103","188,043","270,661","190,427","145,552","142,742","132,688","135,260"
Natchez Trace PKWY,"9,475,305","10,601,566","11,160,608","11,051,140","12,796,122","13,478,261","12,931,973","14,364,008","9,941,614","11,685,582","10,837,879","5,505,253","5,832,697","5,776,191","5,752,880","5,287,801","5,849,061","6,088,610","5,992,978","5,810,094","6,392,961","5,737,183","5,552,351","5,643,170","5,555,984","5,389,227","5,482,282","5,713,583","5,777,666","5,747,235","5,934,363","5,910,950","5,765,343","5,560,668","6,012,740","5,846,474","5,785,812"
New River Gorge NR,0,0,0,0,0,"231,295","263,021","394,079","436,791","399,722","411,195","378,035","772,172","940,310","1,005,598","1,079,994","1,177,238","1,237,637","1,228,242","1,197,649","1,186,501","1,132,531","1,231,529","1,215,875","1,111,164","1,151,782","1,045,814","1,124,688","1,178,012","1,212,854","1,144,318","1,151,213","1,071,088","1,128,195","1,071,823","1,124,799","1,178,753"
Chiricahua NM,"49,484","49,232","51,864","55,058","51,737","59,818","61,680","61,472","61,895","63,776","70,342","78,191","83,687","104,816","127,840","88,544","94,171","92,842","80,710","73,746","102,541","85,562","75,824","67,040","44,976","37,586","60,224","61,579","58,434","56,557","60,851","55,436","37,037","41,159","40,646","45,125","56,960"
Natural Bridges NM,"78,564","63,594","60,131","55,209","56,368","59,123","61,179","73,069","88,243","98,559","103,822","101,958","124,596","139,160","151,504","137,214","146,636","136,368","141,573","126,360","129,173","112,573","97,171","98,281","98,874","96,106","121,247","91,288","88,316","91,838","92,023","95,676","91,184","89,011","82,330","87,119","94,797"
Hot Springs NP,"1,118,800","1,160,588","1,177,911","1,015,580","1,160,008","1,071,853","1,112,764","1,175,170","1,101,242","1,185,772","1,272,771","1,123,175","1,203,929","1,504,013","1,477,299","1,618,847","1,617,077","1,538,105","1,509,596","1,495,993","1,384,469","1,338,156","1,296,786","1,440,227","1,561,311","1,418,735","1,340,160","1,273,456","1,300,152","1,238,147","1,284,707","1,311,807","1,396,354","1,302,505","1,325,719","1,424,484","1,418,162"
Pinnacles NP,"153,717","163,626","155,205","171,026","170,631","166,258","191,578","198,236","204,705","212,094","218,601","214,268","192,610","191,683","194,757","172,642","177,527","164,465","171,971","94,639","164,854","162,110","178,243","162,266","162,791","157,397","170,994","158,824","161,019","166,988","171,112","246,575","393,219","224,476","237,677","196,635","206,533"
Hovenweep NM,"14,815","13,591","13,628","13,532","13,837","14,322","14,601","15,583","18,579","22,134","26,798","27,260","26,858","27,149","25,633","24,767","27,020","27,526","24,465","23,699","47,593","43,300","37,396","30,918","29,737","26,854","26,662","26,348","26,263","25,411","27,855","27,386","25,858","26,710","24,959","26,808","35,117"
El Morro NM,"29,635","29,523","27,536","29,933","29,278","33,125","47,299","54,941","56,426","61,178","67,256","69,343","69,439","81,475","80,470","87,548","83,564","82,655","80,146","79,953","80,529","67,707","68,886","60,143","57,889","65,877","51,825","52,297","51,492","45,178","48,245","52,566","48,332","44,808","40,051","46,256","49,390"
Cedar Breaks NM,"362,178","404,423","402,680","374,695","329,268","353,092","385,381","425,732","430,559","477,493","480,276","417,330","456,001","392,628","557,824","710,981","539,060","543,760","608,399","578,974","597,460","550,657","690,652","586,938","569,455","516,331","505,158","488,376","514,871","538,016","492,353","525,831","493,147","631,809","466,450","762,907","793,601"
Gauley River NRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"195,314","258,747","200,277","214,880","248,878","230,226","236,918","253,375","236,192","188,613","148,793","155,183","128,796","116,854","118,169","112,262","113,185","107,223","109,780","115,283","135,309","117,354","105,374"
Biscayne NP,"202,938","248,071","305,502","348,219","369,082","340,567","460,921","578,013","607,968","531,036","589,957","573,376","488,134","307,512","19,950","25,147","584,519","338,603","392,069","403,239","442,585","393,151","489,343","513,397","490,031","478,304","563,728","608,836","517,442","686,062","437,745","467,612","476,077","495,613","486,848","525,745","508,164"
Sunset Crater Volcano NM,"308,723","312,079","353,815","348,633","375,136","409,112","412,501","426,454","449,423","515,084","499,265","502,450","520,487","597,942","514,943","522,963","488,911","198,349","187,734","175,805","183,198","167,988","159,523","150,664","159,073","126,911","229,913","221,406","231,855","209,399","187,397","158,819","185,265","177,793","184,864","176,723","182,203"
John Day Fossil Beds NM,"90,547","101,167","111,410","106,123","109,694","101,783","101,566","103,328","117,346","126,928","134,710","98,435","103,941","111,643","131,850","114,927","128,032","120,556","113,057","99,983","99,274","100,522","98,489","114,392","108,181","117,613","124,937","119,656","124,704","112,578","130,925","135,151","148,002","148,152","156,285","183,420","196,277"
Mojave NPRES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"378,977","374,378","391,694","444,402","492,745","492,785","615,269","546,312","632,521","537,250","582,675","618,285","528,865","600,897","536,006","542,527","549,599","554,560","589,155"
Pea Ridge NMP,"94,197","94,687","105,117","105,296","113,930","124,282","118,613","131,161","98,688","108,075","104,612","109,972","103,034","113,762","89,688","90,407","106,513","90,839","72,016","80,000","95,410","76,495","77,583","81,815","70,678","61,449","65,557","66,177","68,840","68,464","68,746","115,128","114,234","131,907","95,251","104,686","114,578"
George Washington MEM PKWY,"4,677,978","6,266,121","8,555,905","9,216,441","8,569,579","8,246,006","8,780,684","9,097,082","9,564,781","9,537,694","3,048,161","5,329,182","5,004,736","5,731,850","5,491,037","5,619,821","6,546,803","6,126,490","5,844,294","6,584,802","6,946,945","7,897,161","7,664,091","7,419,375","6,043,508","7,227,909","7,284,165","6,872,213","6,837,139","7,009,630","6,938,309","6,925,099","7,417,397","7,425,577","7,360,392","7,472,150","7,286,463"
Cape Cod NS,"3,921,968","4,788,342","4,978,838","4,021,111","4,595,071","4,560,713","4,374,799","3,991,213","4,941,569","5,180,970","5,020,069","5,449,380","5,442,379","5,116,923","5,154,610","5,228,594","5,141,039","4,901,782","4,608,454","4,804,185","4,915,414","4,581,169","4,391,478","4,455,931","4,066,365","4,106,840","3,712,812","4,487,716","4,351,609","4,644,235","4,311,949","4,653,706","4,454,771","4,441,290","4,501,898","4,426,750","4,503,220"
Statue of Liberty NM,"1,661,432","1,771,066","1,885,441","1,784,297","1,598,829","637,180","190,172","1,923,692","3,092,686","2,833,424","2,655,797","3,072,185","4,343,017","4,157,904","4,112,003","4,252,823","4,244,725","4,494,076","4,738,388","5,200,633","5,370,015","5,509,706","4,317,998","3,408,560","3,231,247","3,618,053","4,235,595","3,263,585","3,380,296","3,555,244","3,829,483","3,833,288","3,749,982","3,029,443","1,883,544","4,198,815","4,279,020"
Castle Clinton NM,"216,996","164,484","113,324","95,894","124,165","85,473","128,012","2,213,555","3,040,848","2,843,214","3,285,976","3,381,595","3,344,143","3,288,132","3,319,237","3,481,327","3,672,620","3,753,944","4,109,013","4,390,268","4,467,492","4,588,273","3,601,635","2,976,795","2,941,250","2,949,231","3,487,307","3,415,397","3,509,468","3,727,030","4,080,152","4,126,378","3,985,366","3,264,439","2,180,694","4,727,110","4,597,029"
San Francisco Maritime NHP,0,0,0,0,0,0,0,0,0,0,"5,203,302","3,088,265","4,317,598","3,560,895","3,649,325","3,733,911","3,631,994","3,670,972","3,530,687","3,535,081","3,535,315","3,433,066","3,256,974","3,558,544","3,984,826","4,055,479","3,976,056","3,984,645","4,042,022","4,086,211","4,152,497","4,130,970","4,224,897","4,129,983","4,154,455","4,256,888","4,173,014"
Jefferson NEM,"1,859,431","1,928,825","2,282,261","2,967,323","2,948,022","1,709,993","2,140,316","2,311,147","2,364,694","2,477,458","2,518,712","2,382,612","2,622,425","2,415,514","2,539,740","2,553,696","3,234,977","3,649,308","3,420,076","3,420,352","3,481,042","3,458,956","3,532,524","3,333,454","2,685,219","2,779,350","2,944,976","2,572,072","2,385,387","1,954,810","2,360,109","2,436,110","2,259,020","2,496,726","2,377,258","1,817,091","1,698,656"
Cuyahoga Valley NP,"543,025","563,300","596,300","717,815","939,562","1,018,828","1,004,858","1,042,148","1,113,405","1,229,717","1,159,648","1,200,622","1,358,984","1,430,382","2,266,139","3,266,401","3,195,207","3,455,878","3,527,837","3,467,107","3,324,284","3,324,918","3,123,353","3,217,935","2,879,591","3,306,175","2,533,827","2,468,816","2,486,656","2,828,233","2,589,288","2,492,670","2,161,185","2,299,722","2,103,010","2,189,849","2,284,612"
Colonial NHP,"7,172,127","6,338,912","8,558,803","8,518,883","2,068,928","2,504,777","2,138,188","1,990,230","2,431,687","2,472,650","2,223,181","2,308,398","2,197,903","2,188,121","2,345,401","3,296,242","3,303,324","3,145,039","3,218,180","3,122,557","3,136,262","3,153,600","3,282,461","3,324,188","3,329,139","3,327,573","3,338,695","3,344,018","3,343,910","3,332,039","3,324,751","3,459,965","3,414,577","3,274,187","3,168,731","3,335,060","3,343,909"
Independence NHP,"2,002,333","2,033,208","1,567,871","4,318,501","4,767,889","4,827,270","4,867,399","4,964,318","7,300,123","5,362,893","5,174,682","3,347,163","3,200,377","3,237,516","3,168,317","3,138,276","3,054,818","3,128,028","3,155,195","2,997,127","3,067,187","3,179,157","2,813,047","2,972,104","2,712,277","4,087,918","3,951,073","3,532,245","3,705,538","4,076,638","3,967,694","3,751,007","3,572,770","3,594,549","3,553,070","3,648,050","4,311,582"
