Title1,Title1,Title2
Annual Park Ranking Report for RV Campers in: 2008,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year)

VisitorsLabel1,Field1,Field2,Field3,Field4
RV Campers,Yosemite NP,1,"214,360",10.65%
RV Campers,Lake Mead NRA,2,"161,358",8.02%
RV Campers,Great Smoky Mountains NP,3,"118,981",5.91%
RV Campers,Grand Canyon NP,4,"101,075",5.02%
RV Campers,Death Valley NP,5,"92,604",4.60%
RV Campers,Glacier NP,6,"81,879",4.07%
RV Campers,Zion NP,7,"74,411",3.70%
RV Campers,Olympic NP,8,"58,135",2.89%
RV Campers,Yellowstone NP,9,"57,879",2.88%
RV Campers,Rocky Mountain NP,10,"52,302",2.60%
RV Campers,Lake Roosevelt NRA,11,"51,866",2.58%
RV Campers,Sleeping Bear Dunes NL,12,"51,406",2.55%
RV Campers,Bryce Canyon NP,13,"49,545",2.46%
RV Campers,Shenandoah NP,14,"43,842",2.18%
RV Campers,Curecanti NRA,15,"41,984",2.09%
RV Campers,Blue Ridge PKWY,16,"40,688",2.02%
RV Campers,Kings Canyon NP,17,"35,710",1.77%
RV Campers,Joshua Tree NP,18,"34,809",1.73%
RV Campers,Big South Fork NRRA,19,"33,263",1.65%
RV Campers,Padre Island NS,20,"31,013",1.54%
RV Campers,Denali NP & PRES,21,"28,686",1.43%
RV Campers,Sequoia NP,22,"27,294",1.36%
RV Campers,Lake Meredith NRA,23,"25,756",1.28%
RV Campers,Amistad NRA,24,"25,347",1.26%
RV Campers,Big Bend NP,25,"24,361",1.21%
RV Campers,Chickasaw NRA,26,"24,179",1.20%
RV Campers,Acadia NP,27,"21,198",1.05%
RV Campers,Assateague Island NS,28,"20,121",1.00%
RV Campers,Cape Hatteras NS,29,"20,115",1.00%
RV Campers,Mesa Verde NP,30,"20,017",0.99%
RV Campers,Everglades NP,31,"18,454",0.92%
RV Campers,Mount Rainier NP,32,"18,317",0.91%
RV Campers,Lassen Volcanic NP,33,"17,643",0.88%
RV Campers,Capitol Reef NP,34,"17,490",0.87%
RV Campers,Natchez Trace PKWY,35,"16,734",0.83%
RV Campers,Organ Pipe Cactus NM,36,"15,921",0.79%
RV Campers,Ozark NSR,37,"14,884",0.74%
RV Campers,Arches NP,38,"14,595",0.73%
RV Campers,Canyon de Chelly NM,39,"13,056",0.65%
RV Campers,Great Sand Dunes NP & PRES,40,"11,745",0.58%
RV Campers,Mammoth Cave NP,41,"10,708",0.53%
RV Campers,Big Cypress NPRES,42,"10,383",0.52%
RV Campers,Bighorn Canyon NRA,43,"10,234",0.51%
RV Campers,Buffalo NR,44,"10,200",0.51%
RV Campers,Ross Lake NRA,45,"10,038",0.50%
RV Campers,Theodore Roosevelt NP,46,"9,358",0.46%
RV Campers,Devils Tower NM,47,"9,220",0.46%
RV Campers,Great Basin NP,48,"8,647",0.43%
RV Campers,Canyonlands NP,49,"8,454",0.42%
RV Campers,Badlands NP,50,"7,949",0.39%
RV Campers,Colorado NM,51,"6,518",0.32%
RV Campers,Greenbelt Park,52,"6,190",0.31%
RV Campers,Craters of the Moon NM,53,"5,885",0.29%
RV Campers,Black Canyon of the Gunnison NP,54,"5,540",0.28%
RV Campers,Glen Canyon NRA,55,"4,973",0.25%
RV Campers,Dinosaur NM,56,"4,887",0.24%
RV Campers,Guadalupe Mountains NP,57,"4,616",0.23%
RV Campers,Cumberland Gap NHP,58,"4,603",0.23%
RV Campers,Gulf Islands NS,59,"4,590",0.23%
RV Campers,Indiana Dunes NL,60,"4,503",0.22%
RV Campers,New River Gorge NR,61,"4,348",0.22%
RV Campers,Chiricahua NM,62,"4,284",0.21%
RV Campers,Bandelier NM,63,"3,374",0.17%
RV Campers,Pinnacles NP,64,"3,094",0.15%
RV Campers,Gauley River NRA,65,"2,995",0.15%
RV Campers,Chaco Culture NHP,66,"2,883",0.14%
RV Campers,Pictured Rocks NL,67,"2,740",0.14%
RV Campers,Lava Beds NM,68,"2,446",0.12%
RV Campers,Natural Bridges NM,69,"2,313",0.11%
RV Campers,Whiskeytown NRA,70,"2,302",0.11%
RV Campers,Wind Cave NP,71,"2,248",0.11%
RV Campers,Hot Springs NP,72,"1,693",0.08%
RV Campers,Devils Postpile NM,73,"1,440",0.07%
RV Campers,Catoctin Mountain Park,74,"1,174",0.06%
RV Campers,Mojave NPRES,75,953,0.05%
RV Campers,El Morro NM,76,821,0.04%
RV Campers,Navajo NM,77,749,0.04%
RV Campers,Hovenweep NM,78,670,0.03%
RV Campers,Prince William Forest Park,79,455,0.02%
RV Campers,Hawaii Volcanoes NP,80,397,0.02%
RV Campers,Grand Teton NP,81,366,0.02%
RV Campers,Cedar Breaks NM,82,268,0.01%

