Title1,Title1,Title2
Annual Park Ranking Report for RV Campers in: 1981,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year)

VisitorsLabel1,Field1,Field2,Field3,Field4
RV Campers,Lake Mead NRA,1,"497,040",10.66%
RV Campers,Yellowstone NP,2,"391,437",8.39%
RV Campers,Yosemite NP,3,"340,229",7.30%
RV Campers,Glen Canyon NRA,4,"268,234",5.75%
RV Campers,Death Valley NP,5,"233,110",5.00%
RV Campers,Great Smoky Mountains NP,6,"210,194",4.51%
RV Campers,Glacier NP,7,"152,207",3.26%
RV Campers,Olympic NP,8,"151,851",3.26%
RV Campers,Blue Ridge PKWY,9,"140,451",3.01%
RV Campers,Gulf Islands NS,10,"120,776",2.59%
RV Campers,Lake Roosevelt NRA,11,"119,844",2.57%
RV Campers,Cape Hatteras NS,12,"114,462",2.45%
RV Campers,Shenandoah NP,13,"112,079",2.40%
RV Campers,Grand Teton NP,14,"106,725",2.29%
RV Campers,Rocky Mountain NP,15,"104,275",2.24%
RV Campers,Sequoia NP,16,"100,193",2.15%
RV Campers,Zion NP,17,"96,091",2.06%
RV Campers,Kings Canyon NP,18,"92,848",1.99%
RV Campers,Curecanti NRA,19,"87,616",1.88%
RV Campers,Mesa Verde NP,20,"76,368",1.64%
RV Campers,Acadia NP,21,"76,309",1.64%
RV Campers,Joshua Tree NP,22,"66,651",1.43%
RV Campers,Everglades NP,23,"63,648",1.36%
RV Campers,Ozark NSR,24,"61,164",1.31%
RV Campers,Organ Pipe Cactus NM,25,"57,595",1.24%
RV Campers,Amistad NRA,26,"51,843",1.11%
RV Campers,Mount Rainier NP,27,"44,485",0.95%
RV Campers,Bryce Canyon NP,28,"44,133",0.95%
RV Campers,Big Bend NP,29,"41,333",0.89%
RV Campers,North Cascades NP,30,"40,645",0.87%
RV Campers,Sleeping Bear Dunes NL,31,"38,062",0.82%
RV Campers,Whiskeytown NRA,32,"37,432",0.80%
RV Campers,Lassen Volcanic NP,33,"31,926",0.68%
RV Campers,Denali NP & PRES,34,"31,358",0.67%
RV Campers,Grand Canyon NP,35,"30,693",0.66%
RV Campers,Mammoth Cave NP,36,"30,328",0.65%
RV Campers,Greenbelt Park,37,"28,379",0.61%
RV Campers,Buffalo NR,38,"26,410",0.57%
RV Campers,Crater Lake NP,39,"23,724",0.51%
RV Campers,Chickasaw NRA,40,"22,729",0.49%
RV Campers,Canyon de Chelly NM,41,"21,489",0.46%
RV Campers,Theodore Roosevelt NP,42,"20,810",0.45%
RV Campers,Great Sand Dunes NP & PRES,43,"16,360",0.35%
RV Campers,Capitol Reef NP,44,"15,838",0.34%
RV Campers,Dinosaur NM,45,"15,800",0.34%
RV Campers,Badlands NP,46,"15,756",0.34%
RV Campers,Arches NP,47,"14,210",0.30%
RV Campers,Padre Island NS,48,"13,625",0.29%
RV Campers,Bighorn Canyon NRA,49,"12,576",0.27%
RV Campers,Black Canyon of the Gunnison NP,50,"11,964",0.26%
RV Campers,Craters of the Moon NM,51,"10,973",0.24%
RV Campers,Colorado NM,52,"9,826",0.21%
RV Campers,Natchez Trace PKWY,53,"8,417",0.18%
RV Campers,Chiricahua NM,54,"7,895",0.17%
RV Campers,Devils Tower NM,55,"7,675",0.16%
RV Campers,Bandelier NM,56,"7,632",0.16%
RV Campers,Hot Springs NP,57,"6,658",0.14%
RV Campers,Guadalupe Mountains NP,58,"5,744",0.12%
RV Campers,Cumberland Gap NHP,59,"5,704",0.12%
RV Campers,Chaco Culture NHP,60,"5,577",0.12%
RV Campers,Navajo NM,61,"5,460",0.12%
RV Campers,Pictured Rocks NL,62,"5,211",0.11%
RV Campers,Canyonlands NP,63,"4,953",0.11%
RV Campers,Sunset Crater Volcano NM,64,"4,946",0.11%
RV Campers,Assateague Island NS,65,"4,934",0.11%
RV Campers,Wind Cave NP,66,"4,908",0.11%
RV Campers,Prince William Forest Park,67,"4,468",0.10%
RV Campers,Catoctin Mountain Park,68,"4,074",0.09%
RV Campers,Lava Beds NM,69,"3,717",0.08%
RV Campers,"John D. Rockefeller, Jr. MEM PKWY",70,"3,138",0.07%
RV Campers,Natural Bridges NM,71,"3,092",0.07%
RV Campers,Haleakala NP,72,"2,523",0.05%
RV Campers,Devils Postpile NM,73,"2,374",0.05%
RV Campers,Chesapeake & Ohio Canal NHP,74,"2,157",0.05%
RV Campers,Pinnacles NP,75,"2,018",0.04%
RV Campers,Hovenweep NM,76,"1,731",0.04%
RV Campers,Hawaii Volcanoes NP,77,"1,610",0.03%
RV Campers,El Morro NM,78,"1,061",0.02%
RV Campers,Cedar Breaks NM,79,897,0.02%
RV Campers,John Day Fossil Beds NM,80,342,0.01%

