Title1,Title1,Title2
Annual Park Ranking Report for RV Campers in: 2007,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year)

VisitorsLabel1,Field1,Field2,Field3,Field4
RV Campers,Yosemite NP,1,"206,000",9.77%
RV Campers,Lake Mead NRA,2,"138,932",6.59%
RV Campers,Great Smoky Mountains NP,3,"134,112",6.36%
RV Campers,Death Valley NP,4,"106,160",5.04%
RV Campers,Grand Canyon NP,5,"100,735",4.78%
RV Campers,Glacier NP,6,"87,687",4.16%
RV Campers,Zion NP,7,"72,332",3.43%
RV Campers,Yellowstone NP,8,"66,632",3.16%
RV Campers,Olympic NP,9,"64,462",3.06%
RV Campers,Rocky Mountain NP,10,"59,826",2.84%
RV Campers,Lake Roosevelt NRA,11,"57,714",2.74%
RV Campers,Bryce Canyon NP,12,"50,455",2.39%
RV Campers,Sleeping Bear Dunes NL,13,"48,640",2.31%
RV Campers,Shenandoah NP,14,"46,776",2.22%
RV Campers,Blue Ridge PKWY,15,"41,822",1.98%
RV Campers,Joshua Tree NP,16,"40,032",1.90%
RV Campers,Denali NP & PRES,17,"38,428",1.82%
RV Campers,Lake Meredith NRA,18,"38,321",1.82%
RV Campers,Curecanti NRA,19,"36,928",1.75%
RV Campers,Padre Island NS,20,"34,295",1.63%
RV Campers,Kings Canyon NP,21,"32,954",1.56%
RV Campers,Big South Fork NRRA,22,"32,318",1.53%
RV Campers,Sequoia NP,23,"28,984",1.38%
RV Campers,Big Bend NP,24,"27,400",1.30%
RV Campers,Cape Hatteras NS,25,"25,554",1.21%
RV Campers,Amistad NRA,26,"24,696",1.17%
RV Campers,Acadia NP,27,"23,280",1.10%
RV Campers,Chickasaw NRA,28,"23,004",1.09%
RV Campers,Assateague Island NS,29,"22,009",1.04%
RV Campers,Ozark NSR,30,"18,796",0.89%
RV Campers,Mount Rainier NP,31,"18,441",0.88%
RV Campers,Capitol Reef NP,32,"17,876",0.85%
RV Campers,Lassen Volcanic NP,33,"17,658",0.84%
RV Campers,Badlands NP,34,"16,506",0.78%
RV Campers,Natchez Trace PKWY,35,"15,987",0.76%
RV Campers,Buffalo NR,36,"15,644",0.74%
RV Campers,Mammoth Cave NP,37,"15,468",0.73%
RV Campers,Arches NP,38,"15,081",0.72%
RV Campers,Canyon de Chelly NM,39,"15,042",0.71%
RV Campers,Everglades NP,40,"14,973",0.71%
RV Campers,Great Sand Dunes NP & PRES,41,"14,906",0.71%
RV Campers,Organ Pipe Cactus NM,42,"14,811",0.70%
RV Campers,Big Cypress NPRES,43,"13,240",0.63%
RV Campers,Mesa Verde NP,44,"13,101",0.62%
RV Campers,Great Basin NP,45,"11,780",0.56%
RV Campers,Theodore Roosevelt NP,46,"11,331",0.54%
RV Campers,Cumberland Gap NHP,47,"9,298",0.44%
RV Campers,Ross Lake NRA,48,"9,298",0.44%
RV Campers,Bighorn Canyon NRA,49,"8,973",0.43%
RV Campers,Greenbelt Park,50,"7,987",0.38%
RV Campers,Canyonlands NP,51,"7,770",0.37%
RV Campers,Craters of the Moon NM,52,"6,425",0.30%
RV Campers,Black Canyon of the Gunnison NP,53,"6,401",0.30%
RV Campers,Dinosaur NM,54,"5,893",0.28%
RV Campers,Colorado NM,55,"5,428",0.26%
RV Campers,Glen Canyon NRA,56,"5,057",0.24%
RV Campers,New River Gorge NR,57,"4,692",0.22%
RV Campers,Devils Tower NM,58,"4,581",0.22%
RV Campers,Guadalupe Mountains NP,59,"4,545",0.22%
RV Campers,Chiricahua NM,60,"4,143",0.20%
RV Campers,Indiana Dunes NL,61,"3,974",0.19%
RV Campers,Chaco Culture NHP,62,"3,876",0.18%
RV Campers,Bandelier NM,63,"3,796",0.18%
RV Campers,Pictured Rocks NL,64,"3,776",0.18%
RV Campers,Pinnacles NP,65,"3,314",0.16%
RV Campers,Whiskeytown NRA,66,"3,159",0.15%
RV Campers,Lava Beds NM,67,"3,144",0.15%
RV Campers,Gulf Islands NS,68,"3,008",0.14%
RV Campers,Gauley River NRA,69,"2,994",0.14%
RV Campers,Wind Cave NP,70,"2,748",0.13%
RV Campers,Natural Bridges NM,71,"2,528",0.12%
RV Campers,Hot Springs NP,72,"2,295",0.11%
RV Campers,Devils Postpile NM,73,"1,622",0.08%
RV Campers,Mojave NPRES,74,"1,313",0.06%
RV Campers,Catoctin Mountain Park,75,"1,039",0.05%
RV Campers,Navajo NM,76,812,0.04%
RV Campers,El Morro NM,77,774,0.04%
RV Campers,Hovenweep NM,78,554,0.03%
RV Campers,Cedar Breaks NM,79,473,0.02%
RV Campers,Prince William Forest Park,80,429,0.02%
RV Campers,Hawaii Volcanoes NP,81,293,0.01%

