Title1,Title1,Title2
Annual Park Ranking Report for RV Campers in: 1982,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year)

VisitorsLabel1,Field1,Field2,Field3,Field4
RV Campers,Lake Mead NRA,1,"535,233",11.65%
RV Campers,Yellowstone NP,2,"349,319",7.60%
RV Campers,Yosemite NP,3,"339,074",7.38%
RV Campers,Glen Canyon NRA,4,"311,677",6.78%
RV Campers,Death Valley NP,5,"267,948",5.83%
RV Campers,Great Smoky Mountains NP,6,"220,041",4.79%
RV Campers,Glacier NP,7,"134,574",2.93%
RV Campers,Blue Ridge PKWY,8,"126,365",2.75%
RV Campers,Gulf Islands NS,9,"122,198",2.66%
RV Campers,Olympic NP,10,"115,194",2.51%
RV Campers,Shenandoah NP,11,"111,194",2.42%
RV Campers,Grand Teton NP,12,"108,665",2.36%
RV Campers,Lake Roosevelt NRA,13,"108,466",2.36%
RV Campers,Zion NP,14,"99,377",2.16%
RV Campers,Cape Hatteras NS,15,"99,046",2.16%
RV Campers,Sequoia NP,16,"91,293",1.99%
RV Campers,Acadia NP,17,"84,841",1.85%
RV Campers,Rocky Mountain NP,18,"84,273",1.83%
RV Campers,Curecanti NRA,19,"81,308",1.77%
RV Campers,Mesa Verde NP,20,"73,796",1.61%
RV Campers,Ozark NSR,21,"72,094",1.57%
RV Campers,Joshua Tree NP,22,"70,371",1.53%
RV Campers,Kings Canyon NP,23,"69,442",1.51%
RV Campers,Amistad NRA,24,"61,473",1.34%
RV Campers,Everglades NP,25,"57,182",1.24%
RV Campers,Organ Pipe Cactus NM,26,"55,204",1.20%
RV Campers,North Cascades NP,27,"44,124",0.96%
RV Campers,Bryce Canyon NP,28,"44,055",0.96%
RV Campers,Mount Rainier NP,29,"43,719",0.95%
RV Campers,Big Bend NP,30,"41,320",0.90%
RV Campers,Mammoth Cave NP,31,"32,348",0.70%
RV Campers,Chickasaw NRA,32,"31,774",0.69%
RV Campers,Whiskeytown NRA,33,"31,375",0.68%
RV Campers,Sleeping Bear Dunes NL,34,"29,999",0.65%
RV Campers,Denali NP & PRES,35,"28,131",0.61%
RV Campers,Buffalo NR,36,"27,704",0.60%
RV Campers,Lassen Volcanic NP,37,"27,013",0.59%
RV Campers,Grand Canyon NP,38,"26,894",0.59%
RV Campers,Greenbelt Park,39,"23,351",0.51%
RV Campers,Canyon de Chelly NM,40,"22,422",0.49%
RV Campers,Theodore Roosevelt NP,41,"19,600",0.43%
RV Campers,Capitol Reef NP,42,"18,831",0.41%
RV Campers,Padre Island NS,43,"18,368",0.40%
RV Campers,Crater Lake NP,44,"16,821",0.37%
RV Campers,Great Sand Dunes NP & PRES,45,"16,682",0.36%
RV Campers,Dinosaur NM,46,"16,329",0.36%
RV Campers,Arches NP,47,"14,591",0.32%
RV Campers,Bighorn Canyon NRA,48,"12,981",0.28%
RV Campers,Black Canyon of the Gunnison NP,49,"10,396",0.23%
RV Campers,Badlands NP,50,"10,359",0.23%
RV Campers,Craters of the Moon NM,51,"10,168",0.22%
RV Campers,Natchez Trace PKWY,52,"9,883",0.22%
RV Campers,Colorado NM,53,"8,287",0.18%
RV Campers,Guadalupe Mountains NP,54,"7,733",0.17%
RV Campers,Cumberland Gap NHP,55,"7,709",0.17%
RV Campers,Bandelier NM,56,"7,508",0.16%
RV Campers,Chiricahua NM,57,"7,408",0.16%
RV Campers,Devils Tower NM,58,"7,138",0.16%
RV Campers,Hot Springs NP,59,"6,237",0.14%
RV Campers,Chaco Culture NHP,60,"5,930",0.13%
RV Campers,Canyonlands NP,61,"5,356",0.12%
RV Campers,Navajo NM,62,"5,034",0.11%
RV Campers,Pictured Rocks NL,63,"5,033",0.11%
RV Campers,Wind Cave NP,64,"4,805",0.10%
RV Campers,Assateague Island NS,65,"4,457",0.10%
RV Campers,Sunset Crater Volcano NM,66,"4,190",0.09%
RV Campers,Prince William Forest Park,67,"3,770",0.08%
RV Campers,"John D. Rockefeller, Jr. MEM PKWY",68,"3,703",0.08%
RV Campers,Lava Beds NM,69,"3,272",0.07%
RV Campers,Hawaii Volcanoes NP,70,"3,053",0.07%
RV Campers,Catoctin Mountain Park,71,"3,049",0.07%
RV Campers,Cedar Breaks NM,72,"2,186",0.05%
RV Campers,Hovenweep NM,73,"1,876",0.04%
RV Campers,Klondike Gold Rush NHP Alaska,74,"1,713",0.04%
RV Campers,Natural Bridges NM,75,"1,512",0.03%
RV Campers,Chesapeake & Ohio Canal NHP,76,"1,511",0.03%
RV Campers,Devils Postpile NM,77,"1,457",0.03%
RV Campers,Pinnacles NP,78,"1,390",0.03%
RV Campers,El Morro NM,79,"1,025",0.02%
RV Campers,Haleakala NP,80,487,0.01%
RV Campers,John Day Fossil Beds NM,81,321,0.01%

