Title1,Title1,Title2
Annual Park Ranking Report for RV Campers in: 1984,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year)

VisitorsLabel1,Field1,Field2,Field3,Field4
RV Campers,Yosemite NP,1,"407,930",10.35%
RV Campers,Lake Mead NRA,2,"373,153",9.46%
RV Campers,Yellowstone NP,3,"301,056",7.63%
RV Campers,Death Valley NP,4,"242,661",6.15%
RV Campers,Glen Canyon NRA,5,"196,866",4.99%
RV Campers,Great Smoky Mountains NP,6,"186,801",4.74%
RV Campers,Glacier NP,7,"128,488",3.26%
RV Campers,Olympic NP,8,"109,562",2.78%
RV Campers,Shenandoah NP,9,"97,799",2.48%
RV Campers,Zion NP,10,"96,609",2.45%
RV Campers,Lake Roosevelt NRA,11,"95,038",2.41%
RV Campers,Gulf Islands NS,12,"94,888",2.41%
RV Campers,Kings Canyon NP,13,"87,220",2.21%
RV Campers,Grand Teton NP,14,"85,555",2.17%
RV Campers,Blue Ridge PKWY,15,"85,257",2.16%
RV Campers,Curecanti NRA,16,"84,752",2.15%
RV Campers,Cape Hatteras NS,17,"82,831",2.10%
RV Campers,Sequoia NP,18,"78,498",1.99%
RV Campers,Joshua Tree NP,19,"75,544",1.92%
RV Campers,Mesa Verde NP,20,"64,776",1.64%
RV Campers,Amistad NRA,21,"63,867",1.62%
RV Campers,Rocky Mountain NP,22,"61,278",1.55%
RV Campers,Everglades NP,23,"56,441",1.43%
RV Campers,Big Bend NP,24,"53,255",1.35%
RV Campers,Organ Pipe Cactus NM,25,"51,420",1.30%
RV Campers,Ozark NSR,26,"43,743",1.11%
RV Campers,Mount Rainier NP,27,"42,915",1.09%
RV Campers,Bryce Canyon NP,28,"41,394",1.05%
RV Campers,North Cascades NP,29,"38,371",0.97%
RV Campers,Denali NP & PRES,30,"35,923",0.91%
RV Campers,Acadia NP,31,"32,192",0.82%
RV Campers,Sleeping Bear Dunes NL,32,"29,389",0.75%
RV Campers,Grand Canyon NP,33,"26,167",0.66%
RV Campers,Mammoth Cave NP,34,"23,822",0.60%
RV Campers,Chickasaw NRA,35,"23,478",0.60%
RV Campers,Canyon de Chelly NM,36,"23,250",0.59%
RV Campers,Greenbelt Park,37,"20,979",0.53%
RV Campers,Capitol Reef NP,38,"17,450",0.44%
RV Campers,Natchez Trace PKWY,39,"16,329",0.41%
RV Campers,Buffalo NR,40,"16,213",0.41%
RV Campers,Lassen Volcanic NP,41,"15,082",0.38%
RV Campers,Great Sand Dunes NP & PRES,42,"14,599",0.37%
RV Campers,Padre Island NS,43,"13,481",0.34%
RV Campers,Whiskeytown NRA,44,"12,224",0.31%
RV Campers,Theodore Roosevelt NP,45,"12,075",0.31%
RV Campers,Dinosaur NM,46,"12,069",0.31%
RV Campers,Arches NP,47,"11,959",0.30%
RV Campers,Sunset Crater Volcano NM,48,"11,472",0.29%
RV Campers,Badlands NP,49,"11,122",0.28%
RV Campers,Hot Springs NP,50,"10,980",0.28%
RV Campers,Bighorn Canyon NRA,51,"10,464",0.27%
RV Campers,Craters of the Moon NM,52,"9,926",0.25%
RV Campers,Colorado NM,53,"7,479",0.19%
RV Campers,Black Canyon of the Gunnison NP,54,"7,459",0.19%
RV Campers,Chiricahua NM,55,"7,167",0.18%
RV Campers,Bandelier NM,56,"7,053",0.18%
RV Campers,Guadalupe Mountains NP,57,"6,892",0.17%
RV Campers,Devils Tower NM,58,"6,736",0.17%
RV Campers,Canyonlands NP,59,"5,470",0.14%
RV Campers,Wind Cave NP,60,"5,349",0.14%
RV Campers,"John D. Rockefeller, Jr. MEM PKWY",61,"5,087",0.13%
RV Campers,Pictured Rocks NL,62,"4,578",0.12%
RV Campers,Chaco Culture NHP,63,"4,406",0.11%
RV Campers,Lava Beds NM,64,"4,354",0.11%
RV Campers,Cumberland Gap NHP,65,"4,318",0.11%
RV Campers,Navajo NM,66,"3,773",0.10%
RV Campers,Assateague Island NS,67,"3,684",0.09%
RV Campers,Prince William Forest Park,68,"3,349",0.08%
RV Campers,Hawaii Volcanoes NP,69,"2,670",0.07%
RV Campers,Catoctin Mountain Park,70,"2,583",0.07%
RV Campers,Cedar Breaks NM,71,"2,385",0.06%
RV Campers,Hovenweep NM,72,"1,873",0.05%
RV Campers,Devils Postpile NM,73,"1,738",0.04%
RV Campers,Natural Bridges NM,74,"1,435",0.04%
RV Campers,El Morro NM,75,"1,272",0.03%
RV Campers,Pinnacles NP,76,"1,163",0.03%
RV Campers,Chesapeake & Ohio Canal NHP,77,974,0.02%
RV Campers,Klondike Gold Rush NHP Alaska,78,945,0.02%
RV Campers,John Day Fossil Beds NM,79,243,0.01%
RV Campers,Haleakala NP,80,123,0.00%
RV Campers,Katmai NP & PRES,81,12,0.00%

