Title1,Title1,Title2
Annual Park Ranking Report for RV Campers in: 1994,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year)

VisitorsLabel1,Field1,Field2,Field3,Field4
RV Campers,Yosemite NP,1,"332,916",9.75%
RV Campers,Yellowstone NP,2,"292,277",8.56%
RV Campers,Lake Mead NRA,3,"268,615",7.87%
RV Campers,Death Valley NP,4,"179,494",5.26%
RV Campers,Great Smoky Mountains NP,5,"153,733",4.50%
RV Campers,Olympic NP,6,"126,703",3.71%
RV Campers,Gulf Islands NS,7,"119,598",3.50%
RV Campers,Grand Teton NP,8,"117,568",3.44%
RV Campers,Glacier NP,9,"102,476",3.00%
RV Campers,Glen Canyon NRA,10,"93,140",2.73%
RV Campers,Grand Canyon NP,11,"86,196",2.52%
RV Campers,Lake Roosevelt NRA,12,"77,721",2.28%
RV Campers,Rocky Mountain NP,13,"72,953",2.14%
RV Campers,Lake Meredith NRA,14,"65,867",1.93%
RV Campers,Zion NP,15,"62,719",1.84%
RV Campers,Blue Ridge PKWY,16,"57,998",1.70%
RV Campers,Curecanti NRA,17,"54,552",1.60%
RV Campers,Padre Island NS,18,"53,368",1.56%
RV Campers,Redwood NP,19,"52,859",1.55%
RV Campers,Shenandoah NP,20,"51,796",1.52%
RV Campers,Denali NP & PRES,21,"49,681",1.45%
RV Campers,Bryce Canyon NP,22,"49,078",1.44%
RV Campers,Sequoia NP,23,"48,098",1.41%
RV Campers,Organ Pipe Cactus NM,24,"46,892",1.37%
RV Campers,Kings Canyon NP,25,"46,173",1.35%
RV Campers,Big Bend NP,26,"44,060",1.29%
RV Campers,Joshua Tree NP,27,"39,885",1.17%
RV Campers,Sleeping Bear Dunes NL,28,"37,316",1.09%
RV Campers,Canyon de Chelly NM,29,"36,169",1.06%
RV Campers,Mount Rainier NP,30,"32,037",0.94%
RV Campers,Acadia NP,31,"29,025",0.85%
RV Campers,Lassen Volcanic NP,32,"28,557",0.84%
RV Campers,Buffalo NR,33,"27,862",0.82%
RV Campers,Amistad NRA,34,"25,479",0.75%
RV Campers,Cape Hatteras NS,35,"25,452",0.75%
RV Campers,Mammoth Cave NP,36,"24,224",0.71%
RV Campers,Capitol Reef NP,37,"21,707",0.64%
RV Campers,Ross Lake NRA,38,"21,247",0.62%
RV Campers,Big South Fork NRRA,39,"20,453",0.60%
RV Campers,Ozark NSR,40,"19,964",0.58%
RV Campers,Mesa Verde NP,41,"18,966",0.56%
RV Campers,Natchez Trace PKWY,42,"18,054",0.53%
RV Campers,Badlands NP,43,"17,963",0.53%
RV Campers,Theodore Roosevelt NP,44,"17,798",0.52%
RV Campers,Everglades NP,45,"15,868",0.46%
RV Campers,Chickasaw NRA,46,"14,816",0.43%
RV Campers,Assateague Island NS,47,"14,214",0.42%
RV Campers,Great Sand Dunes NP & PRES,48,"14,020",0.41%
RV Campers,Arches NP,49,"13,039",0.38%
RV Campers,Great Basin NP,50,"12,518",0.37%
RV Campers,Dinosaur NM,51,"12,187",0.36%
RV Campers,Big Cypress NPRES,52,"10,682",0.31%
RV Campers,Colorado NM,53,"10,522",0.31%
RV Campers,Greenbelt Park,54,"9,344",0.27%
RV Campers,Bighorn Canyon NRA,55,"9,338",0.27%
RV Campers,Canyonlands NP,56,"9,055",0.27%
RV Campers,Devils Tower NM,57,"8,782",0.26%
RV Campers,Craters of the Moon NM,58,"8,199",0.24%
RV Campers,Bandelier NM,59,"7,969",0.23%
RV Campers,Hot Springs NP,60,"6,674",0.20%
RV Campers,Guadalupe Mountains NP,61,"6,536",0.19%
RV Campers,Chiricahua NM,62,"6,391",0.19%
RV Campers,Chaco Culture NHP,63,"5,020",0.15%
RV Campers,Black Canyon of the Gunnison NP,64,"4,918",0.14%
RV Campers,Cumberland Gap NHP,65,"4,485",0.13%
RV Campers,New River Gorge NR,66,"4,465",0.13%
RV Campers,Wind Cave NP,67,"4,290",0.13%
RV Campers,Pictured Rocks NL,68,"3,653",0.11%
RV Campers,Indiana Dunes NL,69,"3,478",0.10%
RV Campers,Navajo NM,70,"3,251",0.10%
RV Campers,Natural Bridges NM,71,"2,508",0.07%
RV Campers,Whiskeytown NRA,72,"2,426",0.07%
RV Campers,Cedar Breaks NM,73,"2,283",0.07%
RV Campers,Catoctin Mountain Park,74,"2,214",0.06%
RV Campers,Gauley River NRA,75,"1,773",0.05%
RV Campers,Chesapeake & Ohio Canal NHP,76,"1,698",0.05%
RV Campers,Prince William Forest Park,77,"1,692",0.05%
RV Campers,Lava Beds NM,78,"1,664",0.05%
RV Campers,Hovenweep NM,79,"1,512",0.04%
RV Campers,Devils Postpile NM,80,"1,470",0.04%
RV Campers,El Morro NM,81,"1,267",0.04%
RV Campers,Klondike Gold Rush NHP Alaska,82,577,0.02%
RV Campers,Pinnacles NP,83,410,0.01%
RV Campers,Hawaii Volcanoes NP,84,357,0.01%
RV Campers,Obed W&SR,85,313,0.01%
RV Campers,Kenai Fjords NP,86,30,0.00%

