Title1,Title1,Title2
Annual Park Ranking Report for Tent Campers in: 2002,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/System Wide Reports/Annual Park Ranking Report (1979 - Last Calendar Year)?RptYear=2002&RptField=TT

VisitorsLabel1,Field1,Field2,Field3,Field4
Tent Campers,Yosemite NP,1,"485,461",14.46%
Tent Campers,Joshua Tree NP,2,"175,536",5.23%
Tent Campers,Grand Canyon NP,3,"166,098",4.95%
Tent Campers,Great Smoky Mountains NP,4,"154,853",4.61%
Tent Campers,Olympic NP,5,"130,001",3.87%
Tent Campers,Acadia NP,6,"122,340",3.64%
Tent Campers,Grand Teton NP,7,"115,963",3.45%
Tent Campers,Lake Mead NRA,8,"113,424",3.38%
Tent Campers,Sequoia NP,9,"96,080",2.86%
Tent Campers,Rocky Mountain NP,10,"93,843",2.80%
Tent Campers,Shenandoah NP,11,"91,818",2.73%
Tent Campers,Zion NP,12,"90,747",2.70%
Tent Campers,Glacier NP,13,"90,246",2.69%
Tent Campers,Yellowstone NP,14,"75,974",2.26%
Tent Campers,Kings Canyon NP,15,"74,123",2.21%
Tent Campers,Blue Ridge PKWY,16,"63,411",1.89%
Tent Campers,Buffalo NR,17,"60,032",1.79%
Tent Campers,Cape Hatteras NS,18,"59,980",1.79%
Tent Campers,Assateague Island NS,19,"52,354",1.56%
Tent Campers,Chickasaw NRA,20,"51,716",1.54%
Tent Campers,Mount Rainier NP,21,"50,828",1.51%
Tent Campers,Sleeping Bear Dunes NL,22,"49,018",1.46%
Tent Campers,Lassen Volcanic NP,23,"46,851",1.40%
Tent Campers,Death Valley NP,24,"44,801",1.33%
Tent Campers,Big Bend NP,25,"42,236",1.26%
Tent Campers,Bryce Canyon NP,26,"40,237",1.20%
Tent Campers,Ozark NSR,27,"38,936",1.16%
Tent Campers,Lake Roosevelt NRA,28,"38,803",1.16%
Tent Campers,Mammoth Cave NP,29,"35,996",1.07%
Tent Campers,Arches NP,30,"29,450",0.88%
Tent Campers,Gulf Islands NS,31,"26,915",0.80%
Tent Campers,Mesa Verde NP,32,"24,725",0.74%
Tent Campers,Badlands NP,33,"23,192",0.69%
Tent Campers,Chesapeake & Ohio Canal NHP,34,"22,223",0.66%
Tent Campers,Great Basin NP,35,"21,196",0.63%
Tent Campers,Great Sand Dunes NP & PRES,36,"20,926",0.62%
Tent Campers,Everglades NP,37,"20,074",0.60%
Tent Campers,Dinosaur NM,38,"19,456",0.58%
Tent Campers,Indiana Dunes NL,39,"19,121",0.57%
Tent Campers,Ross Lake NRA,40,"19,008",0.57%
Tent Campers,Padre Island NS,41,"17,174",0.51%
Tent Campers,Canyonlands NP,42,"16,907",0.50%
Tent Campers,Haleakala NP,43,"16,849",0.50%
Tent Campers,Capitol Reef NP,44,"16,380",0.49%
Tent Campers,Denali NP & PRES,45,"15,517",0.46%
Tent Campers,Greenbelt Park,46,"13,629",0.41%
Tent Campers,Cumberland Island NS,47,"12,909",0.38%
Tent Campers,Pictured Rocks NL,48,"12,865",0.38%
Tent Campers,Chaco Culture NHP,49,"12,381",0.37%
Tent Campers,New River Gorge NR,50,"11,460",0.34%
Tent Campers,Big South Fork NRRA,51,"10,698",0.32%
Tent Campers,Guadalupe Mountains NP,52,"10,131",0.30%
Tent Campers,Canyon de Chelly NM,53,"9,627",0.29%
Tent Campers,Theodore Roosevelt NP,54,"9,527",0.28%
Tent Campers,Colorado NM,55,"9,243",0.28%
Tent Campers,Bandelier NM,56,"8,481",0.25%
Tent Campers,Curecanti NRA,57,"8,244",0.25%
Tent Campers,Hawaii Volcanoes NP,58,"7,926",0.24%
Tent Campers,Redwood NP,59,"7,889",0.23%
Tent Campers,Lake Meredith NRA,60,"7,315",0.22%
Tent Campers,Crater Lake NP,61,"6,803",0.20%
Tent Campers,Devils Tower NM,62,"6,682",0.20%
Tent Campers,Catoctin Mountain Park,63,"6,670",0.20%
Tent Campers,Natchez Trace PKWY,64,"6,519",0.19%
Tent Campers,Black Canyon of the Gunnison NP,65,"6,355",0.19%
Tent Campers,Organ Pipe Cactus NM,66,"6,032",0.18%
Tent Campers,Isle Royale NP,67,"5,720",0.17%
Tent Campers,Craters of the Moon NM,68,"5,487",0.16%
Tent Campers,Wind Cave NP,69,"5,367",0.16%
Tent Campers,Glen Canyon NRA,70,"5,339",0.16%
Tent Campers,Big Cypress NPRES,71,"4,684",0.14%
Tent Campers,Chiricahua NM,72,"4,654",0.14%
Tent Campers,Natural Bridges NM,73,"4,111",0.12%
Tent Campers,Lava Beds NM,74,"3,898",0.12%
Tent Campers,Dry Tortugas NP,75,"3,678",0.11%
Tent Campers,Fire Island NS,76,"3,520",0.10%
Tent Campers,Cumberland Gap NHP,77,"3,397",0.10%
Tent Campers,Golden Gate NRA,78,"3,338",0.10%
Tent Campers,Devils Postpile NM,79,"3,334",0.10%
Tent Campers,Obed W&SR,80,"3,109",0.09%
Tent Campers,Hot Springs NP,81,"3,072",0.09%
Tent Campers,Prince William Forest Park,82,"2,957",0.09%
Tent Campers,Bighorn Canyon NRA,83,"2,814",0.08%
Tent Campers,Gauley River NRA,84,"2,771",0.08%
Tent Campers,Amistad NRA,85,"2,671",0.08%
Tent Campers,Katmai NP & PRES,86,"2,315",0.07%
Tent Campers,Cedar Breaks NM,87,"1,622",0.05%
Tent Campers,El Morro NM,88,"1,505",0.04%
Tent Campers,Mojave NPRES,89,"1,447",0.04%
Tent Campers,Klondike Gold Rush NHP Alaska,90,"1,033",0.03%
Tent Campers,Kenai Fjords NP,91,"1,032",0.03%
Tent Campers,Hovenweep NM,92,936,0.03%
Tent Campers,Glacier Bay NP & PRES,93,798,0.02%
Tent Campers,Navajo NM,94,699,0.02%

