Title1,Title1,Title2
Annual Park Ranking Report for Tent Campers in: 1986,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/System Wide Reports/Annual Park Ranking Report (1979 - Last Calendar Year)?RptYear=1986&RptField=TT

VisitorsLabel1,Field1,Field2,Field3,Field4
Tent Campers,Yosemite NP,1,"511,981",14.80%
Tent Campers,Yellowstone NP,2,"200,490",5.79%
Tent Campers,Great Smoky Mountains NP,3,"179,204",5.18%
Tent Campers,Acadia NP,4,"156,438",4.52%
Tent Campers,Sequoia NP,5,"137,102",3.96%
Tent Campers,Lake Mead NRA,6,"125,995",3.64%
Tent Campers,Shenandoah NP,7,"116,975",3.38%
Tent Campers,Olympic NP,8,"102,246",2.96%
Tent Campers,Cape Hatteras NS,9,"93,405",2.70%
Tent Campers,Kings Canyon NP,10,"90,911",2.63%
Tent Campers,Grand Teton NP,11,"89,999",2.60%
Tent Campers,Rocky Mountain NP,12,"88,950",2.57%
Tent Campers,Zion NP,13,"88,084",2.55%
Tent Campers,Ozark NSR,14,"83,097",2.40%
Tent Campers,Joshua Tree NP,15,"74,826",2.16%
Tent Campers,Mesa Verde NP,16,"67,872",1.96%
Tent Campers,Glen Canyon NRA,17,"66,252",1.91%
Tent Campers,Glacier NP,18,"65,251",1.89%
Tent Campers,Big Bend NP,19,"63,468",1.83%
Tent Campers,Blue Ridge PKWY,20,"62,446",1.80%
Tent Campers,Grand Canyon NP,21,"61,133",1.77%
Tent Campers,Death Valley NP,22,"57,435",1.66%
Tent Campers,Mount Rainier NP,23,"56,540",1.63%
Tent Campers,Lake Roosevelt NRA,24,"49,507",1.43%
Tent Campers,Gulf Islands NS,25,"45,980",1.33%
Tent Campers,Chickasaw NRA,26,"43,872",1.27%
Tent Campers,Bryce Canyon NP,27,"39,185",1.13%
Tent Campers,Buffalo NR,28,"34,021",0.98%
Tent Campers,Denali NP & PRES,29,"33,523",0.97%
Tent Campers,Sleeping Bear Dunes NL,30,"29,765",0.86%
Tent Campers,Mammoth Cave NP,31,"28,976",0.84%
Tent Campers,Lassen Volcanic NP,32,"27,207",0.79%
Tent Campers,North Cascades NP,33,"26,562",0.77%
Tent Campers,Arches NP,34,"24,227",0.70%
Tent Campers,Everglades NP,35,"19,836",0.57%
Tent Campers,Dinosaur NM,36,"19,573",0.57%
Tent Campers,Canyon de Chelly NM,37,"19,047",0.55%
Tent Campers,Amistad NRA,38,"18,105",0.52%
Tent Campers,Greenbelt Park,39,"17,708",0.51%
Tent Campers,Canyonlands NP,40,"17,299",0.50%
Tent Campers,Prince William Forest Park,41,"16,913",0.49%
Tent Campers,Curecanti NRA,42,"15,564",0.45%
Tent Campers,Great Sand Dunes NP & PRES,43,"15,489",0.45%
Tent Campers,Assateague Island NS,44,"13,075",0.38%
Tent Campers,Guadalupe Mountains NP,45,"12,559",0.36%
Tent Campers,Capitol Reef NP,46,"12,415",0.36%
Tent Campers,Haleakala NP,47,"12,387",0.36%
Tent Campers,Bandelier NM,48,"11,287",0.33%
Tent Campers,Cumberland Island NS,49,"10,856",0.31%
Tent Campers,Badlands NP,50,"10,537",0.30%
Tent Campers,Pictured Rocks NL,51,"10,222",0.30%
Tent Campers,Chaco Culture NHP,52,"10,202",0.29%
Tent Campers,Colorado NM,53,"9,467",0.27%
Tent Campers,Fire Island NS,54,"8,840",0.26%
Tent Campers,Padre Island NS,55,"8,726",0.25%
Tent Campers,Devils Tower NM,56,"8,265",0.24%
Tent Campers,Voyageurs NP,57,"8,084",0.23%
Tent Campers,Hawaii Volcanoes NP,58,"8,028",0.23%
Tent Campers,Organ Pipe Cactus NM,59,"7,496",0.22%
Tent Campers,Natchez Trace PKWY,60,"7,359",0.21%
Tent Campers,Catoctin Mountain Park,61,"7,278",0.21%
Tent Campers,Theodore Roosevelt NP,62,"6,924",0.20%
Tent Campers,Lava Beds NM,63,"6,798",0.20%
Tent Campers,Wind Cave NP,64,"6,707",0.19%
Tent Campers,Bighorn Canyon NRA,65,"6,675",0.19%
Tent Campers,Sunset Crater Volcano NM,66,"6,117",0.18%
Tent Campers,Pinnacles NP,67,"6,006",0.17%
Tent Campers,Isle Royale NP,68,"5,918",0.17%
Tent Campers,Navajo NM,69,"4,984",0.14%
Tent Campers,"John D. Rockefeller, Jr. MEM PKWY",70,"4,556",0.13%
Tent Campers,Cumberland Gap NHP,71,"4,330",0.13%
Tent Campers,Hot Springs NP,72,"4,006",0.12%
Tent Campers,Chiricahua NM,73,"3,974",0.11%
Tent Campers,Craters of the Moon NM,74,"3,438",0.10%
Tent Campers,Apostle Islands NL,75,"3,149",0.09%
Tent Campers,Dry Tortugas NP,76,"2,684",0.08%
Tent Campers,Black Canyon of the Gunnison NP,77,"2,642",0.08%
Tent Campers,Biscayne NP,78,"2,484",0.07%
Tent Campers,Golden Gate NRA,79,"2,427",0.07%
Tent Campers,Devils Postpile NM,80,"2,375",0.07%
Tent Campers,Katmai NP & PRES,81,"2,368",0.07%
Tent Campers,Glacier Bay NP & PRES,82,"2,048",0.06%
Tent Campers,Cedar Breaks NM,83,"1,771",0.05%
Tent Campers,El Morro NM,84,"1,606",0.05%
Tent Campers,Klondike Gold Rush NHP Alaska,85,"1,543",0.04%
Tent Campers,Natural Bridges NM,86,"1,501",0.04%
Tent Campers,Redwood NP,87,"1,438",0.04%
Tent Campers,New River Gorge NR,88,935,0.03%
Tent Campers,Hovenweep NM,89,692,0.02%
Tent Campers,Kenai Fjords NP,90,340,0.01%
Tent Campers,John Day Fossil Beds NM,91,27,0.00%

