Title1,Title1,Title2
Annual Park Ranking Report for Tent Campers in: 2001,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/System Wide Reports/Annual Park Ranking Report (1979 - Last Calendar Year)?RptYear=2001&RptField=TT

VisitorsLabel1,Field1,Field2,Field3,Field4
Tent Campers,Yosemite NP,1,"473,303",14.23%
Tent Campers,Grand Canyon NP,2,"170,219",5.12%
Tent Campers,Great Smoky Mountains NP,3,"146,724",4.41%
Tent Campers,Joshua Tree NP,4,"128,532",3.86%
Tent Campers,Olympic NP,5,"123,847",3.72%
Tent Campers,Acadia NP,6,"118,545",3.56%
Tent Campers,Grand Teton NP,7,"113,720",3.42%
Tent Campers,Sequoia NP,8,"103,216",3.10%
Tent Campers,Lake Mead NRA,9,"98,528",2.96%
Tent Campers,Shenandoah NP,10,"95,637",2.87%
Tent Campers,Rocky Mountain NP,11,"95,055",2.86%
Tent Campers,Glacier NP,12,"95,034",2.86%
Tent Campers,Zion NP,13,"80,640",2.42%
Tent Campers,Yellowstone NP,14,"76,297",2.29%
Tent Campers,Buffalo NR,15,"73,204",2.20%
Tent Campers,Kings Canyon NP,16,"71,608",2.15%
Tent Campers,Cape Hatteras NS,17,"69,815",2.10%
Tent Campers,Ozark NSR,18,"67,184",2.02%
Tent Campers,Mount Rainier NP,19,"63,407",1.91%
Tent Campers,Assateague Island NS,20,"59,280",1.78%
Tent Campers,Lassen Volcanic NP,21,"54,213",1.63%
Tent Campers,Blue Ridge PKWY,22,"53,770",1.62%
Tent Campers,Chickasaw NRA,23,"45,115",1.36%
Tent Campers,Death Valley NP,24,"44,982",1.35%
Tent Campers,Mesa Verde NP,25,"39,591",1.19%
Tent Campers,Big Bend NP,26,"35,218",1.06%
Tent Campers,Sleeping Bear Dunes NL,27,"34,138",1.03%
Tent Campers,Mammoth Cave NP,28,"34,004",1.02%
Tent Campers,Lake Roosevelt NRA,29,"33,899",1.02%
Tent Campers,Bryce Canyon NP,30,"33,618",1.01%
Tent Campers,Arches NP,31,"29,711",0.89%
Tent Campers,Badlands NP,32,"27,574",0.83%
Tent Campers,Gulf Islands NS,33,"26,425",0.79%
Tent Campers,Great Sand Dunes NP & PRES,34,"23,625",0.71%
Tent Campers,Great Basin NP,35,"22,480",0.68%
Tent Campers,Dinosaur NM,36,"19,665",0.59%
Tent Campers,Ross Lake NRA,37,"19,561",0.59%
Tent Campers,Canyonlands NP,38,"19,287",0.58%
Tent Campers,Haleakala NP,39,"17,644",0.53%
Tent Campers,Everglades NP,40,"17,103",0.51%
Tent Campers,Indiana Dunes NL,41,"16,961",0.51%
Tent Campers,Capitol Reef NP,42,"16,341",0.49%
Tent Campers,Padre Island NS,43,"13,789",0.41%
Tent Campers,Greenbelt Park,44,"13,597",0.41%
Tent Campers,Cumberland Island NS,45,"13,369",0.40%
Tent Campers,Pictured Rocks NL,46,"13,240",0.40%
Tent Campers,Denali NP & PRES,47,"13,061",0.39%
Tent Campers,Curecanti NRA,48,"12,844",0.39%
Tent Campers,Canyon de Chelly NM,49,"12,327",0.37%
Tent Campers,Chaco Culture NHP,50,"12,039",0.36%
Tent Campers,Prince William Forest Park,51,"11,706",0.35%
Tent Campers,Lake Meredith NRA,52,"11,252",0.34%
