Title1,Title1,Title2
Annual Park Ranking Report for Tent Campers in: 1984,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/System Wide Reports/Annual Park Ranking Report (1979 - Last Calendar Year)?RptYear=1984&RptField=TT

VisitorsLabel1,Field1,Field2,Field3,Field4
Tent Campers,Yosemite NP,1,"747,145",19.94%
Tent Campers,Yellowstone NP,2,"228,915",6.11%
Tent Campers,Great Smoky Mountains NP,3,"170,878",4.56%
Tent Campers,Sequoia NP,4,"162,311",4.33%
Tent Campers,Acadia NP,5,"158,697",4.23%
Tent Campers,Shenandoah NP,6,"137,527",3.67%
Tent Campers,Lake Mead NRA,7,"122,644",3.27%
Tent Campers,Cape Hatteras NS,8,"119,789",3.20%
Tent Campers,Grand Teton NP,9,"107,664",2.87%
Tent Campers,Zion NP,10,"97,845",2.61%
Tent Campers,Ozark NSR,11,"91,455",2.44%
Tent Campers,Olympic NP,12,"86,373",2.30%
Tent Campers,Glacier NP,13,"83,373",2.22%
Tent Campers,Rocky Mountain NP,14,"82,722",2.21%
Tent Campers,Grand Canyon NP,15,"80,172",2.14%
Tent Campers,Mesa Verde NP,16,"70,592",1.88%
Tent Campers,Big Bend NP,17,"68,858",1.84%
Tent Campers,Joshua Tree NP,18,"66,842",1.78%
Tent Campers,Kings Canyon NP,19,"65,324",1.74%
Tent Campers,Blue Ridge PKWY,20,"59,392",1.58%
Tent Campers,Glen Canyon NRA,21,"58,784",1.57%
Tent Campers,Death Valley NP,22,"56,091",1.50%
Tent Campers,Mount Rainier NP,23,"50,533",1.35%
Tent Campers,Bryce Canyon NP,24,"48,928",1.31%
Tent Campers,Gulf Islands NS,25,"41,930",1.12%
Tent Campers,Lake Roosevelt NRA,26,"39,103",1.04%
Tent Campers,Chickasaw NRA,27,"34,652",0.92%
Tent Campers,Denali NP & PRES,28,"34,194",0.91%
Tent Campers,Mammoth Cave NP,29,"30,689",0.82%
Tent Campers,North Cascades NP,30,"27,856",0.74%
Tent Campers,Lassen Volcanic NP,31,"24,852",0.66%
Tent Campers,Sleeping Bear Dunes NL,32,"24,836",0.66%
Tent Campers,Buffalo NR,33,"18,976",0.51%
Tent Campers,Everglades NP,34,"18,949",0.51%
Tent Campers,Canyon de Chelly NM,35,"17,232",0.46%
Tent Campers,Arches NP,36,"17,171",0.46%
Tent Campers,Great Sand Dunes NP & PRES,37,"16,294",0.43%
Tent Campers,Dinosaur NM,38,"15,568",0.42%
Tent Campers,Amistad NRA,39,"14,849",0.40%
Tent Campers,Fire Island NS,40,"14,510",0.39%
Tent Campers,Canyonlands NP,41,"13,261",0.35%
Tent Campers,Prince William Forest Park,42,"13,057",0.35%
Tent Campers,Haleakala NP,43,"12,727",0.34%
Tent Campers,Curecanti NRA,44,"12,724",0.34%
Tent Campers,Capitol Reef NP,45,"12,522",0.33%
Tent Campers,Cumberland Island NS,46,"11,880",0.32%
Tent Campers,Assateague Island NS,47,"11,699",0.31%
Tent Campers,Greenbelt Park,48,"11,597",0.31%
Tent Campers,Chesapeake & Ohio Canal NHP,49,"11,455",0.31%
Tent Campers,Guadalupe Mountains NP,50,"11,408",0.30%
Tent Campers,Badlands NP,51,"11,036",0.29%
Tent Campers,Bandelier NM,52,"10,858",0.29%
Tent Campers,Voyageurs NP,53,"9,452",0.25%
Tent Campers,Pictured Rocks NL,54,"9,025",0.24%
Tent Campers,Black Canyon of the Gunnison NP,55,"8,721",0.23%
Tent Campers,Chaco Culture NHP,56,"8,645",0.23%
Tent Campers,Devils Postpile NM,57,"8,438",0.23%
Tent Campers,Lava Beds NM,58,"7,578",0.20%
Tent Campers,Hawaii Volcanoes NP,59,"7,568",0.20%
Tent Campers,Natchez Trace PKWY,60,"7,542",0.20%
Tent Campers,Colorado NM,61,"7,460",0.20%
Tent Campers,Wind Cave NP,62,"7,208",0.19%
Tent Campers,Devils Tower NM,63,"7,112",0.19%
Tent Campers,Theodore Roosevelt NP,64,"7,041",0.19%
Tent Campers,Organ Pipe Cactus NM,65,"6,867",0.18%
Tent Campers,Sunset Crater Volcano NM,66,"6,729",0.18%
Tent Campers,Catoctin Mountain Park,67,"6,179",0.16%
Tent Campers,Isle Royale NP,68,"6,118",0.16%
Tent Campers,Padre Island NS,69,"5,672",0.15%
Tent Campers,Pinnacles NP,70,"5,463",0.15%
Tent Campers,Navajo NM,71,"5,149",0.14%
Tent Campers,Biscayne NP,72,"4,888",0.13%
Tent Campers,Bighorn Canyon NRA,73,"4,590",0.12%
Tent Campers,Craters of the Moon NM,74,"4,509",0.12%
Tent Campers,Hot Springs NP,75,"4,311",0.12%
Tent Campers,"John D. Rockefeller, Jr. MEM PKWY",76,"3,838",0.10%
Tent Campers,Cumberland Gap NHP,77,"3,502",0.09%
Tent Campers,Chiricahua NM,78,"3,416",0.09%
Tent Campers,Apostle Islands NL,79,"2,806",0.07%
Tent Campers,Katmai NP & PRES,80,"2,588",0.07%
Tent Campers,Dry Tortugas NP,81,"2,384",0.06%
Tent Campers,Whiskeytown NRA,82,"2,376",0.06%
Tent Campers,Golden Gate NRA,83,"2,288",0.06%
Tent Campers,Klondike Gold Rush NHP Alaska,84,"1,615",0.04%
Tent Campers,Cedar Breaks NM,85,"1,582",0.04%
Tent Campers,Glacier Bay NP & PRES,86,"1,519",0.04%
Tent Campers,Redwood NP,87,"1,401",0.04%
Tent Campers,Natural Bridges NM,88,"1,326",0.04%
Tent Campers,El Morro NM,89,827,0.02%
Tent Campers,Hovenweep NM,90,764,0.02%
Tent Campers,John Day Fossil Beds NM,91,57,0.00%

