Title1,Title1,Title2
Annual Park Ranking Report for Backcountry Campers in: 1984,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/System Wide Reports/Annual Park Ranking Report (1979 - Last Calendar Year)?RptYear=1984&RptField=BC

VisitorsLabel1,Field1,Field2,Field3,Field4
Backcountry Campers,Glen Canyon NRA,1,"348,356",17.60%
Backcountry Campers,Lake Mead NRA,2,"324,222",16.38%
Backcountry Campers,Yosemite NP,3,"111,788",5.65%
Backcountry Campers,Sequoia NP,4,"105,027",5.31%
Backcountry Campers,Kings Canyon NP,5,"97,636",4.93%
Backcountry Campers,Grand Canyon NP,6,"96,879",4.90%
Backcountry Campers,Great Smoky Mountains NP,7,"64,365",3.25%
Backcountry Campers,Ozark NSR,8,"63,604",3.21%
Backcountry Campers,Olympic NP,9,"59,623",3.01%
Backcountry Campers,Big Bend NP,10,"46,668",2.36%
Backcountry Campers,Delaware Water Gap NRA,11,"46,428",2.35%
Backcountry Campers,Canyonlands NP,12,"45,316",2.29%
Backcountry Campers,Chesapeake & Ohio Canal NHP,13,"45,278",2.29%
Backcountry Campers,Shenandoah NP,14,"45,166",2.28%
Backcountry Campers,Saint Croix NSR,15,"37,096",1.87%
Backcountry Campers,Rocky Mountain NP,16,"34,714",1.75%
Backcountry Campers,Yellowstone NP,17,"33,049",1.67%
Backcountry Campers,Isle Royale NP,18,"30,864",1.56%
Backcountry Campers,Denali NP & PRES,19,"26,722",1.35%
Backcountry Campers,Mount Rainier NP,20,"26,143",1.32%
Backcountry Campers,Grand Teton NP,21,"24,060",1.22%
Backcountry Campers,Dinosaur NM,22,"23,834",1.20%
Backcountry Campers,Amistad NRA,23,"22,441",1.13%
Backcountry Campers,North Cascades NP,24,"22,123",1.12%
Backcountry Campers,Point Reyes NS,25,"17,881",0.90%
Backcountry Campers,Gates of the Arctic NP & PRES,26,"15,995",0.81%
Backcountry Campers,Glacier NP,27,"15,032",0.76%
Backcountry Campers,Everglades NP,28,"13,454",0.68%
Backcountry Campers,Pictured Rocks NL,29,"13,269",0.67%
Backcountry Campers,Voyageurs NP,30,"10,880",0.55%
Backcountry Campers,Sleeping Bear Dunes NL,31,"8,837",0.45%
Backcountry Campers,Lassen Volcanic NP,32,"8,089",0.41%
Backcountry Campers,Zion NP,33,"7,462",0.38%
Backcountry Campers,Noatak NPRES,34,"6,510",0.33%
Backcountry Campers,Buffalo NR,35,"5,217",0.26%
Backcountry Campers,Whiskeytown NRA,36,"4,777",0.24%
Backcountry Campers,Glacier Bay NP & PRES,37,"4,456",0.23%
Backcountry Campers,Bandelier NM,38,"4,437",0.22%
Backcountry Campers,Cape Lookout NS,39,"4,335",0.22%
Backcountry Campers,Hawaii Volcanoes NP,40,"3,641",0.18%
Backcountry Campers,Haleakala NP,41,"3,303",0.17%
Backcountry Campers,Klondike Gold Rush NHP Alaska,42,"2,736",0.14%
Backcountry Campers,Apostle Islands NL,43,"2,676",0.14%
Backcountry Campers,Guadalupe Mountains NP,44,"2,467",0.12%
Backcountry Campers,Cumberland Gap NHP,45,"2,425",0.12%
Backcountry Campers,Saguaro NP,46,"2,301",0.12%
Backcountry Campers,Assateague Island NS,47,"2,226",0.11%
Backcountry Campers,Organ Pipe Cactus NM,48,"2,055",0.10%
Backcountry Campers,Capitol Reef NP,49,"1,937",0.10%
Backcountry Campers,Wrangell-St. Elias NP & PRES,50,"1,931",0.10%
Backcountry Campers,Channel Islands NP,51,"1,913",0.10%
Backcountry Campers,Mammoth Cave NP,52,"1,909",0.10%
Backcountry Campers,Crater Lake NP,53,"1,649",0.08%
Backcountry Campers,Blue Ridge PKWY,54,"1,638",0.08%
Backcountry Campers,Joshua Tree NP,55,"1,563",0.08%
Backcountry Campers,Bryce Canyon NP,56,"1,527",0.08%
Backcountry Campers,Bighorn Canyon NRA,57,"1,433",0.07%
Backcountry Campers,Arches NP,58,"1,425",0.07%
Backcountry Campers,Canyon de Chelly NM,59,"1,356",0.07%
Backcountry Campers,Lake Meredith NRA,60,"1,337",0.07%
Backcountry Campers,Yukon-Charley Rivers NPRES,61,"1,236",0.06%
Backcountry Campers,Lake Clark NP & PRES,62,"1,232",0.06%
Backcountry Campers,Curecanti NRA,63,"1,174",0.06%
Backcountry Campers,White Sands NM,64,877,0.04%
Backcountry Campers,Redwood NP,65,858,0.04%
Backcountry Campers,Theodore Roosevelt NP,66,732,0.04%
Backcountry Campers,Great Sand Dunes NP & PRES,67,673,0.03%
Backcountry Campers,Big Thicket NPRES,68,593,0.03%
Backcountry Campers,Black Canyon of the Gunnison NP,69,567,0.03%
Backcountry Campers,Kenai Fjords NP,70,561,0.03%
Backcountry Campers,Death Valley NP,71,519,0.03%
Backcountry Campers,Petrified Forest NP,72,432,0.02%
Backcountry Campers,Navajo NM,73,431,0.02%
Backcountry Campers,Padre Island NS,74,405,0.02%
Backcountry Campers,Katmai NP & PRES,75,367,0.02%
Backcountry Campers,Golden Gate NRA,76,362,0.02%
Backcountry Campers,Prince William Forest Park,77,325,0.02%
Backcountry Campers,Grand Portage NM,78,267,0.01%
Backcountry Campers,Carlsbad Caverns NP,79,252,0.01%
Backcountry Campers,"John D. Rockefeller, Jr. MEM PKWY",80,204,0.01%
Backcountry Campers,Canaveral NS,81,180,0.01%
Backcountry Campers,Wupatki NM,82,151,0.01%
Backcountry Campers,Kobuk Valley NP,83,145,0.01%
Backcountry Campers,Knife River Indian Villages NHS,84,135,0.01%
Backcountry Campers,Craters of the Moon NM,85,119,0.01%
Backcountry Campers,Catoctin Mountain Park,86,96,0.00%
Backcountry Campers,Chattahoochee River NRA,87,86,0.00%
Backcountry Campers,Colorado NM,88,86,0.00%
Backcountry Campers,Santa Monica Mountains NRA,89,70,0.00%
Backcountry Campers,Badlands NP,90,70,0.00%
Backcountry Campers,Fort Bowie NHS,91,63,0.00%
Backcountry Campers,Cape Krusenstern NM,92,40,0.00%
Backcountry Campers,Lava Beds NM,93,38,0.00%
Backcountry Campers,Kings Mountain NMP,94,36,0.00%
Backcountry Campers,Fire Island NS,95,4,0.00%

