Title1,Title1,Title2
Annual Park Ranking Report for Backcountry Campers in: 1990,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/System Wide Reports/Annual Park Ranking Report (1979 - Last Calendar Year)?RptYear=1990&RptField=BC

VisitorsLabel1,Field1,Field2,Field3,Field4
Backcountry Campers,Lake Mead NRA,1,"403,080",24.42%
Backcountry Campers,Yosemite NP,2,"102,133",6.19%
Backcountry Campers,Sequoia NP,3,"77,221",4.68%
Backcountry Campers,Great Smoky Mountains NP,4,"77,061",4.67%
Backcountry Campers,Olympic NP,5,"75,436",4.57%
Backcountry Campers,Kings Canyon NP,6,"69,202",4.19%
Backcountry Campers,Canyonlands NP,7,"56,387",3.42%
Backcountry Campers,Delaware Water Gap NRA,8,"43,681",2.65%
Backcountry Campers,Big Bend NP,9,"40,179",2.43%
Backcountry Campers,Shenandoah NP,10,"38,182",2.31%
Backcountry Campers,Isle Royale NP,11,"37,489",2.27%
Backcountry Campers,Yellowstone NP,12,"37,138",2.25%
Backcountry Campers,Denali NP & PRES,13,"35,918",2.18%
Backcountry Campers,Mount Rainier NP,14,"35,540",2.15%
Backcountry Campers,Rocky Mountain NP,15,"35,501",2.15%
Backcountry Campers,Grand Canyon NP,16,"32,912",1.99%
Backcountry Campers,Chesapeake & Ohio Canal NHP,17,"32,769",1.99%
Backcountry Campers,Saint Croix NSR,18,"31,846",1.93%
Backcountry Campers,Ozark NSR,19,"30,030",1.82%
Backcountry Campers,Dinosaur NM,20,"25,190",1.53%
Backcountry Campers,North Cascades NP,21,"25,162",1.52%
Backcountry Campers,Glen Canyon NRA,22,"23,978",1.45%
Backcountry Campers,Grand Teton NP,23,"23,307",1.41%
Backcountry Campers,Point Reyes NS,24,"22,311",1.35%
Backcountry Campers,Glacier NP,25,"19,456",1.18%
Backcountry Campers,Sleeping Bear Dunes NL,26,"18,560",1.12%
Backcountry Campers,Buffalo NR,27,"13,959",0.85%
Backcountry Campers,Zion NP,28,"10,910",0.66%
Backcountry Campers,Pictured Rocks NL,29,"10,331",0.63%
Backcountry Campers,Everglades NP,30,"10,204",0.62%
Backcountry Campers,Lassen Volcanic NP,31,"9,139",0.55%
Backcountry Campers,Cumberland Island NS,32,"8,519",0.52%
Backcountry Campers,Cape Lookout NS,33,"8,111",0.49%
Backcountry Campers,Gulf Islands NS,34,"7,907",0.48%
Backcountry Campers,Lake Meredith NRA,35,"7,848",0.48%
Backcountry Campers,Voyageurs NP,36,"7,842",0.48%
Backcountry Campers,Apostle Islands NL,37,"7,824",0.47%
Backcountry Campers,Katmai NP & PRES,38,"5,812",0.35%
Backcountry Campers,Glacier Bay NP & PRES,39,"5,727",0.35%
Backcountry Campers,Joshua Tree NP,40,"5,605",0.34%
Backcountry Campers,Gates of the Arctic NP & PRES,41,"4,882",0.30%
Backcountry Campers,Whiskeytown NRA,42,"4,676",0.28%
Backcountry Campers,Rio Grande W&SR,43,"4,394",0.27%
Backcountry Campers,Hawaii Volcanoes NP,44,"4,067",0.25%
Backcountry Campers,Bandelier NM,45,"4,044",0.25%
Backcountry Campers,Organ Pipe Cactus NM,46,"3,361",0.20%
Backcountry Campers,Amistad NRA,47,"3,324",0.20%
Backcountry Campers,Mammoth Cave NP,48,"3,277",0.20%
Backcountry Campers,Klondike Gold Rush NHP Alaska,49,"3,119",0.19%
Backcountry Campers,Bryce Canyon NP,50,"3,004",0.18%
Backcountry Campers,Haleakala NP,51,"2,688",0.16%
Backcountry Campers,Blue Ridge PKWY,52,"2,536",0.15%
Backcountry Campers,Noatak NPRES,53,"2,529",0.15%
Backcountry Campers,Guadalupe Mountains NP,54,"2,507",0.15%
Backcountry Campers,Assateague Island NS,55,"2,330",0.14%
Backcountry Campers,Capitol Reef NP,56,"2,312",0.14%
Backcountry Campers,Arches NP,57,"2,228",0.13%
Backcountry Campers,Bighorn Canyon NRA,58,"2,202",0.13%
Backcountry Campers,Cumberland Gap NHP,59,"1,825",0.11%
Backcountry Campers,Channel Islands NP,60,"1,739",0.11%
Backcountry Campers,Wrangell-St. Elias NP & PRES,61,"1,446",0.09%
Backcountry Campers,Big Thicket NPRES,62,"1,307",0.08%
Backcountry Campers,Yukon-Charley Rivers NPRES,63,"1,232",0.07%
Backcountry Campers,Aniakchak NM & PRES,64,"1,140",0.07%
Backcountry Campers,Saguaro NP,65,"1,129",0.07%
Backcountry Campers,Canyon de Chelly NM,66,"1,128",0.07%
Backcountry Campers,White Sands NM,67,"1,117",0.07%
Backcountry Campers,Redwood NP,68,"1,038",0.06%
Backcountry Campers,Lake Clark NP & PRES,69,"1,012",0.06%
Backcountry Campers,Black Canyon of the Gunnison NP,70,"1,011",0.06%
Backcountry Campers,Canaveral NS,71,948,0.06%
Backcountry Campers,Crater Lake NP,72,911,0.06%
Backcountry Campers,Petrified Forest NP,73,682,0.04%
Backcountry Campers,Theodore Roosevelt NP,74,644,0.04%
Backcountry Campers,Golden Gate NRA,75,614,0.04%
Backcountry Campers,Curecanti NRA,76,594,0.04%
Backcountry Campers,Great Sand Dunes NP & PRES,77,447,0.03%
Backcountry Campers,Kenai Fjords NP,78,417,0.03%
Backcountry Campers,Navajo NM,79,393,0.02%
Backcountry Campers,El Malpais NM,80,387,0.02%
Backcountry Campers,Great Basin NP,81,348,0.02%
Backcountry Campers,Kobuk Valley NP,82,253,0.02%
Backcountry Campers,"John D. Rockefeller, Jr. MEM PKWY",83,251,0.02%
Backcountry Campers,Congaree NP,84,181,0.01%
Backcountry Campers,Prince William Forest Park,85,180,0.01%
Backcountry Campers,Grand Portage NM,86,159,0.01%
Backcountry Campers,Carlsbad Caverns NP,87,147,0.01%
Backcountry Campers,Colorado NM,88,125,0.01%
Backcountry Campers,Badlands NP,89,124,0.01%
Backcountry Campers,Wupatki NM,90,112,0.01%
Backcountry Campers,Cape Krusenstern NM,91,109,0.01%
Backcountry Campers,Catoctin Mountain Park,92,89,0.01%
Backcountry Campers,Kings Mountain NMP,93,86,0.01%
Backcountry Campers,Santa Monica Mountains NRA,94,71,0.00%
Backcountry Campers,Padre Island NS,95,64,0.00%
Backcountry Campers,Wind Cave NP,96,56,0.00%
Backcountry Campers,Craters of the Moon NM,97,42,0.00%
Backcountry Campers,Moores Creek NB,98,12,0.00%
Backcountry Campers,Lava Beds NM,99,10,0.00%
Backcountry Campers,Fort Pulaski NM,100,8,0.00%

