Title1,Title1,Title2
Annual Park Ranking Report for Backcountry Campers in: 2006,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/System Wide Reports/Annual Park Ranking Report (1979 - Last Calendar Year)?RptYear=2006&RptField=BC

VisitorsLabel1,Field1,Field2,Field3,Field4
Backcountry Campers,Grand Canyon NP,1,"244,413",14.73%
Backcountry Campers,Lake Mead NRA,2,"223,785",13.49%
Backcountry Campers,Saint Croix NSR,3,"82,689",4.98%
Backcountry Campers,Yosemite NP,4,"81,305",4.90%
Backcountry Campers,Olympic NP,5,"76,323",4.60%
Backcountry Campers,Great Smoky Mountains NP,6,"70,193",4.23%
Backcountry Campers,Canyonlands NP,7,"59,478",3.58%
Backcountry Campers,Delaware Water Gap NRA,8,"51,227",3.09%
Backcountry Campers,Yellowstone NP,9,"37,276",2.25%
Backcountry Campers,Isle Royale NP,10,"35,439",2.14%
Backcountry Campers,Rocky Mountain NP,11,"35,227",2.12%
Backcountry Campers,Shenandoah NP,12,"33,284",2.01%
Backcountry Campers,Buffalo NR,13,"32,859",1.98%
Backcountry Campers,Mount Rainier NP,14,"29,517",1.78%
Backcountry Campers,Zion NP,15,"29,028",1.75%
Backcountry Campers,Denali NP & PRES,16,"28,623",1.72%
Backcountry Campers,Dinosaur NM,17,"28,022",1.69%
Backcountry Campers,Grand Teton NP,18,"26,858",1.62%
Backcountry Campers,Glacier NP,19,"26,002",1.57%
Backcountry Campers,Yukon-Charley Rivers NPRES,20,"24,722",1.49%
Backcountry Campers,Point Reyes NS,21,"22,725",1.37%
Backcountry Campers,Big Bend NP,22,"22,668",1.37%
Backcountry Campers,Sequoia NP,23,"21,659",1.31%
Backcountry Campers,Big South Fork NRRA,24,"21,325",1.29%
Backcountry Campers,Glen Canyon NRA,25,"20,115",1.21%
Backcountry Campers,Voyageurs NP,26,"19,023",1.15%
Backcountry Campers,Ozark NSR,27,"18,441",1.11%
Backcountry Campers,Sleeping Bear Dunes NL,28,"17,889",1.08%
Backcountry Campers,Channel Islands NP,29,"17,692",1.07%
Backcountry Campers,Ross Lake NRA,30,"16,287",0.98%
Backcountry Campers,North Cascades NP,31,"15,965",0.96%
Backcountry Campers,Kings Canyon NP,32,"15,697",0.95%
Backcountry Campers,Apostle Islands NL,33,"15,000",0.90%
Backcountry Campers,Padre Island NS,34,"13,660",0.82%
Backcountry Campers,Pictured Rocks NL,35,"12,399",0.75%
Backcountry Campers,Big Cypress NPRES,36,"11,814",0.71%
Backcountry Campers,Everglades NP,37,"9,610",0.58%
Backcountry Campers,Cape Lookout NS,38,"8,626",0.52%
Backcountry Campers,Mammoth Cave NP,39,"6,329",0.38%
Backcountry Campers,Gates of the Arctic NP & PRES,40,"6,040",0.36%
Backcountry Campers,Joshua Tree NP,41,"5,497",0.33%
Backcountry Campers,Hawaii Volcanoes NP,42,"5,345",0.32%
Backcountry Campers,Lassen Volcanic NP,43,"5,083",0.31%
Backcountry Campers,Glacier Bay NP & PRES,44,"4,674",0.28%
Backcountry Campers,Cumberland Island NS,45,"4,077",0.25%
Backcountry Campers,Lake Chelan NRA,46,"3,762",0.23%
Backcountry Campers,Klondike Gold Rush NHP Alaska,47,"3,590",0.22%
Backcountry Campers,Whiskeytown NRA,48,"3,402",0.21%
Backcountry Campers,"John D. Rockefeller, Jr. MEM PKWY",49,"3,227",0.19%
Backcountry Campers,Canaveral NS,50,"2,883",0.17%
Backcountry Campers,Amistad NRA,51,"2,861",0.17%
Backcountry Campers,Lake Meredith NRA,52,"2,552",0.15%
Backcountry Campers,Guadalupe Mountains NP,53,"2,487",0.15%
Backcountry Campers,Assateague Island NS,54,"2,101",0.13%
Backcountry Campers,Cumberland Gap NHP,55,"1,957",0.12%
Backcountry Campers,Black Canyon of the Gunnison NP,56,"1,829",0.11%
Backcountry Campers,Lake Clark NP & PRES,57,"1,665",0.10%
Backcountry Campers,Great Sand Dunes NP & PRES,58,"1,651",0.10%
Backcountry Campers,Kenai Fjords NP,59,"1,637",0.10%
Backcountry Campers,Gulf Islands NS,60,"1,608",0.10%
Backcountry Campers,Lake Roosevelt NRA,61,"1,604",0.10%
Backcountry Campers,Saguaro NP,62,"1,552",0.09%
Backcountry Campers,Blue Ridge PKWY,63,"1,340",0.08%
Backcountry Campers,Haleakala NP,64,"1,324",0.08%
Backcountry Campers,Acadia NP,65,"1,306",0.08%
Backcountry Campers,Bryce Canyon NP,66,"1,291",0.08%
Backcountry Campers,Canyon de Chelly NM,67,"1,253",0.08%
Backcountry Campers,Capitol Reef NP,68,"1,158",0.07%
Backcountry Campers,Big Thicket NPRES,69,"1,125",0.07%
Backcountry Campers,Bandelier NM,70,"1,114",0.07%
Backcountry Campers,Theodore Roosevelt NP,71,"1,110",0.07%
Backcountry Campers,Redwood NP,72,"1,109",0.07%
Backcountry Campers,Crater Lake NP,73,"1,095",0.07%
Backcountry Campers,Noatak NPRES,74,"1,061",0.06%
Backcountry Campers,White Sands NM,75,"1,048",0.06%
Backcountry Campers,Rio Grande W&SR,76,953,0.06%
Backcountry Campers,Golden Gate NRA,77,708,0.04%
Backcountry Campers,Congaree NP,78,686,0.04%
