Title1,Title1,Title2
Annual Park Ranking Report for Backcountry Campers in: 2007,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/System Wide Reports/Annual Park Ranking Report (1979 - Last Calendar Year)?RptYear=2007&RptField=BC

VisitorsLabel1,Field1,Field2,Field3,Field4
Backcountry Campers,Grand Canyon NP,1,"282,663",16.59%
Backcountry Campers,Lake Mead NRA,2,"222,774",13.07%
Backcountry Campers,Saint Croix NSR,3,"85,873",5.04%
Backcountry Campers,Yosemite NP,4,"76,576",4.49%
Backcountry Campers,Olympic NP,5,"70,802",4.15%
Backcountry Campers,Great Smoky Mountains NP,6,"70,215",4.12%
Backcountry Campers,Canyonlands NP,7,"64,750",3.80%
Backcountry Campers,Buffalo NR,8,"38,304",2.25%
Backcountry Campers,Yellowstone NP,9,"38,040",2.23%
Backcountry Campers,Delaware Water Gap NRA,10,"37,584",2.21%
Backcountry Campers,Rocky Mountain NP,11,"36,078",2.12%
Backcountry Campers,Isle Royale NP,12,"35,400",2.08%
Backcountry Campers,Shenandoah NP,13,"33,668",1.98%
Backcountry Campers,Denali NP & PRES,14,"30,919",1.81%
Backcountry Campers,Grand Teton NP,15,"29,906",1.75%
Backcountry Campers,Glacier NP,16,"27,993",1.64%
Backcountry Campers,Zion NP,17,"27,446",1.61%
Backcountry Campers,Dinosaur NM,18,"25,516",1.50%
Backcountry Campers,Glen Canyon NRA,19,"24,694",1.45%
Backcountry Campers,Mount Rainier NP,20,"24,523",1.44%
Backcountry Campers,Point Reyes NS,21,"24,425",1.43%
Backcountry Campers,Yukon-Charley Rivers NPRES,22,"23,197",1.36%
Backcountry Campers,Sleeping Bear Dunes NL,23,"22,516",1.32%
Backcountry Campers,Big Bend NP,24,"21,146",1.24%
Backcountry Campers,Sequoia NP,25,"20,644",1.21%
Backcountry Campers,Big South Fork NRRA,26,"20,520",1.20%
Backcountry Campers,Big Cypress NPRES,27,"18,783",1.10%
Backcountry Campers,Voyageurs NP,28,"18,257",1.07%
Backcountry Campers,Channel Islands NP,29,"17,801",1.04%
Backcountry Campers,Apostle Islands NL,30,"16,207",0.95%
Backcountry Campers,North Cascades NP,31,"15,836",0.93%
Backcountry Campers,Ozark NSR,32,"15,195",0.89%
Backcountry Campers,Pictured Rocks NL,33,"15,055",0.88%
Backcountry Campers,Ross Lake NRA,34,"14,369",0.84%
Backcountry Campers,Padre Island NS,35,"13,634",0.80%
Backcountry Campers,Everglades NP,36,"12,075",0.71%
Backcountry Campers,Cape Lookout NS,37,"11,849",0.70%
Backcountry Campers,Kings Canyon NP,38,"11,760",0.69%
Backcountry Campers,Rio Grande W&SR,39,"8,765",0.51%
Backcountry Campers,Mammoth Cave NP,40,"6,297",0.37%
Backcountry Campers,Gates of the Arctic NP & PRES,41,"5,461",0.32%
Backcountry Campers,Lassen Volcanic NP,42,"5,413",0.32%
Backcountry Campers,Cumberland Island NS,43,"5,207",0.31%
Backcountry Campers,Glacier Bay NP & PRES,44,"5,200",0.31%
Backcountry Campers,Joshua Tree NP,45,"4,739",0.28%
Backcountry Campers,Lake Chelan NRA,46,"4,561",0.27%
Backcountry Campers,Hawaii Volcanoes NP,47,"4,215",0.25%
Backcountry Campers,Klondike Gold Rush NHP Alaska,48,"3,768",0.22%
Backcountry Campers,Whiskeytown NRA,49,"3,737",0.22%
Backcountry Campers,Lake Roosevelt NRA,50,"3,220",0.19%
Backcountry Campers,Canaveral NS,51,"2,900",0.17%
Backcountry Campers,Amistad NRA,52,"2,626",0.15%
Backcountry Campers,"John D. Rockefeller, Jr. MEM PKWY",53,"2,524",0.15%
Backcountry Campers,Great Sand Dunes NP & PRES,54,"2,309",0.14%
Backcountry Campers,Assateague Island NS,55,"2,125",0.12%
Backcountry Campers,Guadalupe Mountains NP,56,"1,855",0.11%
Backcountry Campers,Blue Ridge PKWY,57,"1,829",0.11%
Backcountry Campers,Cumberland Gap NHP,58,"1,790",0.11%
Backcountry Campers,Black Canyon of the Gunnison NP,59,"1,705",0.10%
Backcountry Campers,Haleakala NP,60,"1,521",0.09%
Backcountry Campers,Lake Clark NP & PRES,61,"1,477",0.09%
Backcountry Campers,Canyon de Chelly NM,62,"1,446",0.08%
Backcountry Campers,Crater Lake NP,63,"1,442",0.08%
Backcountry Campers,Bryce Canyon NP,64,"1,432",0.08%
Backcountry Campers,Gulf Islands NS,65,"1,336",0.08%
Backcountry Campers,Saguaro NP,66,"1,295",0.08%
Backcountry Campers,Bighorn Canyon NRA,67,"1,285",0.08%
Backcountry Campers,Big Thicket NPRES,68,"1,202",0.07%
Backcountry Campers,Capitol Reef NP,69,"1,136",0.07%
Backcountry Campers,Acadia NP,70,"1,091",0.06%
Backcountry Campers,Bandelier NM,71,"1,073",0.06%
Backcountry Campers,Redwood NP,72,"1,005",0.06%
Backcountry Campers,White Sands NM,73,950,0.06%
Backcountry Campers,Congaree NP,74,795,0.05%
Backcountry Campers,Badlands NP,75,710,0.04%
Backcountry Campers,Golden Gate NRA,76,690,0.04%
Backcountry Campers,Noatak NPRES,77,542,0.03%
Backcountry Campers,El Malpais NM,78,535,0.03%
Backcountry Campers,Katmai NP & PRES,79,494,0.03%
Backcountry Campers,Theodore Roosevelt NP,80,480,0.03%
Backcountry Campers,Fire Island NS,81,428,0.03%
Backcountry Campers,Great Basin NP,82,420,0.02%
Backcountry Campers,Organ Pipe Cactus NM,83,366,0.02%
Backcountry Campers,Prince William Forest Park,84,353,0.02%
Backcountry Campers,Obed W&SR,85,341,0.02%
Backcountry Campers,Kobuk Valley NP,86,292,0.02%
Backcountry Campers,Bering Land Bridge NPRES,87,283,0.02%
Backcountry Campers,Arches NP,88,277,0.02%
Backcountry Campers,Navajo NM,89,262,0.02%
Backcountry Campers,Lake Meredith NRA,90,256,0.02%
Backcountry Campers,Cape Krusenstern NM,91,251,0.01%
Backcountry Campers,Petrified Forest NP,92,198,0.01%
Backcountry Campers,Kenai Fjords NP,93,195,0.01%
Backcountry Campers,Wind Cave NP,94,168,0.01%
Backcountry Campers,Santa Monica Mountains NRA,95,144,0.01%
Backcountry Campers,Catoctin Mountain Park,96,109,0.01%
Backcountry Campers,Aniakchak NM & PRES,97,107,0.01%
Backcountry Campers,Grand Portage NM,98,99,0.01%
Backcountry Campers,Kings Mountain NMP,99,96,0.01%
Backcountry Campers,Carlsbad Caverns NP,100,93,0.01%
Backcountry Campers,Colorado NM,101,88,0.01%
Backcountry Campers,Craters of the Moon NM,102,57,0.00%

