Title1,Title1,Title2
Annual Park Ranking Report for Backcountry Campers in: 2010,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/System Wide Reports/Annual Park Ranking Report (1979 - Last Calendar Year)?RptYear=2010&RptField=BC

VisitorsLabel1,Field1,Field2,Field3,Field4
Backcountry Campers,Grand Canyon NP,1,"295,949",16.78%
Backcountry Campers,Lake Mead NRA,2,"180,643",10.24%
Backcountry Campers,Yosemite NP,3,"125,136",7.10%
Backcountry Campers,Great Smoky Mountains NP,4,"79,480",4.51%
Backcountry Campers,Olympic NP,5,"68,546",3.89%
Backcountry Campers,Canyonlands NP,6,"61,368",3.48%
Backcountry Campers,Delaware Water Gap NRA,7,"53,512",3.03%
Backcountry Campers,Yellowstone NP,8,"45,045",2.55%
Backcountry Campers,Mount Rainier NP,9,"40,731",2.31%
Backcountry Campers,Glen Canyon NRA,10,"40,419",2.29%
Backcountry Campers,Denali NP & PRES,11,"38,625",2.19%
Backcountry Campers,Shenandoah NP,12,"38,147",2.16%
Backcountry Campers,Channel Islands NP,13,"37,071",2.10%
Backcountry Campers,Zion NP,14,"36,544",2.07%
Backcountry Campers,Voyageurs NP,15,"35,560",2.02%
Backcountry Campers,Isle Royale NP,16,"34,116",1.93%
Backcountry Campers,Rocky Mountain NP,17,"33,405",1.89%
Backcountry Campers,Buffalo NR,18,"31,471",1.78%
Backcountry Campers,Glacier NP,19,"30,680",1.74%
Backcountry Campers,Grand Teton NP,20,"30,597",1.73%
Backcountry Campers,Point Reyes NS,21,"27,229",1.54%
Backcountry Campers,Dinosaur NM,22,"26,268",1.49%
Backcountry Campers,Saint Croix NSR,23,"25,884",1.47%
Backcountry Campers,Big Bend NP,24,"22,712",1.29%
Backcountry Campers,Sequoia NP,25,"21,594",1.22%
Backcountry Campers,Sleeping Bear Dunes NL,26,"18,373",1.04%
Backcountry Campers,Ross Lake NRA,27,"17,995",1.02%
Backcountry Campers,North Cascades NP,28,"17,801",1.01%
Backcountry Campers,Ozark NSR,29,"16,733",0.95%
Backcountry Campers,Big South Fork NRRA,30,"16,015",0.91%
Backcountry Campers,Apostle Islands NL,31,"15,533",0.88%
Backcountry Campers,Kings Canyon NP,32,"15,203",0.86%
Backcountry Campers,Pictured Rocks NL,33,"14,725",0.83%
