Title1,Title1,Title2
Annual Park Ranking Report for Backcountry Campers in: 1995,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/System Wide Reports/Annual Park Ranking Report (1979 - Last Calendar Year)?RptYear=1995&RptField=BC

VisitorsLabel1,Field1,Field2,Field3,Field4
Backcountry Campers,Lake Mead NRA,1,"446,349",20.38%
Backcountry Campers,Grand Canyon NP,2,"256,799",11.73%
Backcountry Campers,Olympic NP,3,"156,460",7.15%
Backcountry Campers,Yosemite NP,4,"110,700",5.06%
Backcountry Campers,Great Smoky Mountains NP,5,"101,872",4.65%
Backcountry Campers,Canyonlands NP,6,"70,815",3.23%
Backcountry Campers,Sequoia NP,7,"67,020",3.06%
Backcountry Campers,Kings Canyon NP,8,"62,982",2.88%
Backcountry Campers,Shenandoah NP,9,"58,283",2.66%
Backcountry Campers,Big Bend NP,10,"48,407",2.21%
Backcountry Campers,Yellowstone NP,11,"45,934",2.10%
Backcountry Campers,Isle Royale NP,12,"45,564",2.08%
Backcountry Campers,Mount Rainier NP,13,"42,767",1.95%
Backcountry Campers,Delaware Water Gap NRA,14,"39,115",1.79%
Backcountry Campers,Rocky Mountain NP,15,"38,638",1.76%
Backcountry Campers,Denali NP & PRES,16,"34,500",1.58%
Backcountry Campers,Saint Croix NSR,17,"30,771",1.41%
Backcountry Campers,Dinosaur NM,18,"29,881",1.36%
Backcountry Campers,Glacier NP,19,"28,923",1.32%
Backcountry Campers,Point Reyes NS,20,"25,234",1.15%
Backcountry Campers,Sleeping Bear Dunes NL,21,"23,158",1.06%
Backcountry Campers,Buffalo NR,22,"22,200",1.01%
Backcountry Campers,Padre Island NS,23,"21,988",1.00%
Backcountry Campers,Glen Canyon NRA,24,"20,164",0.92%
Backcountry Campers,Zion NP,25,"20,138",0.92%
Backcountry Campers,Grand Teton NP,26,"19,557",0.89%
Backcountry Campers,Lake Meredith NRA,27,"18,568",0.85%
Backcountry Campers,Voyageurs NP,28,"18,466",0.84%
Backcountry Campers,North Cascades NP,29,"18,136",0.83%
Backcountry Campers,Ross Lake NRA,30,"16,627",0.76%
Backcountry Campers,Wrangell-St. Elias NP & PRES,31,"14,033",0.64%
Backcountry Campers,Pictured Rocks NL,32,"13,566",0.62%
Backcountry Campers,Everglades NP,33,"13,168",0.60%
Backcountry Campers,Apostle Islands NL,34,"12,401",0.57%
Backcountry Campers,Ozark NSR,35,"11,148",0.51%
Backcountry Campers,Lake Roosevelt NRA,36,"10,231",0.47%
Backcountry Campers,Glacier Bay NP & PRES,37,"9,119",0.42%
Backcountry Campers,Gates of the Arctic NP & PRES,38,"8,812",0.40%
Backcountry Campers,Big Cypress NPRES,39,"8,701",0.40%
Backcountry Campers,Cape Lookout NS,40,"8,395",0.38%
Backcountry Campers,Joshua Tree NP,41,"7,969",0.36%
Backcountry Campers,Blue Ridge PKWY,42,"7,732",0.35%
Backcountry Campers,Cumberland Island NS,43,"7,614",0.35%
Backcountry Campers,Whiskeytown NRA,44,"6,112",0.28%
Backcountry Campers,Lassen Volcanic NP,45,"6,089",0.28%
Backcountry Campers,Lake Chelan NRA,46,"6,062",0.28%
Backcountry Campers,Chesapeake & Ohio Canal NHP,47,"5,831",0.27%
Backcountry Campers,Channel Islands NP,48,"5,258",0.24%
Backcountry Campers,Big South Fork NRRA,49,"5,151",0.24%
Backcountry Campers,Klondike Gold Rush NHP Alaska,50,"4,587",0.21%
Backcountry Campers,Rio Grande W&SR,51,"3,947",0.18%
Backcountry Campers,Bandelier NM,52,"3,804",0.17%
Backcountry Campers,Guadalupe Mountains NP,53,"3,782",0.17%
Backcountry Campers,Haleakala NP,54,"3,567",0.16%
Backcountry Campers,Organ Pipe Cactus NM,55,"3,558",0.16%
Backcountry Campers,Mammoth Cave NP,56,"3,394",0.15%
Backcountry Campers,Obed W&SR,57,"3,341",0.15%
Backcountry Campers,Lake Clark NP & PRES,58,"3,302",0.15%
Backcountry Campers,Gulf Islands NS,59,"2,989",0.14%
Backcountry Campers,Capitol Reef NP,60,"2,878",0.13%
Backcountry Campers,Canyon de Chelly NM,61,"2,872",0.13%
Backcountry Campers,Amistad NRA,62,"2,793",0.13%
Backcountry Campers,Bryce Canyon NP,63,"2,766",0.13%
Backcountry Campers,White Sands NM,64,"2,760",0.13%
Backcountry Campers,"John D. Rockefeller, Jr. MEM PKWY",65,"2,324",0.11%
Backcountry Campers,Yukon-Charley Rivers NPRES,66,"2,139",0.10%
