Title1,Title1,Title2
Annual Park Ranking Report for Backcountry Campers in: 2009,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/System Wide Reports/Annual Park Ranking Report (1979 - Last Calendar Year)?RptYear=2009&RptField=BC

VisitorsLabel1,Field1,Field2,Field3,Field4
Backcountry Campers,Grand Canyon NP,1,"276,150",14.85%
Backcountry Campers,Lake Mead NRA,2,"196,480",10.56%
Backcountry Campers,Yosemite NP,3,"158,233",8.51%
Backcountry Campers,Saint Croix NSR,4,"88,928",4.78%
Backcountry Campers,Olympic NP,5,"82,085",4.41%
Backcountry Campers,Great Smoky Mountains NP,6,"79,182",4.26%
Backcountry Campers,Canyonlands NP,7,"62,595",3.37%
Backcountry Campers,Glen Canyon NRA,8,"55,036",2.96%
Backcountry Campers,Delaware Water Gap NRA,9,"53,352",2.87%
Backcountry Campers,Mount Rainier NP,10,"43,083",2.32%
Backcountry Campers,Zion NP,11,"41,933",2.25%
Backcountry Campers,Glacier NP,12,"40,855",2.20%
Backcountry Campers,Yellowstone NP,13,"39,736",2.14%
Backcountry Campers,Shenandoah NP,14,"39,083",2.10%
Backcountry Campers,Sequoia NP,15,"36,238",1.95%
Backcountry Campers,Buffalo NR,16,"31,957",1.72%
Backcountry Campers,Rocky Mountain NP,17,"31,912",1.72%
Backcountry Campers,Grand Teton NP,18,"30,731",1.65%
Backcountry Campers,Denali NP & PRES,19,"29,855",1.60%
Backcountry Campers,Isle Royale NP,20,"28,864",1.55%
Backcountry Campers,Point Reyes NS,21,"28,098",1.51%
Backcountry Campers,Dinosaur NM,22,"27,514",1.48%
Backcountry Campers,Big Bend NP,23,"20,727",1.11%
Backcountry Campers,Channel Islands NP,24,"20,197",1.09%
Backcountry Campers,Big South Fork NRRA,25,"19,301",1.04%
Backcountry Campers,Sleeping Bear Dunes NL,26,"18,506",0.99%
Backcountry Campers,Voyageurs NP,27,"17,776",0.96%
Backcountry Campers,Ozark NSR,28,"17,165",0.92%
