Title1,Title1,Title2
Annual Park Ranking Report for Backcountry Campers in: 2004,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/System Wide Reports/Annual Park Ranking Report (1979 - Last Calendar Year)?RptYear=2004&RptField=BC

VisitorsLabel1,Field1,Field2,Field3,Field4
Backcountry Campers,Grand Canyon NP,1,"255,617",14.82%
Backcountry Campers,Lake Mead NRA,2,"228,067",13.22%
Backcountry Campers,Yosemite NP,3,"82,259",4.77%
Backcountry Campers,Olympic NP,4,"75,005",4.35%
Backcountry Campers,Great Smoky Mountains NP,5,"73,787",4.28%
Backcountry Campers,Canyonlands NP,6,"65,281",3.78%
Backcountry Campers,Mount Rainier NP,7,"63,777",3.70%
Backcountry Campers,Delaware Water Gap NRA,8,"45,318",2.63%
Backcountry Campers,Glen Canyon NRA,9,"42,752",2.48%
Backcountry Campers,Buffalo NR,10,"40,205",2.33%
Backcountry Campers,Yellowstone NP,11,"38,270",2.22%
Backcountry Campers,Saint Croix NSR,12,"37,521",2.17%
Backcountry Campers,Isle Royale NP,13,"36,706",2.13%
Backcountry Campers,Shenandoah NP,14,"35,814",2.08%
Backcountry Campers,Denali NP & PRES,15,"34,016",1.97%
Backcountry Campers,Big Bend NP,16,"29,720",1.72%
Backcountry Campers,Grand Teton NP,17,"27,752",1.61%
Backcountry Campers,Glacier NP,18,"27,640",1.60%
Backcountry Campers,Dinosaur NM,19,"26,848",1.56%
Backcountry Campers,Point Reyes NS,20,"25,803",1.50%
Backcountry Campers,Sequoia NP,21,"24,815",1.44%
Backcountry Campers,Rocky Mountain NP,22,"23,928",1.39%
Backcountry Campers,Zion NP,23,"23,027",1.33%
Backcountry Campers,Big South Fork NRRA,24,"22,301",1.29%
Backcountry Campers,Sleeping Bear Dunes NL,25,"19,208",1.11%
Backcountry Campers,Everglades NP,26,"18,744",1.09%
Backcountry Campers,Voyageurs NP,27,"18,069",1.05%
Backcountry Campers,Channel Islands NP,28,"17,086",0.99%
Backcountry Campers,Lake Roosevelt NRA,29,"16,306",0.95%
Backcountry Campers,North Cascades NP,30,"15,311",0.89%
Backcountry Campers,Kings Canyon NP,31,"15,002",0.87%
Backcountry Campers,Apostle Islands NL,32,"14,920",0.86%
Backcountry Campers,Ross Lake NRA,33,"14,084",0.82%
Backcountry Campers,Padre Island NS,34,"13,609",0.79%
Backcountry Campers,Cape Lookout NS,35,"13,200",0.77%
Backcountry Campers,Yukon-Charley Rivers NPRES,36,"12,174",0.71%
Backcountry Campers,Pictured Rocks NL,37,"11,929",0.69%
Backcountry Campers,Big Cypress NPRES,38,"11,715",0.68%
Backcountry Campers,Glacier Bay NP & PRES,39,"8,671",0.50%
Backcountry Campers,Ozark NSR,40,"8,463",0.49%
Backcountry Campers,Joshua Tree NP,41,"7,407",0.43%
Backcountry Campers,Mammoth Cave NP,42,"6,024",0.35%
Backcountry Campers,Cumberland Island NS,43,"5,936",0.34%
Backcountry Campers,Lake Chelan NRA,44,"5,564",0.32%
Backcountry Campers,Lassen Volcanic NP,45,"5,434",0.31%
Backcountry Campers,Gates of the Arctic NP & PRES,46,"5,345",0.31%
Backcountry Campers,Hawaii Volcanoes NP,47,"5,070",0.29%
Backcountry Campers,Klondike Gold Rush NHP Alaska,48,"5,005",0.29%
Backcountry Campers,Lake Meredith NRA,49,"4,273",0.25%
Backcountry Campers,Rio Grande W&SR,50,"4,125",0.24%
Backcountry Campers,Gulf Islands NS,51,"4,104",0.24%
Backcountry Campers,Amistad NRA,52,"3,427",0.20%
Backcountry Campers,Whiskeytown NRA,53,"3,359",0.19%
Backcountry Campers,Blue Ridge PKWY,54,"3,330",0.19%
Backcountry Campers,Assateague Island NS,55,"2,681",0.16%
Backcountry Campers,Canaveral NS,56,"2,308",0.13%
Backcountry Campers,Guadalupe Mountains NP,57,"2,263",0.13%
Backcountry Campers,Saguaro NP,58,"2,203",0.13%
Backcountry Campers,Lake Clark NP & PRES,59,"2,000",0.12%
Backcountry Campers,Kenai Fjords NP,60,"1,840",0.11%
Backcountry Campers,Crater Lake NP,61,"1,830",0.11%
Backcountry Campers,"John D. Rockefeller, Jr. MEM PKWY",62,"1,818",0.11%
Backcountry Campers,Great Sand Dunes NP & PRES,63,"1,808",0.10%
Backcountry Campers,Black Canyon of the Gunnison NP,64,"1,782",0.10%
Backcountry Campers,White Sands NM,65,"1,745",0.10%
Backcountry Campers,Cumberland Gap NHP,66,"1,734",0.10%
Backcountry Campers,Capitol Reef NP,67,"1,477",0.09%
Backcountry Campers,Bryce Canyon NP,68,"1,450",0.08%
Backcountry Campers,Haleakala NP,69,"1,416",0.08%
Backcountry Campers,Redwood NP,70,"1,392",0.08%
Backcountry Campers,Canyon de Chelly NM,71,"1,236",0.07%
Backcountry Campers,Petrified Forest NP,72,"1,213",0.07%
Backcountry Campers,Bandelier NM,73,"1,022",0.06%
