Title1,Title1,Title2
Annual Park Ranking Report for Backcountry Campers in: 1979,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/System Wide Reports/Annual Park Ranking Report (1979 - Last Calendar Year)?RptYear=1979&RptField=BC

VisitorsLabel1,Field1,Field2,Field3,Field4
Backcountry Campers,Glen Canyon NRA,1,"725,302",30.26%
Backcountry Campers,Lake Mead NRA,2,"372,770",15.55%
Backcountry Campers,Grand Canyon NP,3,"120,472",5.03%
Backcountry Campers,Kings Canyon NP,4,"98,697",4.12%
Backcountry Campers,Great Smoky Mountains NP,5,"80,970",3.38%
Backcountry Campers,Sequoia NP,6,"75,002",3.13%
Backcountry Campers,Yosemite NP,7,"72,901",3.04%
Backcountry Campers,Olympic NP,8,"72,376",3.02%
Backcountry Campers,Shenandoah NP,9,"62,831",2.62%
Backcountry Campers,Rocky Mountain NP,10,"56,560",2.36%
Backcountry Campers,Ozark NSR,11,"50,809",2.12%
Backcountry Campers,Chesapeake & Ohio Canal NHP,12,"47,263",1.97%
Backcountry Campers,Yellowstone NP,13,"46,142",1.92%
Backcountry Campers,Canyonlands NP,14,"39,819",1.66%
Backcountry Campers,Delaware Water Gap NRA,15,"39,815",1.66%
Backcountry Campers,Mount Rainier NP,16,"36,931",1.54%
Backcountry Campers,Big Bend NP,17,"33,927",1.42%
Backcountry Campers,North Cascades NP,18,"33,510",1.40%
Backcountry Campers,Denali NP & PRES,19,"29,531",1.23%
Backcountry Campers,Point Reyes NS,20,"27,602",1.15%
Backcountry Campers,Glacier NP,21,"25,439",1.06%
Backcountry Campers,Dinosaur NM,22,"25,411",1.06%
Backcountry Campers,Grand Teton NP,23,"24,558",1.02%
Backcountry Campers,Isle Royale NP,24,"21,144",0.88%
Backcountry Campers,Everglades NP,25,"17,909",0.75%
Backcountry Campers,Amistad NRA,26,"17,757",0.74%
Backcountry Campers,Voyageurs NP,27,"11,576",0.48%
Backcountry Campers,Assateague Island NS,28,"11,506",0.48%
Backcountry Campers,Lassen Volcanic NP,29,"11,462",0.48%
Backcountry Campers,Zion NP,30,"8,964",0.37%
Backcountry Campers,Pictured Rocks NL,31,"8,854",0.37%
Backcountry Campers,Saint Croix NSR,32,"7,606",0.32%
Backcountry Campers,Hawaii Volcanoes NP,33,"7,010",0.29%
Backcountry Campers,Sleeping Bear Dunes NL,34,"6,803",0.28%
Backcountry Campers,Buffalo NR,35,"6,595",0.28%
Backcountry Campers,Haleakala NP,36,"5,163",0.22%
Backcountry Campers,Bandelier NM,37,"3,938",0.16%
Backcountry Campers,Saguaro NP,38,"3,622",0.15%
Backcountry Campers,Cape Lookout NS,39,"3,103",0.13%
Backcountry Campers,Guadalupe Mountains NP,40,"3,090",0.13%
Backcountry Campers,Glacier Bay NP & PRES,41,"3,028",0.13%
Backcountry Campers,Crater Lake NP,42,"2,692",0.11%
Backcountry Campers,Mammoth Cave NP,43,"2,491",0.10%
Backcountry Campers,Arches NP,44,"2,332",0.10%
Backcountry Campers,Cumberland Gap NHP,45,"2,322",0.10%
Backcountry Campers,Capitol Reef NP,46,"2,063",0.09%
Backcountry Campers,Organ Pipe Cactus NM,47,"1,998",0.08%
Backcountry Campers,Redwood NP,48,"1,894",0.08%
Backcountry Campers,Whiskeytown NRA,49,"1,860",0.08%
Backcountry Campers,Katmai NP & PRES,50,"1,703",0.07%
Backcountry Campers,Joshua Tree NP,51,"1,623",0.07%
Backcountry Campers,Carlsbad Caverns NP,52,"1,570",0.07%
Backcountry Campers,Blue Ridge PKWY,53,"1,531",0.06%
Backcountry Campers,Devils Postpile NM,54,"1,426",0.06%
Backcountry Campers,Black Canyon of the Gunnison NP,55,"1,404",0.06%
Backcountry Campers,Padre Island NS,56,"1,380",0.06%
Backcountry Campers,Virgin Islands NP,57,"1,224",0.05%
Backcountry Campers,Apostle Islands NL,58,"1,093",0.05%
Backcountry Campers,Bryce Canyon NP,59,871,0.04%
Backcountry Campers,Badlands NP,60,856,0.04%
Backcountry Campers,Prince William Forest Park,61,746,0.03%
Backcountry Campers,Death Valley NP,62,636,0.03%
Backcountry Campers,Theodore Roosevelt NP,63,624,0.03%
Backcountry Campers,White Sands NM,64,621,0.03%
Backcountry Campers,Petrified Forest NP,65,602,0.03%
Backcountry Campers,Navajo NM,66,531,0.02%
Backcountry Campers,Bighorn Canyon NRA,67,528,0.02%
Backcountry Campers,Lake Meredith NRA,68,438,0.02%
Backcountry Campers,Great Sand Dunes NP & PRES,69,387,0.02%
Backcountry Campers,Grand Portage NM,70,386,0.02%
Backcountry Campers,Curecanti NRA,71,356,0.01%
Backcountry Campers,"John D. Rockefeller, Jr. MEM PKWY",72,300,0.01%
Backcountry Campers,Craters of the Moon NM,73,252,0.01%
Backcountry Campers,Catoctin Mountain Park,74,190,0.01%
Backcountry Campers,Wupatki NM,75,142,0.01%
Backcountry Campers,Canyon de Chelly NM,76,131,0.01%
Backcountry Campers,Colorado NM,77,89,0.00%
Backcountry Campers,Lava Beds NM,78,38,0.00%

