Title1,Title1,Title2
Annual Park Ranking Report for Recreation Visitors in: 1987,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year)

VisitorsLabel1,Field1,Field2,Field3,Field4
Recreation Visitors,Golden Gate NRA,1,"21,767,176",7.90%
Recreation Visitors,Blue Ridge PKWY,2,"18,604,627",6.76%
Recreation Visitors,Great Smoky Mountains NP,3,"10,209,841",3.71%
Recreation Visitors,Natchez Trace PKWY,4,"9,941,614",3.61%
Recreation Visitors,George Washington MEM PKWY,5,"9,564,781",3.47%
Recreation Visitors,Gateway NRA,6,"9,353,718",3.40%
Recreation Visitors,Lake Mead NRA,7,"8,098,685",2.94%
Recreation Visitors,Independence NHP,8,"7,300,123",2.65%
Recreation Visitors,Chesapeake & Ohio Canal NHP,9,"5,962,193",2.16%
Recreation Visitors,Cape Cod NS,10,"4,941,569",1.79%
Recreation Visitors,Gulf Islands NS,11,"4,826,892",1.75%
Recreation Visitors,Valley Forge NHP,12,"4,348,196",1.58%
Recreation Visitors,Lincoln Memorial,13,"4,308,292",1.56%
Recreation Visitors,Acadia NP,14,"4,288,154",1.56%
Recreation Visitors,Vietnam Veterans MEM,15,"3,987,293",1.45%
Recreation Visitors,Grand Canyon NP,16,"3,513,030",1.28%
Recreation Visitors,Yosemite NP,17,"3,152,275",1.14%
Recreation Visitors,Statue of Liberty NM,18,"3,092,686",1.12%
Recreation Visitors,Castle Clinton NM,19,"3,040,848",1.10%
Recreation Visitors,Glen Canyon NRA,20,"2,858,739",1.04%
Recreation Visitors,Olympic NP,21,"2,822,850",1.02%
Recreation Visitors,Assateague Island NS,22,"2,648,892",0.96%
Recreation Visitors,Yellowstone NP,23,"2,573,194",0.93%
Recreation Visitors,Delaware Water Gap NRA,24,"2,546,884",0.92%
Recreation Visitors,Rocky Mountain NP,25,"2,531,864",0.92%
Recreation Visitors,Colonial NHP,26,"2,431,687",0.88%
Recreation Visitors,Jefferson NEM,27,"2,364,694",0.86%
Recreation Visitors,Boston NHP,28,"2,219,983",0.81%
Recreation Visitors,Point Reyes NS,29,"2,126,790",0.77%
Recreation Visitors,Chickasaw NRA,30,"1,854,417",0.67%
Recreation Visitors,Thomas Jefferson MEM,31,"1,818,622",0.66%
Recreation Visitors,San Juan NHS,32,"1,808,232",0.66%
Recreation Visitors,Fort Point NHS,33,"1,796,755",0.65%
Recreation Visitors,Zion NP,34,"1,777,619",0.65%
Recreation Visitors,Shenandoah NP,35,"1,767,727",0.64%
Recreation Visitors,Whiskeytown NRA,36,"1,742,251",0.63%
Recreation Visitors,Cabrillo NM,37,"1,739,363",0.63%
Recreation Visitors,Rock Creek Park,38,"1,724,665",0.63%
Recreation Visitors,Glacier NP,39,"1,660,737",0.60%
Recreation Visitors,Mammoth Cave NP,40,"1,636,340",0.59%
Recreation Visitors,Cape Hatteras NS,41,"1,629,277",0.59%
Recreation Visitors,Muir Woods NM,42,"1,628,198",0.59%
Recreation Visitors,Indiana Dunes NL,43,"1,576,238",0.57%
