Title1,Title1,Title2
Annual Park Ranking Report for Recreation Visitors in: 2006,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year)

VisitorsLabel1,Field1,Field2,Field3,Field4
Recreation Visitors,Blue Ridge PKWY,1,"18,953,478",6.95%
Recreation Visitors,Golden Gate NRA,2,"13,486,824",4.95%
Recreation Visitors,Great Smoky Mountains NP,3,"9,289,215",3.41%
Recreation Visitors,Gateway NRA,4,"8,456,456",3.10%
Recreation Visitors,Lake Mead NRA,5,"7,777,753",2.85%
Recreation Visitors,George Washington MEM PKWY,6,"6,872,213",2.52%
Recreation Visitors,Natchez Trace PKWY,7,"5,713,583",2.10%
Recreation Visitors,Delaware Water Gap NRA,8,"5,254,216",1.93%
Recreation Visitors,Cape Cod NS,9,"4,487,716",1.65%
Recreation Visitors,Grand Canyon NP,10,"4,279,439",1.57%
Recreation Visitors,San Francisco Maritime NHP,11,"3,984,645",1.46%
Recreation Visitors,World War II Memorial,12,"3,865,430",1.42%
Recreation Visitors,Lincoln Memorial,13,"3,810,347",1.40%
Recreation Visitors,National Capital Parks Central,14,"3,803,244",1.40%
Recreation Visitors,Vietnam Veterans MEM,15,"3,629,739",1.33%
Recreation Visitors,Independence NHP,16,"3,532,245",1.30%
Recreation Visitors,Castle Clinton NM,17,"3,415,397",1.25%
Recreation Visitors,Colonial NHP,18,"3,344,018",1.23%
Recreation Visitors,Statue of Liberty NM,19,"3,263,585",1.20%
Recreation Visitors,Korean War Veterans Memorial,20,"3,248,757",1.19%
Recreation Visitors,Yosemite NP,21,"3,242,644",1.19%
Recreation Visitors,Chesapeake & Ohio Canal NHP,22,"3,039,178",1.11%
Recreation Visitors,Yellowstone NP,23,"2,870,295",1.05%
Recreation Visitors,Chattahoochee River NRA,24,"2,842,670",1.04%
Recreation Visitors,Olympic NP,25,"2,749,197",1.01%
Recreation Visitors,Rocky Mountain NP,26,"2,743,676",1.01%
Recreation Visitors,Franklin Delano Roosevelt MEM,27,"2,662,016",0.98%
