Title1,Title1,Title2
Annual Park Ranking Report for Recreation Visitors in: 1990,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year)

VisitorsLabel1,Field1,Field2,Field3,Field4
Recreation Visitors,Blue Ridge PKWY,1,"16,854,602",6.90%
Recreation Visitors,Golden Gate NRA,2,"14,650,213",6.00%
Recreation Visitors,Lake Mead NRA,3,"8,582,223",3.51%
Recreation Visitors,Great Smoky Mountains NP,4,"8,151,769",3.34%
Recreation Visitors,Gateway NRA,5,"5,790,221",2.37%
Recreation Visitors,Natchez Trace PKWY,6,"5,505,253",2.25%
Recreation Visitors,Cape Cod NS,7,"5,449,380",2.23%
Recreation Visitors,George Washington MEM PKWY,8,"5,329,182",2.18%
Recreation Visitors,Gulf Islands NS,9,"4,873,730",1.99%
Recreation Visitors,Grand Canyon NP,10,"3,776,685",1.55%
Recreation Visitors,Castle Clinton NM,11,"3,381,595",1.38%
Recreation Visitors,Independence NHP,12,"3,347,163",1.37%
Recreation Visitors,Yosemite NP,13,"3,124,939",1.28%
Recreation Visitors,San Francisco Maritime NHP,14,"3,088,265",1.26%
Recreation Visitors,Glen Canyon NRA,15,"3,074,242",1.26%
Recreation Visitors,Statue of Liberty NM,16,"3,072,185",1.26%
Recreation Visitors,Yellowstone NP,17,"2,823,572",1.16%
Recreation Visitors,Olympic NP,18,"2,794,903",1.14%
Recreation Visitors,Rocky Mountain NP,19,"2,647,323",1.08%
Recreation Visitors,San Juan NHS,20,"2,404,184",0.98%
Recreation Visitors,Jefferson NEM,21,"2,382,612",0.98%
Recreation Visitors,Point Reyes NS,22,"2,369,083",0.97%
Recreation Visitors,Acadia NP,23,"2,339,591",0.96%
Recreation Visitors,Delaware Water Gap NRA,24,"2,330,419",0.95%
Recreation Visitors,Colonial NHP,25,"2,308,398",0.94%
Recreation Visitors,Rock Creek Park,26,"2,204,125",0.90%
Recreation Visitors,Boston NHP,27,"2,102,943",0.86%
Recreation Visitors,Zion NP,28,"2,102,400",0.86%
Recreation Visitors,Cape Hatteras NS,29,"2,072,715",0.85%
Recreation Visitors,Assateague Island NS,30,"2,050,593",0.84%
Recreation Visitors,Whiskeytown NRA,31,"2,002,858",0.82%
Recreation Visitors,Glacier NP,32,"1,986,737",0.81%
Recreation Visitors,Vietnam Veterans MEM,33,"1,956,930",0.80%
Recreation Visitors,Chesapeake & Ohio Canal NHP,34,"1,943,676",0.80%
Recreation Visitors,Mammoth Cave NP,35,"1,924,538",0.79%
Recreation Visitors,Indiana Dunes NL,36,"1,919,901",0.79%
Recreation Visitors,Shenandoah NP,37,"1,771,780",0.73%
Recreation Visitors,Chattahoochee River NRA,38,"1,762,950",0.72%
Recreation Visitors,Ozark NSR,39,"1,739,597",0.71%
Recreation Visitors,Mount Rushmore NMEM,40,"1,671,673",0.68%
Recreation Visitors,Valley Forge NHP,41,"1,659,425",0.68%
Recreation Visitors,Chickasaw NRA,42,"1,600,628",0.66%
Recreation Visitors,Grand Teton NP,43,"1,588,253",0.65%
Recreation Visitors,Lake Roosevelt NRA,44,"1,542,515",0.63%
Recreation Visitors,Muir Woods NM,45,"1,479,684",0.61%
Recreation Visitors,"John D. Rockefeller, Jr. MEM PKWY",46,"1,446,439",0.59%
Recreation Visitors,World War II Valor in the Pacific NM,47,"1,389,810",0.57%
Recreation Visitors,Cabrillo NM,48,"1,386,847",0.57%
Recreation Visitors,Lake Meredith NRA,49,"1,358,778",0.56%
Recreation Visitors,"Martin Luther King, Jr. NHS",50,"1,348,652",0.55%
Recreation Visitors,Fort Point NHS,51,"1,335,888",0.55%
Recreation Visitors,Mount Rainier NP,52,"1,327,101",0.54%
Recreation Visitors,Badlands NP,53,"1,326,475",0.54%
Recreation Visitors,Amistad NRA,54,"1,306,474",0.53%
Recreation Visitors,Lincoln Memorial,55,"1,265,085",0.52%
Recreation Visitors,Haleakala NP,56,"1,260,601",0.52%
Recreation Visitors,Washington Monument,57,"1,245,479",0.51%
Recreation Visitors,Gettysburg NMP,58,"1,243,642",0.51%
Recreation Visitors,Sleeping Bear Dunes NL,59,"1,216,870",0.50%
Recreation Visitors,Cuyahoga Valley NP,60,"1,200,622",0.49%
Recreation Visitors,Hot Springs NP,61,"1,123,175",0.46%
Recreation Visitors,Curecanti NRA,62,"1,102,283",0.45%
Recreation Visitors,Hawaii Volcanoes NP,63,"1,096,816",0.45%
Recreation Visitors,White House,64,"1,090,446",0.45%
Recreation Visitors,Canaveral NS,65,"1,079,022",0.44%
Recreation Visitors,Sequoia NP,66,"1,063,538",0.44%
Recreation Visitors,Kings Canyon NP,67,"1,062,867",0.43%
Recreation Visitors,Joshua Tree NP,68,"1,022,396",0.42%
Recreation Visitors,Everglades NP,69,"957,925",0.39%
Recreation Visitors,Chickamauga & Chattanooga NMP,70,"955,084",0.39%
Recreation Visitors,Jean Lafitte NHP & PRES,71,"948,471",0.39%
Recreation Visitors,Ford's Theatre NHS,72,"940,372",0.38%
Recreation Visitors,Buffalo NR,73,"920,768",0.38%
Recreation Visitors,Cumberland Gap NHP,74,"897,802",0.37%
Recreation Visitors,Bryce Canyon NP,75,"862,659",0.35%
Recreation Visitors,Minute Man NHP,76,"857,156",0.35%
Recreation Visitors,Montezuma Castle NM,77,"852,678",0.35%
Recreation Visitors,Petrified Forest NP,78,"844,592",0.35%
Recreation Visitors,Manassas NBP,79,"799,972",0.33%
Recreation Visitors,Big South Fork NRRA,80,"794,539",0.33%
Recreation Visitors,Thomas Jefferson MEM,81,"794,102",0.32%
Recreation Visitors,Castillo de San Marcos NM,82,"789,033",0.32%
Recreation Visitors,Kennesaw Mountain NBP,83,"784,310",0.32%
Recreation Visitors,Carlsbad Caverns NP,84,"747,016",0.31%
