Title1,Title1,Title2
Annual Park Ranking Report for Recreation Visitors in: 1986,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year)

VisitorsLabel1,Field1,Field2,Field3,Field4
Recreation Visitors,Golden Gate NRA,1,"21,582,368",7.97%
Recreation Visitors,Blue Ridge PKWY,2,"17,076,150",6.30%
Recreation Visitors,Natchez Trace PKWY,3,"14,364,008",5.30%
Recreation Visitors,Great Smoky Mountains NP,4,"9,836,306",3.63%
Recreation Visitors,George Washington MEM PKWY,5,"9,097,082",3.36%
Recreation Visitors,Gateway NRA,6,"8,902,610",3.29%
Recreation Visitors,Lake Mead NRA,7,"7,753,333",2.86%
Recreation Visitors,Gulf Islands NS,8,"7,646,201",2.82%
Recreation Visitors,Vietnam Veterans MEM,9,"5,355,354",1.98%
Recreation Visitors,Independence NHP,10,"4,964,318",1.83%
Recreation Visitors,Chesapeake & Ohio Canal NHP,11,"4,895,961",1.81%
Recreation Visitors,Valley Forge NHP,12,"4,225,618",1.56%
Recreation Visitors,Cape Cod NS,13,"3,991,213",1.47%
Recreation Visitors,Lincoln Memorial,14,"3,972,460",1.47%
Recreation Visitors,Acadia NP,15,"3,929,054",1.45%
Recreation Visitors,Thomas Jefferson MEM,16,"3,273,574",1.21%
Recreation Visitors,Grand Canyon NP,17,"3,035,787",1.12%
Recreation Visitors,Olympic NP,18,"2,940,034",1.09%
Recreation Visitors,Yosemite NP,19,"2,876,717",1.06%
Recreation Visitors,Assateague Island NS,20,"2,452,652",0.91%
Recreation Visitors,Glen Canyon NRA,21,"2,438,898",0.90%
Recreation Visitors,Rocky Mountain NP,22,"2,408,234",0.89%
Recreation Visitors,Yellowstone NP,23,"2,363,756",0.87%
Recreation Visitors,Jefferson NEM,24,"2,311,147",0.85%
Recreation Visitors,Delaware Water Gap NRA,25,"2,247,087",0.83%
Recreation Visitors,San Juan NHS,26,"2,230,500",0.82%
Recreation Visitors,Castle Clinton NM,27,"2,213,555",0.82%
Recreation Visitors,Rock Creek Park,28,"2,188,249",0.81%
Recreation Visitors,Point Reyes NS,29,"2,053,399",0.76%
Recreation Visitors,Colonial NHP,30,"1,990,230",0.73%
Recreation Visitors,Chickasaw NRA,31,"1,983,835",0.73%
Recreation Visitors,Statue of Liberty NM,32,"1,923,692",0.71%
Recreation Visitors,Shenandoah NP,33,"1,843,985",0.68%
Recreation Visitors,Whiskeytown NRA,34,"1,728,722",0.64%
Recreation Visitors,Cabrillo NM,35,"1,687,899",0.62%
Recreation Visitors,Indiana Dunes NL,36,"1,676,583",0.62%
Recreation Visitors,Zion NP,37,"1,670,503",0.62%
Recreation Visitors,Chattahoochee River NRA,38,"1,670,336",0.62%
Recreation Visitors,Mount Rushmore NMEM,39,"1,648,737",0.61%
