Title1,Title1,Title2
Annual Park Ranking Report for Recreation Visitors in: 1994,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year)

VisitorsLabel1,Field1,Field2,Field3,Field4
Recreation Visitors,Blue Ridge PKWY,1,"16,928,639",6.49%
Recreation Visitors,Golden Gate NRA,2,"14,695,771",5.63%
Recreation Visitors,Lake Mead NRA,3,"9,566,725",3.67%
Recreation Visitors,Great Smoky Mountains NP,4,"8,628,174",3.31%
Recreation Visitors,George Washington MEM PKWY,5,"5,619,821",2.15%
Recreation Visitors,Natchez Trace PKWY,6,"5,287,801",2.03%
Recreation Visitors,Cape Cod NS,7,"5,228,594",2.00%
Recreation Visitors,Gulf Islands NS,8,"5,069,495",1.94%
Recreation Visitors,Delaware Water Gap NRA,9,"4,773,659",1.83%
Recreation Visitors,Grand Canyon NP,10,"4,364,316",1.67%
Recreation Visitors,Statue of Liberty NM,11,"4,252,823",1.63%
Recreation Visitors,Gateway NRA,12,"4,192,280",1.61%
Recreation Visitors,Yosemite NP,13,"3,962,117",1.52%
Recreation Visitors,San Francisco Maritime NHP,14,"3,733,911",1.43%
Recreation Visitors,Castle Clinton NM,15,"3,481,327",1.33%
Recreation Visitors,Chattahoochee River NRA,16,"3,472,026",1.33%
Recreation Visitors,Olympic NP,17,"3,381,573",1.30%
Recreation Visitors,Colonial NHP,18,"3,296,242",1.26%
Recreation Visitors,Cuyahoga Valley NP,19,"3,266,401",1.25%
Recreation Visitors,Independence NHP,20,"3,138,276",1.20%
Recreation Visitors,Yellowstone NP,21,"3,046,145",1.17%
Recreation Visitors,Rocky Mountain NP,22,"2,968,450",1.14%
Recreation Visitors,Glen Canyon NRA,23,"2,797,734",1.07%
Recreation Visitors,Acadia NP,24,"2,710,749",1.04%
Recreation Visitors,Jefferson NEM,25,"2,553,696",0.98%
Recreation Visitors,Grand Teton NP,26,"2,540,699",0.97%
Recreation Visitors,Point Reyes NS,27,"2,466,532",0.95%
Recreation Visitors,Cape Hatteras NS,28,"2,383,684",0.91%
Recreation Visitors,Rock Creek Park,29,"2,332,045",0.89%
Recreation Visitors,Zion NP,30,"2,270,871",0.87%
Recreation Visitors,Glacier NP,31,"2,152,989",0.82%
Recreation Visitors,Mount Rushmore NMEM,32,"2,043,988",0.78%
Recreation Visitors,Mammoth Cave NP,33,"2,009,935",0.77%
Recreation Visitors,Assateague Island NS,34,"1,958,017",0.75%
Recreation Visitors,Shenandoah NP,35,"1,926,883",0.74%
Recreation Visitors,Boston NHP,36,"1,921,510",0.74%
Recreation Visitors,Valley Forge NHP,37,"1,805,069",0.69%
Recreation Visitors,Indiana Dunes NL,38,"1,699,958",0.65%
Recreation Visitors,Gettysburg NMP,39,"1,674,532",0.64%
Recreation Visitors,Hot Springs NP,40,"1,618,847",0.62%
Recreation Visitors,Amistad NRA,41,"1,591,903",0.61%
Recreation Visitors,Lake Meredith NRA,42,"1,535,448",0.59%
Recreation Visitors,Haleakala NP,43,"1,527,329",0.59%
Recreation Visitors,Lake Roosevelt NRA,44,"1,515,674",0.58%
Recreation Visitors,Fort Point NHS,45,"1,506,306",0.58%
Recreation Visitors,San Antonio Missions NHP,46,"1,504,518",0.58%
Recreation Visitors,"John D. Rockefeller, Jr. MEM PKWY",47,"1,475,625",0.57%
Recreation Visitors,Vietnam Veterans MEM,48,"1,475,044",0.57%
Recreation Visitors,Ozark NSR,49,"1,471,313",0.56%
Recreation Visitors,World War II Valor in the Pacific NM,50,"1,453,948",0.56%
Recreation Visitors,Chickasaw NRA,51,"1,446,711",0.55%
Recreation Visitors,Canaveral NS,52,"1,432,880",0.55%
Recreation Visitors,Mount Rainier NP,53,"1,426,244",0.55%
Recreation Visitors,Muir Woods NM,54,"1,406,592",0.54%
Recreation Visitors,San Juan NHS,55,"1,306,921",0.50%
Recreation Visitors,Chesapeake & Ohio Canal NHP,56,"1,276,705",0.49%
Recreation Visitors,White House,57,"1,228,097",0.47%
Recreation Visitors,Lincoln Memorial,58,"1,200,094",0.46%
Recreation Visitors,Joshua Tree NP,59,"1,184,871",0.45%
Recreation Visitors,Hawaii Volcanoes NP,60,"1,174,289",0.45%
Recreation Visitors,Sleeping Bear Dunes NL,61,"1,159,676",0.44%
Recreation Visitors,Badlands NP,62,"1,130,459",0.43%
Recreation Visitors,Cabrillo NM,63,"1,119,473",0.43%
Recreation Visitors,New River Gorge NR,64,"1,079,994",0.41%
Recreation Visitors,Curecanti NRA,65,"1,064,538",0.41%
Recreation Visitors,Minute Man NHP,66,"1,062,161",0.41%
Recreation Visitors,Sequoia NP,67,"1,034,133",0.40%
Recreation Visitors,Bryce Canyon NP,68,"1,028,134",0.39%
Recreation Visitors,Chickamauga & Chattanooga NMP,69,"1,015,610",0.39%
Recreation Visitors,Washington Monument,70,"1,000,278",0.38%
Recreation Visitors,Ford's Theatre NHS,71,"996,379",0.38%
Recreation Visitors,Death Valley NP,72,"971,487",0.37%
Recreation Visitors,Kennesaw Mountain NBP,73,"965,883",0.37%
Recreation Visitors,Buffalo NR,74,"957,256",0.37%
Recreation Visitors,Cumberland Gap NHP,75,"954,010",0.37%
Recreation Visitors,Whiskeytown NRA,76,"950,586",0.36%
Recreation Visitors,Montezuma Castle NM,77,"923,687",0.35%
Recreation Visitors,Petrified Forest NP,78,"922,927",0.35%
Recreation Visitors,Manassas NBP,79,"917,534",0.35%
Recreation Visitors,Padre Island NS,80,"915,596",0.35%
Recreation Visitors,Jean Lafitte NHP & PRES,81,"903,955",0.35%
Recreation Visitors,Everglades NP,82,"886,455",0.34%
Recreation Visitors,Wind Cave NP,83,"871,061",0.33%
Recreation Visitors,Vicksburg NMP,84,"801,381",0.31%
Recreation Visitors,Big South Fork NRRA,85,"800,460",0.31%
Recreation Visitors,Arches NP,86,"777,178",0.30%
Recreation Visitors,Saguaro NP,87,"768,685",0.29%
Recreation Visitors,Canyon de Chelly NM,88,"767,368",0.29%
Recreation Visitors,Kings Canyon NP,89,"725,930",0.28%
Recreation Visitors,Cedar Breaks NM,90,"710,981",0.27%
Recreation Visitors,Catoctin Mountain Park,91,"704,289",0.27%
Recreation Visitors,Fire Island NS,92,"688,974",0.26%
Recreation Visitors,Mesa Verde NP,93,"685,031",0.26%
Recreation Visitors,Castillo de San Marcos NM,94,"675,030",0.26%
Recreation Visitors,"Martin Luther King, Jr. NHS",95,"648,982",0.25%
Recreation Visitors,Virgin Islands NP,96,"635,291",0.24%
Recreation Visitors,Tuskegee Institute NHS,97,"631,054",0.24%
Recreation Visitors,Salem Maritime NHS,98,"623,383",0.24%
Recreation Visitors,LBJ Memorial Grove on the Potomac,99,"617,094",0.24%
Recreation Visitors,Carlsbad Caverns NP,100,"617,087",0.24%
Recreation Visitors,Wolf Trap NP for the Performing Arts,101,"612,599",0.23%
Recreation Visitors,Capitol Reef NP,102,"605,324",0.23%
Recreation Visitors,Morristown NHP,103,"589,763",0.23%
Recreation Visitors,White Sands NM,104,"583,061",0.22%
Recreation Visitors,Pictured Rocks NL,105,"581,281",0.22%
Recreation Visitors,Fort McHenry NM & HS,106,"575,747",0.22%
Recreation Visitors,Thomas Jefferson MEM,107,"531,436",0.20%
Recreation Visitors,Sunset Crater Volcano NM,108,"522,963",0.20%
Recreation Visitors,Theodore Roosevelt NP,109,"505,349",0.19%
Recreation Visitors,Arlington House The R.E. Lee MEM,110,"494,048",0.19%
Recreation Visitors,Fredericksburg & Spotsylvania NMP,111,"493,643",0.19%
Recreation Visitors,Denali NP & PRES,112,"490,311",0.19%
Recreation Visitors,Fort Matanzas NM,113,"487,195",0.19%
Recreation Visitors,Dinosaur NM,114,"480,576",0.18%
Recreation Visitors,Wright Brothers NMEM,115,"475,755",0.18%
Recreation Visitors,Redwood NP,116,"475,033",0.18%
Recreation Visitors,Boston African American NHS,117,"467,858",0.18%
Recreation Visitors,Lincoln Home NHS,118,"461,966",0.18%
Recreation Visitors,Devils Tower NM,119,"454,776",0.17%
Recreation Visitors,Pu'uhonua o Honaunau NHP,120,"454,457",0.17%
Recreation Visitors,Crater Lake NP,121,"454,215",0.17%
Recreation Visitors,Lowell NHP,122,"442,814",0.17%
Recreation Visitors,Bandelier NM,123,"430,138",0.16%
Recreation Visitors,Canyonlands NP,124,"429,921",0.16%
Recreation Visitors,Saint Croix NSR,125,"424,835",0.16%
Recreation Visitors,Bighorn Canyon NRA,126,"410,594",0.16%
Recreation Visitors,Klondike Gold Rush NHP Alaska,127,"401,034",0.15%
Recreation Visitors,Little Bighorn Battlefield NM,128,"399,643",0.15%
Recreation Visitors,Harpers Ferry NHP,129,"394,322",0.15%
Recreation Visitors,Lassen Volcanic NP,130,"385,489",0.15%
Recreation Visitors,Santa Monica Mountains NRA,131,"384,324",0.15%
Recreation Visitors,Greenbelt Park,132,"377,531",0.14%
Recreation Visitors,Shiloh NMP,133,"363,441",0.14%
