Title1,Title1,Title2
Annual Park Ranking Report for Recreation Visitors in: 2013,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year)

VisitorsLabel1,Field1,Field2,Field3,Field4
Recreation Visitors,Golden Gate NRA,1,"14,289,121",5.22%
Recreation Visitors,Blue Ridge PKWY,2,"12,877,368",4.71%
Recreation Visitors,Great Smoky Mountains NP,3,"9,354,695",3.42%
Recreation Visitors,George Washington MEM PKWY,4,"7,360,392",2.69%
Recreation Visitors,Lincoln Memorial,5,"6,546,518",2.39%
Recreation Visitors,Lake Mead NRA,6,"6,344,714",2.32%
Recreation Visitors,Gateway NRA,7,"6,191,246",2.26%
Recreation Visitors,Natchez Trace PKWY,8,"6,012,740",2.20%
Recreation Visitors,Chesapeake & Ohio Canal NHP,9,"4,941,367",1.81%
Recreation Visitors,Delaware Water Gap NRA,10,"4,843,350",1.77%
Recreation Visitors,Gulf Islands NS,11,"4,837,965",1.77%
Recreation Visitors,Grand Canyon NP,12,"4,564,840",1.67%
Recreation Visitors,Cape Cod NS,13,"4,501,898",1.65%
Recreation Visitors,San Francisco Maritime NHP,14,"4,154,455",1.52%
Recreation Visitors,Vietnam Veterans MEM,15,"4,142,721",1.51%
Recreation Visitors,World War II Memorial,16,"3,934,166",1.44%
Recreation Visitors,Yosemite NP,17,"3,691,191",1.35%
Recreation Visitors,Independence NHP,18,"3,553,070",1.30%
Recreation Visitors,Korean War Veterans Memorial,19,"3,209,279",1.17%
Recreation Visitors,"Martin Luther King, Jr. Memorial",20,"3,205,654",1.17%
Recreation Visitors,Yellowstone NP,21,"3,188,030",1.17%
Recreation Visitors,Colonial NHP,22,"3,168,731",1.16%
Recreation Visitors,Olympic NP,23,"3,085,340",1.13%
Recreation Visitors,Chattahoochee River NRA,24,"3,039,892",1.11%
Recreation Visitors,Rocky Mountain NP,25,"2,991,141",1.09%
Recreation Visitors,Franklin Delano Roosevelt MEM,26,"2,837,729",1.04%
Recreation Visitors,Zion NP,27,"2,807,387",1.03%
Recreation Visitors,Grand Teton NP,28,"2,688,794",0.98%
Recreation Visitors,Point Reyes NS,29,"2,641,808",0.97%
Recreation Visitors,Thomas Jefferson MEM,30,"2,609,463",0.95%
Recreation Visitors,Jefferson NEM,31,"2,377,258",0.87%
Recreation Visitors,Acadia NP,32,"2,254,922",0.82%
Recreation Visitors,Boston NHP,33,"2,245,875",0.82%
Recreation Visitors,Cape Hatteras NS,34,"2,214,565",0.81%
Recreation Visitors,Glacier NP,35,"2,190,374",0.80%
Recreation Visitors,Castle Clinton NM,36,"2,180,694",0.80%
Recreation Visitors,Mount Rushmore NMEM,37,"2,162,998",0.79%
Recreation Visitors,Cuyahoga Valley NP,38,"2,103,010",0.77%
Recreation Visitors,Assateague Island NS,39,"2,056,828",0.75%
Recreation Visitors,Glen Canyon NRA,40,"1,991,924",0.73%
Recreation Visitors,Rock Creek Park,41,"1,968,995",0.72%
Recreation Visitors,Valley Forge NHP,42,"1,962,889",0.72%
Recreation Visitors,Kennesaw Mountain NBP,43,"1,924,076",0.70%
Recreation Visitors,Statue of Liberty NM,44,"1,883,544",0.69%
Recreation Visitors,World War II Valor in the Pacific NM,45,"1,786,024",0.65%
Recreation Visitors,National Capital Parks Central,46,"1,712,858",0.63%
Recreation Visitors,Indiana Dunes NL,47,"1,681,695",0.61%
Recreation Visitors,Fort Point NHS,48,"1,591,312",0.58%
Recreation Visitors,Hawaii Volcanoes NP,49,"1,583,209",0.58%
Recreation Visitors,Joshua Tree NP,50,"1,383,340",0.51%
Recreation Visitors,Sleeping Bear Dunes NL,51,"1,340,007",0.49%
Recreation Visitors,San Juan NHS,52,"1,328,802",0.49%
Recreation Visitors,Hot Springs NP,53,"1,325,719",0.48%
Recreation Visitors,Bryce Canyon NP,54,"1,311,875",0.48%
Recreation Visitors,Lake Roosevelt NRA,55,"1,254,409",0.46%
Recreation Visitors,Ozark NSR,56,"1,253,703",0.46%
Recreation Visitors,"John D. Rockefeller, Jr. MEM PKWY",57,"1,228,502",0.45%
Recreation Visitors,Gettysburg NMP,58,"1,213,349",0.44%
Recreation Visitors,Mount Rainier NP,59,"1,148,552",0.42%
Recreation Visitors,Shenandoah NP,60,"1,136,505",0.42%
Recreation Visitors,Canaveral NS,61,"1,133,688",0.41%
Recreation Visitors,Buffalo NR,62,"1,125,227",0.41%
Recreation Visitors,Chickasaw NRA,63,"1,099,669",0.40%
Recreation Visitors,National Capital Parks East,64,"1,091,661",0.40%
Recreation Visitors,Arches NP,65,"1,082,866",0.40%
Recreation Visitors,New River Gorge NR,66,"1,071,823",0.39%
Recreation Visitors,Everglades NP,67,"1,047,116",0.38%
Recreation Visitors,Timucuan EHP,68,"1,031,667",0.38%
Recreation Visitors,Amistad NRA,69,"1,025,151",0.37%
Recreation Visitors,Big Cypress NPRES,70,"1,007,788",0.37%
Recreation Visitors,Muir Woods NM,71,"954,125",0.35%
Recreation Visitors,Death Valley NP,72,"951,972",0.35%
Recreation Visitors,Minute Man NHP,73,"947,894",0.35%
Recreation Visitors,Klondike Gold Rush NHP Alaska,74,"928,150",0.34%
Recreation Visitors,Sequoia NP,75,"909,274",0.33%
Recreation Visitors,Chickamauga & Chattanooga NMP,76,"905,984",0.33%
Recreation Visitors,Badlands NP,77,"892,372",0.33%
Recreation Visitors,Fredericksburg & Spotsylvania NMP,78,"880,251",0.32%
Recreation Visitors,Cabrillo NM,79,"856,128",0.31%
Recreation Visitors,Canyon de Chelly NM,80,"828,478",0.30%
Recreation Visitors,Fort Sumter NM,81,"815,007",0.30%
Recreation Visitors,Curecanti NRA,82,"814,163",0.30%
