Title1,Title1,Title2
Annual Park Ranking Report for Recreation Visitors in: 1995,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year)

VisitorsLabel1,Field1,Field2,Field3,Field4
Recreation Visitors,Blue Ridge PKWY,1,"17,415,519",6.60%
Recreation Visitors,Golden Gate NRA,2,"14,695,771",5.57%
Recreation Visitors,Lake Mead NRA,3,"9,838,702",3.73%
Recreation Visitors,Great Smoky Mountains NP,4,"9,080,420",3.44%
Recreation Visitors,George Washington MEM PKWY,5,"6,546,803",2.48%
Recreation Visitors,Gateway NRA,6,"6,064,254",2.30%
Recreation Visitors,Natchez Trace PKWY,7,"5,849,061",2.22%
Recreation Visitors,Cape Cod NS,8,"5,141,039",1.95%
Recreation Visitors,Delaware Water Gap NRA,9,"4,726,251",1.79%
Recreation Visitors,Grand Canyon NP,10,"4,557,645",1.73%
Recreation Visitors,Gulf Islands NS,11,"4,520,356",1.71%
Recreation Visitors,Statue of Liberty NM,12,"4,244,725",1.61%
Recreation Visitors,Yosemite NP,13,"3,958,406",1.50%
Recreation Visitors,Castle Clinton NM,14,"3,672,620",1.39%
Recreation Visitors,Olympic NP,15,"3,658,615",1.39%
Recreation Visitors,San Francisco Maritime NHP,16,"3,631,994",1.38%
Recreation Visitors,Chattahoochee River NRA,17,"3,457,002",1.31%
Recreation Visitors,Colonial NHP,18,"3,303,324",1.25%
Recreation Visitors,Jefferson NEM,19,"3,234,977",1.23%
Recreation Visitors,Cuyahoga Valley NP,20,"3,195,207",1.21%
Recreation Visitors,Yellowstone NP,21,"3,125,285",1.18%
Recreation Visitors,Independence NHP,22,"3,054,818",1.16%
Recreation Visitors,Rocky Mountain NP,23,"2,878,169",1.09%
Recreation Visitors,Acadia NP,24,"2,845,378",1.08%
Recreation Visitors,Grand Teton NP,25,"2,731,015",1.03%
Recreation Visitors,Glen Canyon NRA,26,"2,511,353",0.95%
