Title1,Title1,Title2
Annual Park Ranking Report for Recreation Visitors in: 2001,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year)

VisitorsLabel1,Field1,Field2,Field3,Field4
Recreation Visitors,Blue Ridge PKWY,1,"19,969,587",7.15%
Recreation Visitors,Golden Gate NRA,2,"13,457,900",4.82%
Recreation Visitors,Great Smoky Mountains NP,3,"9,197,697",3.29%
Recreation Visitors,Lake Mead NRA,4,"8,465,547",3.03%
Recreation Visitors,Gateway NRA,5,"8,285,059",2.97%
Recreation Visitors,George Washington MEM PKWY,6,"7,664,091",2.74%
Recreation Visitors,Natchez Trace PKWY,7,"5,552,351",1.99%
Recreation Visitors,Delaware Water Gap NRA,8,"4,867,273",1.74%
Recreation Visitors,Gulf Islands NS,9,"4,549,900",1.63%
Recreation Visitors,Cape Cod NS,10,"4,391,478",1.57%
Recreation Visitors,Statue of Liberty NM,11,"4,317,998",1.55%
Recreation Visitors,Chesapeake & Ohio Canal NHP,12,"4,174,048",1.49%
Recreation Visitors,Grand Canyon NP,13,"4,104,809",1.47%
Recreation Visitors,Lincoln Memorial,14,"3,968,357",1.42%
Recreation Visitors,Vietnam Veterans MEM,15,"3,704,008",1.33%
Recreation Visitors,Castle Clinton NM,16,"3,601,635",1.29%
Recreation Visitors,Jefferson NEM,17,"3,532,524",1.26%
Recreation Visitors,Olympic NP,18,"3,416,069",1.22%
Recreation Visitors,Yosemite NP,19,"3,368,731",1.21%
Recreation Visitors,Colonial NHP,20,"3,282,461",1.17%
Recreation Visitors,San Francisco Maritime NHP,21,"3,256,974",1.17%
Recreation Visitors,Rocky Mountain NP,22,"3,139,685",1.12%
Recreation Visitors,Cuyahoga Valley NP,23,"3,123,353",1.12%
Recreation Visitors,Korean War Veterans Memorial,24,"2,961,477",1.06%
Recreation Visitors,Franklin Delano Roosevelt MEM,25,"2,866,417",1.03%
Recreation Visitors,Independence NHP,26,"2,813,047",1.01%
Recreation Visitors,Yellowstone NP,27,"2,758,526",0.99%
Recreation Visitors,Chattahoochee River NRA,28,"2,751,256",0.98%
Recreation Visitors,Cape Hatteras NS,29,"2,592,889",0.93%
Recreation Visitors,Grand Teton NP,30,"2,535,108",0.91%
Recreation Visitors,Acadia NP,31,"2,516,551",0.90%
Recreation Visitors,Glen Canyon NRA,32,"2,340,031",0.84%
Recreation Visitors,Thomas Jefferson MEM,33,"2,225,756",0.80%
Recreation Visitors,Point Reyes NS,34,"2,222,762",0.80%
Recreation Visitors,Zion NP,35,"2,217,779",0.79%
Recreation Visitors,Rock Creek Park,36,"2,185,813",0.78%
Recreation Visitors,Boston NHP,37,"1,981,301",0.71%
Recreation Visitors,Mount Rushmore NMEM,38,"1,904,119",0.68%
Recreation Visitors,Assateague Island NS,39,"1,897,634",0.68%
Recreation Visitors,Mammoth Cave NP,40,"1,883,580",0.67%
Recreation Visitors,National Capital Parks Central,41,"1,860,851",0.67%
Recreation Visitors,Gettysburg NMP,42,"1,792,380",0.64%
Recreation Visitors,Indiana Dunes NL,43,"1,735,404",0.62%
Recreation Visitors,Glacier NP,44,"1,680,614",0.60%
Recreation Visitors,Chickasaw NRA,45,"1,608,792",0.58%
Recreation Visitors,Shenandoah NP,46,"1,498,561",0.54%
Recreation Visitors,Ozark NSR,47,"1,488,355",0.53%
Recreation Visitors,World War II Valor in the Pacific NM,48,"1,436,006",0.51%
Recreation Visitors,Haleakala NP,49,"1,410,974",0.51%
Recreation Visitors,President's Park,50,"1,401,108",0.50%
Recreation Visitors,San Antonio Missions NHP,51,"1,370,082",0.49%
Recreation Visitors,Hawaii Volcanoes NP,52,"1,343,286",0.48%
Recreation Visitors,National Capital Parks East,53,"1,343,067",0.48%
Recreation Visitors,Kennesaw Mountain NBP,54,"1,329,271",0.48%
Recreation Visitors,Mount Rainier NP,55,"1,301,103",0.47%
Recreation Visitors,Hot Springs NP,56,"1,296,786",0.46%
Recreation Visitors,San Juan NHS,57,"1,281,528",0.46%
Recreation Visitors,Joshua Tree NP,58,"1,280,917",0.46%
Recreation Visitors,Lake Roosevelt NRA,59,"1,252,160",0.45%
Recreation Visitors,Lake Meredith NRA,60,"1,248,278",0.45%
Recreation Visitors,New River Gorge NR,61,"1,231,529",0.44%
Recreation Visitors,Valley Forge NHP,62,"1,230,025",0.44%
Recreation Visitors,Ford's Theatre NHS,63,"1,224,540",0.44%
Recreation Visitors,Fort Point NHS,64,"1,203,023",0.43%
Recreation Visitors,"John D. Rockefeller, Jr. MEM PKWY",65,"1,180,278",0.42%
Recreation Visitors,Sleeping Bear Dunes NL,66,"1,127,107",0.40%
Recreation Visitors,Amistad NRA,67,"1,097,650",0.39%
Recreation Visitors,Minute Man NHP,68,"1,072,979",0.38%
Recreation Visitors,Bryce Canyon NP,69,"1,068,619",0.38%
Recreation Visitors,Canaveral NS,70,"1,062,962",0.38%
Recreation Visitors,Everglades NP,71,"1,049,851",0.38%
Recreation Visitors,Cabrillo NM,72,"1,034,753",0.37%
Recreation Visitors,Death Valley NP,73,"1,014,636",0.36%
Recreation Visitors,Vicksburg NMP,74,"992,284",0.36%
Recreation Visitors,Badlands NP,75,"955,469",0.34%
Recreation Visitors,Jean Lafitte NHP & PRES,76,"923,604",0.33%
Recreation Visitors,Fort Sumter NM,77,"919,443",0.33%
Recreation Visitors,Big South Fork NRRA,78,"916,548",0.33%
Recreation Visitors,Cumberland Gap NHP,79,"887,488",0.32%
Recreation Visitors,Curecanti NRA,80,"879,776",0.31%
Recreation Visitors,Sequoia NP,81,"870,327",0.31%
Recreation Visitors,Guilford Courthouse NMP,82,"858,125",0.31%
Recreation Visitors,White House,83,"856,042",0.31%
Recreation Visitors,Canyon de Chelly NM,84,"833,202",0.30%
Recreation Visitors,Manassas NBP,85,"822,684",0.29%
Recreation Visitors,Buffalo NR,86,"794,676",0.28%
Recreation Visitors,Muir Woods NM,87,"773,624",0.28%
Recreation Visitors,Arches NP,88,"754,026",0.27%
Recreation Visitors,Chickamauga & Chattanooga NMP,89,"749,913",0.27%
Recreation Visitors,Salem Maritime NHS,90,"748,747",0.27%
Recreation Visitors,Saguaro NP,91,"725,874",0.26%
Recreation Visitors,Lowell NHP,92,"723,568",0.26%
Recreation Visitors,Klondike Gold Rush NHP Alaska,93,"713,436",0.26%
Recreation Visitors,Montezuma Castle NM,94,"710,595",0.25%
Recreation Visitors,Timucuan EHP,95,"707,183",0.25%
Recreation Visitors,Whiskeytown NRA,96,"695,018",0.25%
Recreation Visitors,Cedar Breaks NM,97,"690,652",0.25%
Recreation Visitors,Fort Matanzas NM,98,"682,480",0.24%
Recreation Visitors,Virgin Islands NP,99,"677,401",0.24%
Recreation Visitors,Fire Island NS,100,"661,692",0.24%
Recreation Visitors,Padre Island NS,101,"656,873",0.24%
Recreation Visitors,Wind Cave NP,102,"650,357",0.23%
Recreation Visitors,Fort McHenry NM & HS,103,"646,775",0.23%
Recreation Visitors,Cape Lookout NS,104,"625,387",0.22%
Recreation Visitors,Castillo de San Marcos NM,105,"613,465",0.22%
Recreation Visitors,"Martin Luther King, Jr. NHS",106,"598,475",0.21%
Recreation Visitors,Petrified Forest NP,107,"583,904",0.21%
Recreation Visitors,Kings Canyon NP,108,"541,787",0.19%
Recreation Visitors,Wolf Trap NP for the Performing Arts,109,"539,999",0.19%
Recreation Visitors,Santa Monica Mountains NRA,110,"532,898",0.19%
Recreation Visitors,Catoctin Mountain Park,111,"532,615",0.19%
Recreation Visitors,LBJ Memorial Grove on the Potomac,112,"529,503",0.19%
Recreation Visitors,Capitol Reef NP,113,"527,760",0.19%
Recreation Visitors,Channel Islands NP,114,"520,428",0.19%
Recreation Visitors,White Sands NM,115,"518,958",0.19%
Recreation Visitors,Mesa Verde NP,116,"513,409",0.18%
Recreation Visitors,Mojave NPRES,117,"492,745",0.18%
Recreation Visitors,Biscayne NP,118,"489,343",0.18%
Recreation Visitors,Fredericksburg & Spotsylvania NMP,119,"465,323",0.17%
Recreation Visitors,Morristown NHP,120,"464,758",0.17%
Recreation Visitors,Crater Lake NP,121,"457,373",0.16%
Recreation Visitors,Carlsbad Caverns NP,122,"455,621",0.16%
Recreation Visitors,Theodore Roosevelt NP,123,"446,609",0.16%
Recreation Visitors,Wright Brothers NMEM,124,"438,548",0.16%
Recreation Visitors,Arlington House The R.E. Lee MEM,125,"429,470",0.15%
Recreation Visitors,Pictured Rocks NL,126,"421,312",0.15%
Recreation Visitors,Big Cypress NPRES,127,"409,771",0.15%
Recreation Visitors,Fort Vancouver NHS,128,"404,662",0.14%
